GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C7L001,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015,C9E001,C9E002,C9E003,C9E004,C9E005,C67001,C67002,C67003,C67004,C67005,C67006,C67007,C67008,C67009,C67010,C67011,C67012,C67013,C67014,C67015,C67016,C67017,C67018,C67019,C67020,C67021,C67022,C67023,C67024,C67025,C67026
"G0100010","1980","A","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,,,,,"05",,,,,,,,"AUTAUGA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",32259,24814,7225,58,0,0,41,3,13,7,8,6,4,0,0,80,31896,197,29,27,110,539,1003,983,525,558,1869,2510,674,708,752,700,689,646,624,555,1484,2231,2232,4293,3373,1316,511,660,1848,795,181
"G0100030","1980","A","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,,,,,"08",,,,,,,,"BALDWIN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",78556,65840,12048,432,0,0,13,4,9,20,13,30,7,0,0,140,77761,354,31,41,369,1247,2501,2366,1245,1279,4120,5340,1413,1523,1596,1568,1429,1320,1289,1122,3576,5726,5443,9024,7799,3979,1604,2198,6447,2726,676
"G0100050","1980","A","3","6","Alabama","01",,"Barbour","005",,,,,,,,,,,,,"09",,,,,,,,"BARBOUR COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",24756,13693,11003,30,0,0,9,7,2,2,3,0,2,0,0,5,24488,192,12,5,59,416,777,765,371,405,1405,1812,493,524,534,570,430,384,374,348,1056,1688,1734,2391,2368,1290,547,742,2110,970,252
"G0100070","1980","A","3","6","Alabama","01",,"Bibb","007",,,,,,,,,,,,,"05",,,,,,,,"BIBB COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0",15723,12029,3675,2,0,0,0,0,0,1,7,0,3,0,0,6,15547,110,0,18,48,256,477,511,299,247,849,1176,309,315,294,336,295,279,239,226,781,1171,1023,1736,1452,759,272,358,1282,632,149
"G0100090","1980","A","3","6","Alabama","01",,"Blount","009",,,,,,,,,,,,,"02",,,,,,,,"BLOUNT COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",36459,35761,598,56,0,0,1,0,0,11,5,0,1,0,0,26,36255,99,5,1,99,516,1014,1024,522,556,1919,2519,651,703,696,709,624,638,615,506,1607,2677,2703,4642,3891,1757,724,929,2826,1203,288
"G0100110","1980","A","3","6","Alabama","01",,"Bullock","011",,,,,,,,,,,,,"06",,,,,,,,"BULLOCK COUNTY","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0",10596,3427,7160,1,0,0,1,1,0,0,0,0,2,0,0,4,10436,130,1,2,27,169,355,370,165,181,643,733,220,205,236,250,206,180,162,161,473,736,639,926,848,512,222,323,1078,442,161
"G0100130","1980","A","3","6","Alabama","01",,"Butler","013",,,,,,,,,,,,,"09",,,,,,,,"BUTLER COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0",21680,13260,8397,5,0,0,3,0,4,3,2,0,0,1,0,5,21391,213,1,6,69,412,708,712,367,369,1128,1482,368,402,451,437,343,305,350,306,931,1488,1295,2031,2067,1117,490,689,2060,1053,319
"G0100150","1980","A","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,,,,,"03",,,,,,,,"CALHOUN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",119761,97313,21074,215,5,1,57,37,57,192,28,30,44,37,26,645,118432,572,325,29,403,1701,3533,3485,1737,1694,5670,7729,1962,2139,2181,2255,3439,3439,3321,2817,7395,9934,8797,12713,11723,5586,2084,2818,7562,3235,812
"G0100170","1980","A","3","6","Alabama","01",,"Chambers","017",,,,,,,,,,,,,"04",,,,,,,,"CHAMBERS COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",39191,25222,13894,14,2,0,2,0,9,0,9,0,3,0,0,36,38834,255,17,22,63,559,1127,1180,644,662,2015,2697,748,743,736,737,692,620,586,557,1780,2796,2651,3875,3851,2065,893,1265,3698,1596,418
"G0100190","1980","A","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,,,,,"03",,,,,,,,"CHEROKEE COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",18760,17185,1550,13,2,0,3,0,0,1,4,0,0,0,0,2,18660,76,4,0,20,287,528,519,271,290,950,1239,294,336,327,320,312,315,333,292,920,1344,1349,2244,2010,991,388,563,1519,646,173
