GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHM001,DHM002,DHM003,DHM004,DHM005
"G1700330","1980","A","2","3","Illinois","17",,"Crawford","033",,,,,,,,,,,,"09",,,,,"CRAWFORD",,,"1",,"1",,,,,,"1","1",,,,"1",,"1",,,,,,"1","1","1",,3026,1628,5596,1684,1229
"G1700350","1980","A","2","3","Illinois","17",,"Cumberland","035",,,,,,,,,,,,"08",,,,,"CUMBERLAND",,,,"1","1",,,,,,,"1","1","1",,,,,"1","1",,"1",,,"1",,,1889,920,2514,681,493
"G1700370","1980","A","2","3","Illinois","17",,"DeKalb","037",,,,,,,,,,,,"01",,,,,"DE KALB",,,,,,,,,,,,,,,,,,,,,,,,"1",,,,4895,4088,13493,5719,8067
"G1700390","1980","A","2","3","Illinois","17",,"De Witt","039",,,,,,,,,,,,"06",,,,,"DE WITT",,,"1","1","1",,,,,"1","1",,,,,,"1",,"1","1",,,,"1","1",,,2159,1662,4963,1182,1068
"G1700410","1980","A","2","3","Illinois","17",,"Douglas","041",,,,,,,,,,,,"06",,,,,"DOUGLAS",,,"1","1",,,,,,,"1",,"1",,,,,"1","1",,,,,,"1",,,2554,1417,5270,1457,1106
"G1700430","1980","A","2","3","Illinois","17","1600","Dupage","043",,,,,,"14",,,,,,"C",,,,,"DU PAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,29665,35139,128369,79795,111557
"G1700450","1980","A","2","3","Illinois","17",,"Edgar","045",,,,,,,,,,,,"06",,,,,"EDGAR",,,,"1","1",,,,,,"1","1","1",,,,,"1","1",,,,,,,"1",,2974,2196,5744,1342,1300
"G1700470","1980","A","2","3","Illinois","17",,"Edwards","047",,,,,,,,,,,,"09",,,,,"EDWARDS",,,,"1","1","1",,,"1",,"1",,,,,"1",,"1",,"1",,,,,,"1",,1268,764,1876,702,336
"G1700490","1980","A","2","3","Illinois","17",,"Effingham","049",,,,,,,,,,,,"07",,,,,"EFFINGHAM",,,"1",,"1",,,,,"1",,"1","1",,,,"1","1","1",,,,,,"1",,,4565,2020,7073,2184,1652
"G1700510","1980","A","2","3","Illinois","17",,"Fayette","051",,,,,,,,,,,,"07",,,,,"FAYETTE",,,,,"1",,,,,,,"1","1",,,,"1","1","1",,,,"1","1",,,,4305,2075,5115,1192,894
"G1700530","1980","A","2","3","Illinois","17",,"Ford","053",,,,,,,,,,,,"06",,,,,"FORD",,,,"1","1",,,,,,,"1","1",,,,"1",,"1",,,,,,,,,1714,1201,4391,1361,819
"G1700550","1980","A","2","3","Illinois","17",,"Franklin","055",,,,,,,,,,,,"10",,,,,"FRANKLIN",,,,"1",,,,,,,,,,,,,,,,,,"1","1",,,"1",,8613,4493,9614,2829,1842
"G1700570","1980","A","2","3","Illinois","17",,"Fulton","057",,,,,,,,,,,,"03",,,,,"FULTON",,,,"1",,,,,,,"1",,"1",,,,,"1",,,,,,"1",,,,5760,4237,11506,3073,2069
"G1700590","1980","A","2","3","Illinois","17",,"Gallatin","059",,,,,,,,,,,,"09",,,,,"GALLATIN",,,,"1","1",,,,,"1","1",,,,,,"1","1",,,,"1","1",,,"1",,1804,743,1427,499,226
"G1700610","1980","A","2","3","Illinois","17",,"Greene","061",,,,,,,,,,,,"04",,,,,"GREENE",,,"1",,"1",,,,,,"1","1",,"1",,,,"1","1",,,,,,,"1",,2779,1620,4170,879,732
"G1700630","1980","A","2","3","Illinois","17",,"Grundy","063",,,,,,,,,,,,"05",,,,,"GRUNDY",,,"1",,,,,,,"1",,,"1",,,,,,,,,,"1","1","1",,,2996,2878,8216,1847,1721
"G1700650","1980","A","2","3","Illinois","17",,"Hamilton","065",,,,,,,,,,,,"08",,,,,"HAMILTON",,,,"1","1",,,,,,"1","1",,,,,,"1","1","1",,"1",,"1",,"1",,2283,872,1898,522,379
"G1700670","1980","A","2","3","Illinois","17",,"Hancock","067",,,,,,,,,,,,"03",,,,,"HANCOCK",,,,"1",,,,,,,"1","1","1",,,"1",,"1",,,,,,,"1","1",,2695,1966,6412,1862,1641
"G1700690","1980","A","2","3","Illinois","17",,"Hardin","069",,,,,,,,,,,,"11",,,,,"HARDIN",,,,,,"1",,,,,,,,,,,,,,,,,,,,,,1493,502,981,274,191
"G1700710","1980","A","2","3","Illinois","17",,"Henderson","071",,,,,,,,,,,,"03",,,,,"HENDERSON",,,"1","1","1",,,,,"1","1","1","1",,,,"1","1","1","1",,,,,,"1",,1054,998,2394,554,409
"G1700730","1980","A","2","3","Illinois","17","1960","Henry","073",,,,,,,,,,,,"03",,,,,"HENRY",,,,,,,,,,,,,,,,,,,"1",,,,,"1","1",,,6297,4684,15197,4180,3790
"G1700750","1980","A","2","3","Illinois","17",,"Iroquois","075",,,,,,,,,,,,"06",,,,,"IROQUOIS",,,,,,,,,,,,"1","1",,,,,,"1",,,,,,"1",,,4334,3012,9000,2050,1743
"G1700770","1980","A","2","3","Illinois","17",,"Jackson","077",,,,,,,,,,,,"11",,,,,"JACKSON",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,5841,3174,8026,4835,7853
"G1700790","1980","A","2","3","Illinois","17",,"Jasper","079",,,,,,,,,,,,"08",,,,,"JASPER",,,,"1","1",,,,,,,,,,,"1",,"1",,,,"1",,"1",,"1",,2163,870,2456,668,510
"G1700810","1980","A","2","3","Illinois","17",,"Jefferson","081",,,,,,,,,,,,"10",,,,,"JEFFERSON",,,,"1",,,,,,,,"1","1",,,,,"1",,,,,,"1",,,,6563,3211,7568,2657,2389
"G1700830","1980","A","2","3","Illinois","17",,"Jersey","083",,,,,,,,,,,,"04",,,,,"JERSEY",,,,,"1",,,,,,,"1","1",,,,"1",,"1","1",,,"1",,"1","1",,2986,1735,4665,1247,954
"G1700850","1980","A","2","3","Illinois","17",,"Jo Daviess","085",,,,,,,,,,,,"01",,,,,"JO DAVIESS",,,"1","1","1",,,,,"1","1",,,,,,"1","1",,,,,,,"1",,,3027,1834,6125,1432,1371
"G1700870","1980","A","2","3","Illinois","17",,"Johnson","087",,,,,,,,,,,,"11",,,,,"JOHNSON",,,,"1","1",,,,,"1","1","1",,,,,"1","1","1",,,,,,,,,1857,1003,1912,845,485
"G1700890","1980","A","2","3","Illinois","17","1600","Kane","089",,,,,,"14",,,,,,"C",,,,,"KANE",,,,,,,,,,,,,,,,,,,,,,,,,,,,23553,22351,58491,25538,26107
"G1700910","1980","A","2","3","Illinois","17","3740","Kankakee","091",,,,,,,,,,,,"05",,,,,"KANKAKEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,12388,10179,22375,6796,6143
"G1700930","1980","A","2","3","Illinois","17",,"Kendall","093",,,,,,,,,,,,"05",,,,,"KENDALL",,,,,,,,,,,,,,,,,"1",,,,,,,"1",,,,2183,2547,9602,3203,2947
"G1700950","1980","A","2","3","Illinois","17",,"Knox","095",,,,,,,,,,,,"03",,,,,"KNOX",,,,,,,,,,,,,,,,,,,,,,,,,,,,6297,5562,15940,5527,4149
"G1700970","1980","A","2","3","Illinois","17","1600","Lake","097",,,,,,"14",,,,,,"C",,,,,"LAKE",,,,,,,,,,,,,,,,,,,,,,,,,,,,27093,27926,83230,45565,61469
"G1700990","1980","A","2","3","Illinois","17",,"La Salle","099",,,,,,,,,,,,"05",,,,,"LA SALLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,14313,11385,27738,8311,6059
"G1701010","1980","A","2","3","Illinois","17",,"Lawrence","101",,,,,,,,,,,,"09",,,,,"LAWRENCE",,,,"1","1",,,,,,"1","1","1",,,,,"1","1",,,"1",,,"1","1",,2741,1522,4694,1373,871
"G1701030","1980","A","2","3","Illinois","17",,"Lee","103",,,,,,,,,,,,"01",,,,,"LEE",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,3617,3333,9478,3025,2129
"G1701050","1980","A","2","3","Illinois","17",,"Livingston","105",,,,,,,,,,,,"06",,,,,"LIVINGSTON",,,,"1",,,,,,,"1",,"1",,,,"1",,,,,,,"1","1",,,5048,3990,10385,2721,2494
"G1701070","1980","A","2","3","Illinois","17",,"Logan","107",,,,,,,,,,,,"06",,,,,"LOGAN",,,,,,,,,,,"1",,"1",,,,,,"1",,,,"1","1",,,,3676,2824,7831,2723,2307
"G1701090","1980","A","2","3","Illinois","17",,"McDonough","109",,,,,,,,,,,,"03",,,,,"MCDONOUGH",,,,,,,,,,,"1",,"1",,,,,"1",,,,,,"1",,,,2563,2160,6866,2828,4006
"G1701110","1980","A","2","3","Illinois","17","1600","McHenry","111",,,,,,"14",,,,,,"C",,,,,"MCHENRY",,,,,,,,,,,,,,,,,,,,,,,,,,,,10229,11142,33936,15217,14561
"G1701130","1980","A","2","3","Illinois","17","1040","McLean","113",,,,,,,,,,,,"06",,,,,"MCLEAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,8478,6401,22957,10060,14119
"G1701150","1980","A","2","3","Illinois","17","2040","Macon","115",,,,,,,,,,,,"G",,,,,"MACON",,,,,,,,,,,,,,,,,,,,,,,,,,,,11310,12949,32506,10205,9956
"G1701170","1980","A","2","3","Illinois","17",,"Macoupin","117",,,,,,,,,,,,"04",,,,,"MACOUPIN",,,,,"1",,,,,,,"1","1",,,,,"1","1",,,,,,,,,7926,4056,13031,2791,2376
"G1701190","1980","A","2","3","Illinois","17","7040","Madison","119",,,,,,,,,,,,"F",,,,,"MADISON",,,,,,,,,,,,,,,,,,,,,,,,,,,,32075,22529,57481,18612,16129
"G1701210","1980","A","2","3","Illinois","17",,"Marion","121",,,,,,,,,,,,"08",,,,,"MARION",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,7555,3917,9421,3113,2317
"G1701230","1980","A","2","3","Illinois","17",,"Marshall","123",,,,,,,,,,,,"03",,,,,"MARSHALL",,,"1","1",,,,,,"1","1","1",,,,,"1","1","1","1",,"1",,,"1","1",,1769,1050,3973,1099,834
"G1701250","1980","A","2","3","Illinois","17",,"Mason","125",,,,,,,,,,,,"06",,,,,"MASON",,,,"1","1",,,,,,,,,"1",,"1",,"1",,"1",,"1",,"1",,"1",,2733,1854,4873,1139,958
"G1701270","1980","A","2","3","Illinois","17",,"Massac","127",,,,,,,,,,,,"11",,,,,"MASSAC",,,,"1","1","1",,,,,"1","1",,,,,,"1","1","1",,,"1",,"1","1",,3022,1414,3156,1078,797
"G1701290","1980","A","2","3","Illinois","17","7880","Menard","129",,,,,,,,,,,,"06",,,,,"MENARD",,,,"1","1",,,,,,"1",,"1",,,,,"1",,"1",,"1",,"1",,"1",,1320,1037,3002,877,910
"G1701310","1980","A","2","3","Illinois","17",,"Mercer","131",,,,,,,,,,,,"03",,,,,"MERCER",,,,"1",,,,,,"1","1",,,,,,"1","1",,,,"1",,,,,,1928,1777,5303,1393,982
"G1701330","1980","A","2","3","Illinois","17","7040","Monroe","133",,,,,,,,,,,,"07",,,,,"MONROE",,,"1",,"1",,,,,,,"1","1",,,,,"1","1",,,,,"1",,,,3382,1421,5085,1084,968
"G1701350","1980","A","2","3","Illinois","17",,"Montgomery","135",,,,,,,,,,,,"04",,,,,"MONTGOMERY",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,"1","1",,,,5390,2825,8042,1711,1589
"G1701370","1980","A","2","3","Illinois","17",,"Morgan","137",,,,,,,,,,,,"04",,,,,"MORGAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,4270,2953,9319,2546,3144
"G1701390","1980","A","2","3","Illinois","17",,"Moultrie","139",,,,,,,,,,,,"06",,,,,"MOULTRIE",,,"1",,"1","1",,,,"1","1",,,,,"1","1",,,"1",,"1",,"1",,"1",,2232,1440,3403,1082,824
"G1701410","1980","A","2","3","Illinois","17",,"Ogle","141",,,,,,,,,,,,"01",,,,,"OGLE",,,,,,,,,,,,,,,,,"1",,,,,,,,"1",,,4973,4002,11664,3549,2819
"G1701430","1980","A","2","3","Illinois","17","6120","Peoria","143",,,,,,,,,,,,"D",,,,,"PEORIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,19457,16251,43777,18056,18669
"G1701450","1980","A","2","3","Illinois","17",,"Perry","145",,,,,,,,,,,,"10",,,,,"PERRY",,,,,,,,,,,"1","1",,"1",,,,"1","1",,,,,,,"1",,4249,1729,4941,1286,1071
"G1701470","1980","A","2","3","Illinois","17",,"Piatt","147",,,,,,,,,,,,"06",,,,,"PIATT",,,"1","1",,,,,,"1","1","1","1",,,,"1","1","1","1",,"1",,"1",,"1",,1575,1419,4366,1245,1386
"G1701490","1980","A","2","3","Illinois","17",,"Pike","149",,,,,,,,,,,,"04",,,,,"PIKE",,,"1","1",,,,,,"1","1",,"1",,,,"1","1","1",,,,"1",,"1",,,2634,2024,5235,1197,931
"G1701510","1980","A","2","3","Illinois","17",,"Pope","151",,,,,,,,,,,,"11",,,,,"POPE",,,,"1","1","1",,,,"1","1",,,,,,,,,,,"1",,"1",,,,1001,351,931,218,139
"G1701530","1980","A","2","3","Illinois","17",,"Pulaski","153",,,,,,,,,,,,"11",,,,,"PULASKI",,,,,"1","1",,,,,"1","1",,"1",,,"1",,"1","1",,,,,,"1",,1963,837,1596,524,357
"G1701550","1980","A","2","3","Illinois","17",,"Putnam","155",,,,,,,,,,,,"03",,,,,"PUTNAM",,,"1","1",,,,,,,,,,,,"1","1",,,"1",,"1","1",,,,,671,544,1500,510,329
"G1701570","1980","A","2","3","Illinois","17",,"Randolph","157",,,,,,,,,,,,"07",,,,,"RANDOLPH",,,,,,,,,,,,,,,,,,"1","1",,,,,"1",,,,5793,3834,8681,1805,1476
"G1701590","1980","A","2","3","Illinois","17",,"Richland","159",,,,,,,,,,,,"08",,,,,"RICHLAND",,,,"1",,,,,,,"1","1",,,,,,,,"1",,,,"1","1",,,2940,1330,3989,1334,1103
"G1701610","1980","A","2","3","Illinois","17","1960","Rock Island","161",,,,,,,,,,,,"A",,,,,"ROCK ISLAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,14309,15010,40858,14824,11765
"G1701630","1980","A","2","3","Illinois","17","7040","St Clair","163",,,,,,,,,,,,"F",,,,,"ST. CLAIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,34217,26738,50382,20583,17034
"G1701650","1980","A","2","3","Illinois","17",,"Saline","165",,,,,,,,,,,,"10",,,,,"SALINE",,,,,"1",,,,,,,"1","1",,,,,"1",,,,,,,"1",,,6267,2793,6081,1985,1257
"G1701670","1980","A","2","3","Illinois","17","7880","Sangamon","167",,,,,,,,,,,,"E",,,,,"SANGAMON",,,,,,,,,,,,,,,,,,,,,,,,,,,,14922,14543,41363,15957,19926
"G1701690","1980","A","2","3","Illinois","17",,"Schuyler","169",,,,,,,,,,,,"04",,,,,"SCHUYLER",,,,"1","1",,,,,,"1","1",,"1",,"1",,"1",,"1",,"1",,,"1","1",,1156,926,2302,497,417
"G1701710","1980","A","2","3","Illinois","17",,"Scott","171",,,,,,,,,,,,"04",,,,,"SCOTT",,,,"1","1","1",,,"1",,"1",,,,,,,,,"1",,"1",,"1",,"1",,1005,498,1657,346,279
"G1701730","1980","A","2","3","Illinois","17",,"Shelby","173",,,,,,,,,,,,"06",,,,,"SHELBY",,,,"1",,,,,,"1",,,"1",,,,"1","1","1",,,,"1","1","1",,,3545,2145,6184,1525,1083
"G1701750","1980","A","2","3","Illinois","17",,"Stark","175",,,,,,,,,,,,"03",,,,,"STARK",,,"1","1","1","1",,,,"1","1","1",,"1",,,"1","1",,"1",,"1",,,"1","1",,802,594,2096,557,416
"G1701770","1980","A","2","3","Illinois","17",,"Stephenson","177",,,,,,,,,,,,"01",,,,,"STEPHENSON",,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,5701,3937,12787,3930,3309
"G1701790","1980","A","2","3","Illinois","17","6120","Tazewell","179",,,,,,,,,,,,"D",,,,,"TAZEWELL",,,,,,,,,,,,,,,,,,,,,,,,,,,,12314,11495,32694,10626,8992
"G1701810","1980","A","2","3","Illinois","17",,"Union","181",,,,,,,,,,,,"11",,,,,"UNION",,,,,"1",,,,,,,"1","1",,,,"1",,"1",,,,,"1",,,,4327,1702,3952,1138,947
"G1701830","1980","A","2","3","Illinois","17",,"Vermilion","183",,,,,,,,,,,,"06",,,,,"VERMILION",,,,,,,,,,,,,,,,,,,,,,,,,,,,12016,9426,22639,7329,5520
"G1701850","1980","A","2","3","Illinois","17",,"Wabash","185",,,,,,,,,,,,"09",,,,,"WABASH",,,"1",,"1",,,,,"1",,,"1",,,,,,,,,,"1","1",,,,1776,1326,2994,1395,715
"G1701870","1980","A","2","3","Illinois","17",,"Warren","187",,,,,,,,,,,,"03",,,,,"WARREN",,,,,,,,,,,"1",,"1",,,,,"1",,,,,,,,,,2263,2207,5116,1646,1635
"G1701890","1980","A","2","3","Illinois","17",,"Washington","189",,,,,,,,,,,,"07",,,,,"WASHINGTON",,,,"1",,,,,,"1",,,"1",,,,,,"1",,,,"1",,"1","1",,3716,1139,3118,1039,671
"G1701910","1980","A","2","3","Illinois","17",,"Wayne","191",,,,,,,,,,,,"08",,,,,"WAYNE",,,"1","1",,,,,,"1","1",,,,,,,,,,,,"1","1","1",,,3857,1832,3863,1115,699
"G1701930","1980","A","2","3","Illinois","17",,"White","193",,,,,,,,,,,,"09",,,,,"WHITE",,,,,"1",,,,,"1",,"1",,,,,,,,"1",,,"1","1","1",,,3422,1753,4203,1382,926
"G1701950","1980","A","2","3","Illinois","17",,"Whiteside","195",,,,,,,,,,,,"01",,,,,"WHITESIDE",,,,,,,,,,,,,,,,,,,,,,,,,,,,8331,5930,15512,4753,3306
"G1701970","1980","A","2","3","Illinois","17","1600","Will","197",,,,,,"14",,,,,,"C",,,,,"WILL",,,,,,,,,,,,,,,,,,,,,,,,,,,,24523,28309,71149,27764,25383
"G1701990","1980","A","2","3","Illinois","17",,"Williamson","199",,,,,,,,,,,,"10",,,,,"WILLIAMSON",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,9693,5061,12562,4499,3734
"G1702010","1980","A","2","3","Illinois","17","6880","Winnebago","201",,,,,,,,,,,,"B",,,,,"WINNEBAGO",,,,,,,,,,,,,,,,,,,,,,,,,,,,22563,24752,57863,20812,19733
"G1702030","1980","A","2","3","Illinois","17","6120","Woodford","203",,,,,,,,,,,,"06",,,,,"WOODFORD",,,,,,,,,,"1",,,"1",,,,"1","1",,,,,,"1","1","1",,3337,2256,8005,2758,2562
"G1800010","1980","A","2","3","Indiana","18","2760","Adams","001",,,,,,,,,,,,"03",,,,,"ADAMS",,,"1",,,,,,,,,,,,,,,,"1",,,,,"1","1",,,2888,2511,7611,1686,1373
"G1800030","1980","A","2","3","Indiana","18","2760","Allen","003",,,,,,,,,,,,"C",,,,,"ALLEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,20360,24124,68627,28349,24929
"G1800050","1980","A","2","3","Indiana","18",,"Bartholomew","005",,,,,,,,,,,,"05",,,,,"BARTHOLOMEW",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,6326,5501,15659,4507,5553
"G1800070","1980","A","2","3","Indiana","18",,"Benton","007",,,,,,,,,,,,"09",,,,,"BENTON",,,"1","1",,,,,,"1","1",,"1",,,,,"1",,"1",,,"1",,,"1",,918,892,3037,638,571
"G1800090","1980","A","2","3","Indiana","18",,"Blackford","009",,,,,,,,,,,,"03",,,,,"BLACKFORD",,,"1","1","1",,,,,,,,,,,"1",,"1",,"1",,"1",,"1",,"1",,1634,1770,4526,647,660
"G1800110","1980","A","2","3","Indiana","18","3480","Boone","011",,,,,,"44",,,,,,"05",,,,,"BOONE",,,,,,,,,,"1",,,"1",,,,"1",,"1",,,,,"1","1",,,2416,3101,9823,2890,3394
"G1800130","1980","A","2","3","Indiana","18",,"Brown","013",,,,,,,,,,,,"07",,,,,"BROWN",,,"1",,"1",,,,,,,,,"1",,,,,,"1",,,,,,"1",,1171,1321,2815,1087,1068
"G1800150","1980","A","2","3","Indiana","18",,"Carroll","015",,,,,,,,,,,,"09",,,,,"CARROLL",,,"1",,"1",,,,,"1","1","1","1",,,,"1","1","1",,,,,"1",,,,1694,2062,5797,1257,953
"G1800170","1980","A","2","3","Indiana","18",,"Cass","017",,,,,,,,,,,,"09",,,,,"CASS",,,,"1",,,,,,,,,,,,,,,,,,,,"1","1",,,3046,4306,12197,2670,2168
"G1800190","1980","A","2","3","Indiana","18","4520","Clark","019",,,,,,,,,,,,"F",,,,,"CLARK",,,,,,,,,,,,,,,,,,,"1",,,,,,,,,9969,8496,20752,6886,4677
"G1800210","1980","A","2","3","Indiana","18","8320","Clay","021",,,,,,,,,,,,"06",,,,,"CLAY",,,,"1","1",,,,,,"1","1",,,,,,"1","1",,,"1","1",,,"1",,2690,2582,7145,1464,1249
"G1800230","1980","A","2","3","Indiana","18",,"Clinton","023",,,,,,,,,,,,"09",,,,,"CLINTON",,,"1",,,,,,,,,,,,,,"1",,,,,,"1",,,,,3155,3407,8711,1861,1764
"G1800250","1980","A","2","3","Indiana","18",,"Crawford","025",,,,,,,,,,,,"07",,,,,"CRAWFORD",,,"1",,"1",,,,,"1","1",,,,,,"1","1",,,,"1",,"1",,,,2014,856,2057,398,316
"G1800270","1980","A","2","3","Indiana","18",,"Daviess","027",,,,,,,,,,,,"06",,,,,"DAVIESS",,,,,,,,,,"1",,"1",,,,,"1","1",,,,"1",,"1",,"1",,3626,3243,6887,1495,1167
"G1800290","1980","A","2","3","Indiana","18","1640","Dearborn","029",,,,,,"21",,,,,,"08",,,,,"DEARBORN",,,,"1",,,,,,,,,,,,,,"1","1",,,,,"1","1",,,4337,3373,8289,1750,1879
"G1800310","1980","A","2","3","Indiana","18",,"Decatur","031",,,,,,,,,,,,"05",,,,,"DECATUR",,,,"1",,,,,,,"1","1",,,,,,"1","1",,,,,,,"1",,2850,2298,6093,1090,1080
"G1800330","1980","A","2","3","Indiana","18","2760","DeKalb","033",,,,,,,,,,,,"03",,,,,"DE KALB",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,2943,3073,9250,2078,1605
"G1800350","1980","A","2","3","Indiana","18","5280","Delaware","035",,,,,,,,,,,,"H",,,,,"DELAWARE",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,10810,12693,28445,7537,10440
"G1800370","1980","A","2","3","Indiana","18",,"Dubois","037",,,,,,,,,,,,"07",,,,,"DUBOIS",,,"1","1",,,,,,"1",,"1",,,,,"1","1","1",,,"1",,"1",,,,5286,2620,7596,1519,1941
"G1800390","1980","A","2","3","Indiana","18","2330","Elkhart","039",,,,,,,,,,,,"01",,,,,"ELKHART",,,,,,,,,,,,,,,,,,,,,,,,,,,,12895,14099,32281,9584,9632
"G1800410","1980","A","2","3","Indiana","18",,"Fayette","041",,,,,,,,,,,,"04",,,,,"FAYETTE",,,,"1",,,,,,,,"1","1",,,,,,"1",,,,"1","1",,,,3665,3384,6604,1459,1180
"G1800430","1980","A","2","3","Indiana","18","4520","Floyd","043",,,,,,,,,,,,"F",,,,,"FLOYD",,,,"1",,,,,,,,,,,,,,,"1",,,,,"1",,,,7586,5852,14581,4105,3801
"G1800450","1980","A","2","3","Indiana","18",,"Fountain","045",,,,,,,,,,,,"09",,,,,"FOUNTAIN",,,,"1",,,,,,,"1","1","1",,,,,"1","1","1",,,,,,"1",,2164,2036,5392,919,908
"G1800470","1980","A","2","3","Indiana","18",,"Franklin","047",,,,,,,,,,,,"08",,,,,"FRANKLIN",,,"1","1",,,,,,,"1","1",,,,,,"1","1",,,,,,,"1",,2939,2038,4213,697,836
"G1800490","1980","A","2","3","Indiana","18",,"Fulton","049",,,,,,,,,,,,"02",,,,,"FULTON",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,"1",,"1",,,1781,1904,5803,1229,998
"G1800510","1980","A","2","3","Indiana","18","2440","Gibson","051",,,,,,,,,,,,"06",,,,,"GIBSON",,,,"1",,,,,,,"1",,"1",,,,,"1","1",,,,"1",,,,,4071,3463,8364,2180,1780
"G1800530","1980","A","2","3","Indiana","18",,"Grant","053",,,,,,,,,,,,"04",,,,,"GRANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,7912,9338,19492,4960,4497
"G1800550","1980","A","2","3","Indiana","18",,"Greene","055",,,,,,,,,,,,"06",,,,,"GREENE",,,"1","1",,,,,,"1","1",,,,,,"1","1",,,,,"1",,"1","1",,4182,3651,8166,1603,1380
"G1800570","1980","A","2","3","Indiana","18","3480","Hamilton","057",,,,,,"44",,,,,,"05",,,,,"HAMILTON",,,,,,,,,,,"1",,"1",,,,,"1",,,,,"1","1",,,,4191,4997,17755,8298,12210
"G1800590","1980","A","2","3","Indiana","18","3480","Hancock","059",,,,,,"44",,,,,,"05",,,,,"HANCOCK",,,,,,,,,,,,,,,,,"1",,,,,,"1","1","1",,,3011,3604,12117,3393,2828
"G1800610","1980","A","2","3","Indiana","18",,"Harrison","061",,,,,,,,,,,,"07",,,,,"HARRISON",,,,"1",,,,,,,"1","1",,,,,,"1","1",,,,,"1","1","1",,3544,2249,7073,1520,1044
"G1800630","1980","A","2","3","Indiana","18","3480","Hendricks","063",,,,,,"44",,,,,,"05",,,,,"HENDRICKS",,,,,,,,,,,"1",,"1",,,,,,,,,,,"1","1",,,3975,5385,18954,5681,5713
"G1800650","1980","A","2","3","Indiana","18",,"Henry","065",,,,,,,,,,,,"04",,,,,"HENRY",,,,,,,,,,,,,,,,,,"1",,,,,,"1",,,,6641,5653,13937,2846,2307
"G1800670","1980","A","2","3","Indiana","18","3850","Howard","067",,,,,,,,,,,,"04",,,,,"HOWARD",,,,,,,,,,,,,,,,,,,,,,,,,,,,7533,8126,22630,5907,5463
"G1800690","1980","A","2","3","Indiana","18",,"Huntington","069",,,,,,,,,,,,"03",,,,,"HUNTINGTON",,,,,,,,,,,,,,,,,,"1",,,,,,"1",,,,2469,3431,10115,2390,2102
"G1800710","1980","A","2","3","Indiana","18",,"Jackson","071",,,,,,,,,,,,"08",,,,,"JACKSON",,,,"1",,,,,,,"1",,"1",,,,,"1","1",,,,,"1",,,,4774,3767,9357,1780,1566
"G1800730","1980","A","2","3","Indiana","18",,"Jasper","073",,,,,,,,,,,,"02",,,,,"JASPER",,,,"1",,,,,,"1","1",,,,,,"1",,,,,,,"1",,,,2410,2543,6278,1355,1292
"G1800750","1980","A","2","3","Indiana","18",,"Jay","075",,,,,,,,,,,,"03",,,,,"JAY",,,,"1","1",,,,,,,,,,,,,"1",,,,,"1",,,,,2739,2705,6166,1069,939
"G1800770","1980","A","2","3","Indiana","18",,"Jefferson","077",,,,,,,,,,,,"08",,,,,"JEFFERSON",,,,"1",,,,,,,"1",,"1",,,,,"1","1",,,,,"1","1",,,3344,3176,7051,1630,2112
"G1800790","1980","A","2","3","Indiana","18",,"Jennings","079",,,,,,,,,,,,"08",,,,,"JENNINGS",,,,,,,,,,,"1","1",,,,,,"1","1",,,,"1","1","1","1",,2944,2400,5520,1036,872
"G1800810","1980","A","2","3","Indiana","18","3480","Johnson","081",,,,,,"44",,,,,,"05",,,,,"JOHNSON",,,,,,,,,,,,,,,,,,,,,,,,,,,,6373,6238,19171,5743,5732
