GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHM001,DHM002,DHM003,DHM004,DHM005
"G0100250","1980","A","3","6","Alabama","01",,"Clarke","025",,,,,,,,,,,,"07",,,,,"CLARKE",,,,,"1",,,,,,,,,,,,,,,,,,"1","1",,,,4294,3333,4596,1510,1344
"G0100270","1980","A","3","6","Alabama","01",,"Clay","027",,,,,,,,,,,,"04",,,,,"CLAY",,,"1","1",,,,,,,,,,,,,,,,,,,,,,"1",,2484,1817,2583,690,479
"G0100290","1980","A","3","6","Alabama","01",,"Cleburne","029",,,,,,,,,,,,"04",,,,,"CLEBURNE",,,,,"1","1",,,,"1",,"1",,"1",,,"1",,"1","1",,,,,,,,2825,1753,2031,385,431
"G0100310","1980","A","3","6","Alabama","01",,"Coffee","031",,,,,,,,,,,,"09",,,,,"COFFEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,6087,3749,6696,3378,2766
"G0100330","1980","A","3","6","Alabama","01","2650","Colbert","033",,,,,,,,,,,,"01",,,,,"COLBERT",,,,,"1",,,,,,,,,,,,,"1","1",,,,,"1","1",,,7893,6338,11210,3756,3034
"G0100350","1980","A","3","6","Alabama","01",,"Conecuh","035",,,,,,,,,,,,"09",,,,,"CONECUH",,,"1","1",,,,,,"1","1",,,,,,,,,,,,"1","1",,"1",,3321,1876,2569,714,556
"G0100370","1980","A","3","6","Alabama","01",,"Coosa","037",,,,,,,,,,,,"04",,,,,"COOSA",,,"1",,"1",,,,,,,,,,,,,,,"1",,,,,,"1",,2221,1559,2100,529,237
"G0100390","1980","A","3","6","Alabama","01",,"Covington","039",,,,,,,,,,,,"09",,,,,"COVINGTON",,,,"1",,,,,,,"1",,"1",,,,,,"1",,,,,,,,,8504,4267,6401,2108,1636
"G0100410","1980","A","3","6","Alabama","01",,"Crenshaw","041",,,,,,,,,,,,"09",,,,,"CRENSHAW",,,,,"1",,,,,"1",,"1",,,,,"1",,"1",,,,,,,,,3484,1801,2062,549,576
"G0100430","1980","A","3","6","Alabama","01",,"Cullman","043",,,,,,,,,,,,"02",,,,,"CULLMAN",,,,,"1",,,,,,,,,,,,,"1","1",,,,,,"1",,,11961,7674,11353,3122,2671
"G0100450","1980","A","3","6","Alabama","01",,"Dale","045",,,,,,,,,,,,"09",,,,,"DALE",,,,,,,,,,,,,,,,,,,"1",,,,,,,,,4967,3769,8575,4681,2898
"G0100470","1980","A","3","6","Alabama","01",,"Dallas","047",,,,,,,,,,,,"06",,,,,"DALLAS",,,,"1",,,,,,,"1",,"1",,,,,"1",,,,,,,"1",,,7930,5477,8590,3575,3265
"G0100490","1980","A","3","6","Alabama","01",,"DeKalb","049",,,,,,,,,,,,"02",,,,,"DE KALB",,,,,,,,,,,,,,,,,,,"1",,,,,,"1",,,11270,7046,8936,2888,1808
"G0100510","1980","A","3","6","Alabama","01","5240","Elmore","051",,,,,,,,,,,,"05",,,,,"ELMORE",,,,"1",,,,,,,"1","1",,,,,"1",,"1",,,,"1","1",,,,5725,4860,9169,2722,2567
"G0100530","1980","A","3","6","Alabama","01",,"Escambia","053",,,,,,,,,,,,"08",,,,,"ESCAMBIA",,,,,"1",,,,,,"1",,"1",,,,,,,,,,,"1",,,,6533,4309,7230,2365,1586
"G0100550","1980","A","3","6","Alabama","01","2880","Etowah","055",,,,,,,,,,,,"03",,,,,"ETOWAH",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,15896,11946,20344,8053,5491
"G0100570","1980","A","3","6","Alabama","01",,"Fayette","057",,,,,,,,,,,,"05",,,,,"FAYETTE",,,,,"1",,,,,,,"1","1",,,,"1",,,,,,"1",,"1",,,3930,2410,3322,756,820
"G0100590","1980","A","3","6","Alabama","01",,"Franklin","059",,,,,,,,,,,,"05",,,,,"FRANKLIN",,,,,"1",,,,,,,,,,,,,"1","1",,,,,"1","1",,,5399,4032,5062,1651,1029
"G0100610","1980","A","3","6","Alabama","01",,"Geneva","061",,,,,,,,,,,,"09",,,,,"GENEVA",,,,,"1",,,,,,"1",,"1",,,,,"1",,,,,"1","1",,,,5008,2808,4500,1296,861
"G0100630","1980","A","3","6","Alabama","01",,"Greene","063",,,,,,,,,,,,"06",,,,,"GREENE",,,,,,,,,,,,,,,,,,,,,,,,,,,,2413,1075,1281,478,558
"G0100650","1980","A","3","6","Alabama","01",,"Hale","065",,,,,,,,,,,,"06",,,,,"HALE",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,,,,,3605,1602,2007,646,564
"G0100670","1980","A","3","6","Alabama","01",,"Henry","067",,,,,,,,,,,,"09",,,,,"HENRY",,,,,"1",,,,,"1",,,"1",,,,"1",,,,,,,,,"1",,3114,1937,2379,804,779
"G0100690","1980","A","3","6","Alabama","01",,"Houston","069",,,,,,,,,,,,"09",,,,,"HOUSTON",,,,,,,,,,,,,,,,,,,"1",,,,,,,,,10678,7166,13980,5521,5435
"G0100710","1980","A","3","6","Alabama","01",,"Jackson","071",,,,,,,,,,,,"02",,,,,"JACKSON",,,,,"1",,,,,,,"1","1",,,,,,,,,,,"1",,,,9810,5613,9042,3094,1996
"G0100730","1980","A","3","6","Alabama","01","1000","Jefferson","073",,,,,,,,,,,,"A",,,,,"JEFFERSON",,,,,,,,,,,,,,,,,,,,,,,,,,,,71909,69622,132921,63342,63229
"G0100750","1980","A","3","6","Alabama","01",,"Lamar","075",,,,,,,,,,,,"05",,,,,"LAMAR",,,,"1","1",,,,,,"1","1","1",,,,"1",,,,,,,"1","1","1",,3622,1961,2988,640,580
"G0100770","1980","A","3","6","Alabama","01","2650","Lauderdale","077",,,,,,,,,,,,"01",,,,,"LAUDERDALE",,,,,,,,,,,,,,,,,,,,,,,,,,,,11742,7924,15561,5109,6044
"G0100790","1980","A","3","6","Alabama","01",,"Lawrence","079",,,,,,,,,,,,"01",,,,,"LAWRENCE",,,,"1","1",,,,,"1","1",,,,,,"1","1",,,,,,,,"1",,5578,3936,5396,1101,665
"G0100810","1980","A","3","6","Alabama","01",,"Lee","081",,,,,,,,,,,,"04",,,,,"LEE",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,8267,5354,9860,4712,7777
"G0100830","1980","A","3","6","Alabama","01","3440","Limestone","083",,,,,,,,,,,,"01",,,,,"LIMESTONE",,,,"1",,,,,,,,"1","1",,,,,,,,,,,,"1",,,7887,4950,8272,2648,2277
"G0100850","1980","A","3","6","Alabama","01",,"Lowndes","085",,,,,,,,,,,,"06",,,,,"LOWNDES",,"1",,"1",,,,,,,,,,,,,,,,,,,,,,"1",,2421,1208,1722,531,430
"G0100870","1980","A","3","6","Alabama","01",,"Macon","087",,,,,,,,,,,,"05",,,,,"MACON",,,,,,,,,,,,,,,,,,,,,,,,,,,,4038,2342,3172,1871,2526
"G0100890","1980","A","3","6","Alabama","01","3440","Madison","089",,,,,,,,,,,,"F",,,,,"MADISON",,,,,,,,,,,,,,,,,,,,,,,,,,,,18244,14655,34718,18930,23506
"G0100910","1980","A","3","6","Alabama","01",,"Marengo","091",,,,,,,,,,,,"06",,,,,"MARENGO",,"1",,,"1",,,,,"1",,"1",,,,,,,,,,"1",,,"1",,,4280,2847,4241,1181,1207
"G0100930","1980","A","3","6","Alabama","01",,"Marion","093",,,,,,,,,,,,"05",,,,,"MARION",,,,"1",,,,,,,,,,,,,"1","1",,,,,,,,"1",,6051,4296,5194,1298,1085
"G0100950","1980","A","3","6","Alabama","01","3440","Marshall","095",,,,,,,,,,,,"02",,,,,"MARSHALL",,,,,,,,,,,,,,,,,,,,,,,,,,,,11474,8039,11947,4260,3377
"G0100970","1980","A","3","6","Alabama","01","5160","Mobile","097",,,,,,,,,,,,"D",,,,,"MOBILE",,,,,,,,,,,,,,,,,,,,,,,,,,,,39220,37826,69871,29075,24926
"G0100990","1980","A","3","6","Alabama","01",,"Monroe","099",,,,,,,,,,,,"09",,,,,"MONROE",,,,,,,,,,,,,,,,,,,,,,,,,,,,3870,2209,4060,1107,1068
"G0101010","1980","A","3","6","Alabama","01","5240","Montgomery","101",,,,,,,,,,,,"C",,,,,"MONTGOMERY",,,,,,,,,,,,,,,,,,,,,,,,,,,,19510,17031,34341,17210,21989
"G0101030","1980","A","3","6","Alabama","01",,"Morgan","103",,,,,,,,,,,,"01",,,,,"MORGAN",,,,,,,,,,,"1",,"1",,,,,"1",,,,,,,,,,11481,9470,18311,6843,6164
"G0101050","1980","A","3","6","Alabama","01",,"Perry","105",,,,,,,,,,,,"06",,,,,"PERRY",,,,,"1",,,,"1",,,"1",,,,"1",,,"1",,,,,,,,,3104,1364,2016,612,762
"G0101070","1980","A","3","6","Alabama","01",,"Pickens","107",,,,,,,,,,,,"05",,,,,"PICKENS",,,,"1","1",,,,,,"1","1",,,,,,"1","1",,,,"1","1",,"1",,4281,2519,3616,850,844
"G0101090","1980","A","3","6","Alabama","01",,"Pike","109",,,,,,,,,,,,"09",,,,,"PIKE",,,,,"1",,,,,,,,,,,,,"1","1",,,,,"1","1",,,4904,2948,3979,1412,1690
"G0101110","1980","A","3","6","Alabama","01",,"Randolph","111",,,,,,,,,,,,"04",,,,,"RANDOLPH",,,,"1","1",,,,,,,,,,,,,,,,,,,,,"1",,4369,2596,3192,832,858
"G0101130","1980","A","3","6","Alabama","01","1800","Russell","113",,,,,,,,,,,,"B",,,,,"RUSSELL",,,,,,,,,,,,,,,,,,,,,,,,,,,,9598,5716,7656,2284,1536
"G0101150","1980","A","3","6","Alabama","01","1000","St Clair","115",,,,,,,,,,,,"03",,,,,"ST. CLAIR",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,,,,,6912,4929,7947,2335,1519
"G0101170","1980","A","3","6","Alabama","01","1000","Shelby","117",,,,,,,,,,,,"03",,,,,"SHELBY",,,,"1",,,,,,,,"1","1",,,,,,"1",,,,,,"1",,,7346,6127,11735,5204,6564
"G0101190","1980","A","3","6","Alabama","01",,"Sumter","119",,,,,,,,,,,,"06",,,,,"SUMTER",,,,,"1",,,,,,,,,,,,,,,,,,,,,,,3038,1537,2314,814,843
"G0101210","1980","A","3","6","Alabama","01",,"Talladega","121",,,,,,,,,,,,"03",,,,,"TALLADEGA",,,,,,,,,,,,"1","1",,,,,,,,,,,"1","1",,,12151,8473,12765,4004,3154
"G0101230","1980","A","3","6","Alabama","01",,"Tallapoosa","123",,,,,,,,,,,,"04",,,,,"TALLAPOOSA",,,,"1",,,,,,,"1",,"1",,,,,"1","1",,,,,,"1",,,7121,4746,6899,2289,1904
"G0101250","1980","A","3","6","Alabama","01","8600","Tuscaloosa","125",,,,,,,,,,,,"E",,,,,"TUSCALOOSA",,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,16366,13067,22955,9058,12237
"G0101270","1980","A","3","6","Alabama","01","1000","Walker","127",,,,,,,,,,,,"03",,,,,"WALKER",,,,,"1",,,,,,,,,,,,,,,,,,,"1","1",,,13460,8410,12652,3136,2564
"G0101290","1980","A","3","6","Alabama","01",,"Washington","129",,,,,,,,,,,,"07",,,,,"WASHINGTON",,,,"1","1",,,,,,"1","1",,,,,,"1","1",,,,,,,,,3040,1763,3036,643,489
"G0101310","1980","A","3","6","Alabama","01",,"Wilcox","131",,,,,,,,,,,,"06",,,,,"WILCOX",,,,"1","1",,,,"1",,"1",,,,,"1",,"1",,,,,,,,,,3055,1368,1852,582,717
"G0101330","1980","A","3","6","Alabama","01",,"Winston","133",,,,,,,,,,,,"05",,,,,"WINSTON",,,,,"1",,,,,,"1","1",,,,,,"1","1",,,,,,,"1",,4669,2721,3837,1041,675
"G0200100","1980","S","4","9","Alaska","02",,"Aleutian Islands","010",,,,,,,,,,,,"01",,,,,"ALEUTIAN ISLANDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,511,346,1544,769,574
"G0200200","1980","B","4","9","Alaska","02","0380","Anchorage","020",,,,,,,,,,,,"01",,,,,"ANCHORAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,3880,6959,36870,23327,21984
"G0200500","1980","S","4","9","Alaska","02",,"Bethel","050",,,,,,,,,,,,"01",,,,,"BETHEL",,,,,"1",,,,,"1",,"1",,,,"1","1",,,"1",,,"1",,"1",,,2290,315,1059,487,661
"G0200600","1980","A","4","9","Alaska","02",,"Bristol Bay Borough","060",,,,,,,,,,,,"01",,,,,"BRISTOL BAY",,,,,"1",,,,,,"1",,"1","1",,,,,,,,,,"1",,"1",,56,53,261,132,99
