GEOID,Y,X,POP,state
99034,47.88844209115717,-117.74787447886769,209,53
99033,47.225126170024225,-117.07544501987341,895,53
99032,47.30841922020047,-117.9971028294742,691,53
99031,47.447915432746676,-117.38050461046083,1137,53
99030,47.47449243615115,-117.12362568378485,1032,53
99029,47.68914752274826,-117.84179848199615,1289,53
99027,47.70065630346785,-117.1176871335136,6101,53
99026,47.810103255866935,-117.59746321350693,9042,53
99025,47.73262171059767,-117.07151848226471,5232,53
99023,47.55718501850894,-117.19245386863214,529,53
99022,47.59116054174567,-117.67729553865095,8820,53
99021,47.79389993427839,-117.32098614171447,9174,53
99020,47.56370991318728,-117.4964679254966,82,53
99019,47.66214774263568,-117.08888520519129,9502,53
99018,47.2841468893286,-117.15587150273392,282,53
99017,47.191264869295864,-117.88587157195542,161,53
99016,47.65427820436573,-117.1575900425944,12480,53
99013,47.8768130056844,-117.8254553225672,1785,53
99012,47.38585047072874,-117.18662940819574,1064,53
99011,47.63278213424966,-117.65271136752537,2776,53
99009,48.02090227723868,-117.28223130689359,3947,53
99008,47.51246556661525,-117.88520959117432,641,53
99006,47.9499241162984,-117.4741651265234,11946,53
99005,47.831399820108174,-117.37276355807579,8574,53
99004,47.50309039102274,-117.58191116930831,18376,53
99003,47.92225684884803,-117.31888586332407,4848,53
99001,47.6476154524257,-117.58584401635186,6151,53
98953,46.41435538302888,-120.26476502472632,6681,53
98952,46.370755305992695,-120.72106395885824,2330,53
98951,46.44394559611036,-120.44966015611162,13739,53
98950,46.87100651895687,-119.97416053646002,177,53
98948,46.374143780104504,-120.32350155359018,13225,53
98947,46.70248601414768,-120.75085296609524,2902,53
98946,47.07136688253699,-120.69232302092396,495,53
98944,46.32386719077348,-120.00760356319715,22014,53
98943,47.186859165579776,-120.95181123477505,660,53
98942,46.680810491697606,-120.54456840088541,16973,53
98941,47.222507590747135,-120.99499734255487,919,53
98940,47.261299745752346,-121.04112556771187,760,53
98939,46.50219572381402,-120.46824506156712,167,53
98938,46.34973617011962,-120.09730168621692,2177,53
98937,46.738592902253075,-120.76894220097046,4112,53
98936,46.55015670232031,-120.35890910089796,5872,53
98935,46.2136411643709,-119.999002975515,4190,53
98934,46.98563419702943,-120.41985138661131,1117,53
98933,46.404982947125156,-120.58095227407452,1267,53
98932,46.34803759346797,-120.18456644800787,5032,53
98930,46.25377767193704,-119.91012592211149,15252,53
98929,46.88955323873893,-121.27137829081171,0,53
98926,47.00401822610056,-120.52847609306946,30239,53
98925,47.25622629737655,-121.20198879888392,689,53
98923,46.66708603163225,-120.71231638438145,1434,53
98922,47.19283703881806,-120.926595565997,5468,53
98921,46.4302614111185,-120.31727696074238,516,53
98908,46.6013541821951,-120.61126598186635,35240,53
98903,46.55682993700077,-120.57605254354023,14517,53
98902,46.59383381969563,-120.53178373931952,46322,53
98901,46.606269491659724,-120.47288192298113,30169,53
98862,48.493203867877405,-120.21961878270945,2218,53
98860,47.43229249644546,-119.13359741463516,259,53
98859,48.8049924096581,-118.92711451713966,238,53
98858,47.654330705320476,-120.02198239359846,1521,53
98857,46.97569963380713,-119.0522932943298,4082,53
98856,48.357559519076005,-120.12384067396977,2464,53
98855,48.698022730278794,-119.37553172517521,5863,53
98853,47.44450883855441,-119.2541879367755,23,53
98852,48.33106856762351,-120.69989069974147,104,53
98851,47.38402308341138,-119.47488074483893,4014,53
98850,47.365120609927985,-120.14071018174565,1543,53
98849,48.512765673494904,-119.47764268018459,1078,53
98848,47.200951862965795,-119.85344027946844,11518,53
98847,47.53809455535031,-120.61636609667696,1920,53
98846,48.049570604472855,-119.92278129946659,1173,53
98845,47.40045779678977,-119.92753041954404,128,53
98844,48.9189972086289,-119.38460429224394,4740,53
98843,47.729840859892256,-120.15048303370511,1817,53
98841,48.41378969946203,-119.49848752172672,9197,53
98840,48.3540071056452,-119.59855564588864,4851,53
98837,47.136166890240794,-119.29616483680401,39722,53
98836,47.48667595917645,-120.42600832589822,584,53
98834,48.130998380772155,-120.04617852363562,239,53
98833,48.63988631336439,-120.50186610315258,150,53
98832,47.34992709543759,-119.00630685410641,320,53
98831,47.89739156751462,-120.15036783789677,3708,53
98830,47.84267585685847,-119.61277517337065,494,53
98829,48.28820401976722,-119.73457096704516,564,53
98828,47.35710331543716,-120.20608736964772,2146,53
98827,48.856970146611786,-119.66509144160351,312,53
98826,47.66059576171924,-120.67975488780479,6504,53
98824,47.07759868841648,-119.85899949713344,181,53
98823,47.3000626690895,-119.56391366748838,11055,53
98822,47.71359908412047,-120.27916015661036,1953,53
98821,47.545646122472256,-120.56257163381422,519,53
98819,48.572916824468614,-119.76222532397472,258,53
98817,47.798546835612534,-119.98983692643364,366,53
98816,47.85808984287101,-120.04521784592657,6394,53
98815,47.51827272823152,-120.48554821213392,7233,53
98814,48.23389838458114,-120.1097724922504,466,53
98813,48.015685111404544,-119.66988172569229,3176,53
98812,48.11294546890833,-119.76611515379513,4899,53
98811,47.73175206754604,-120.36591451900664,71,53
98802,47.4239975602681,-120.27026402580124,28719,53
98801,47.42459566384837,-120.32897212917223,40977,53
98686,45.71232017289442,-122.632874586299,17385,53
98685,45.71178620583976,-122.68519775774841,26217,53
98684,45.63054748773784,-122.5193440117922,26968,53
98683,45.60569370090754,-122.51229093571241,30832,53
98682,45.66665623321665,-122.52325270705437,52893,53
98675,45.86073797581248,-122.41964911719484,6713,53
98674,45.92379729659771,-122.71113830140206,12029,53
98673,45.658395749060055,-120.98777023326859,404,53
98672,45.760800880399216,-121.48398392870035,6146,53
98671,45.59582450847082,-122.31758187031635,21220,53
98670,45.858770389641705,-121.13235219758236,113,53
98665,45.682729126950576,-122.6597200438878,24057,53
98664,45.622836968718545,-122.57655826762009,21771,53
98663,45.651769836954,-122.66173991001988,14115,53
98662,45.67424150800919,-122.57691503021152,31644,53
98661,45.64493887093043,-122.62312632803827,41740,53
98660,45.64103841277033,-122.68097688143324,11858,53
98651,45.7360486250336,-121.5598823898992,939,53
98650,45.98190574875213,-121.51872627119378,959,53
98649,46.31914510413666,-122.6721890530343,895,53
98648,45.68546878012828,-121.91248497120384,3100,53
98647,46.29809527198311,-123.43429954867126,404,53
98645,46.31320541166629,-122.77727634070615,1429,53
98644,46.33024472365565,-124.05405026966163,473,53
98643,46.31301018380128,-123.64938283943606,362,53
98642,45.78963286671035,-122.68989536378777,15696,53
98641,46.54664955004982,-124.02993551900306,5,53
98640,46.4964378453417,-124.04476326282513,4380,53
98639,45.64035213197157,-121.9752844296364,847,53
98638,46.3723448183625,-123.76730280903034,1525,53
98635,45.72233799628109,-121.23969314785731,1735,53
98632,46.15476804395307,-122.97034713904301,49205,53
98631,46.376907495656454,-124.04675356657656,3243,53
98629,45.87560861286705,-122.62834012754783,8364,53
98628,45.81879905549305,-121.14923236406807,385,53
98626,46.149690021912384,-122.88520198694731,24523,53
98625,46.00780295244621,-122.81199441439924,6133,53
98624,46.30840691556711,-124.01644305959536,1532,53
98621,46.356919678771284,-123.5838576311619,276,53
98620,45.842640028063144,-120.81192266357668,7123,53
98619,45.9992950571995,-121.28824336891682,457,53
98617,45.62457812942496,-121.17732979025308,1042,53
98616,46.08472915432942,-122.19913766564804,150,53
98614,46.27842123584871,-123.92105651080172,353,53
98613,45.74741727185457,-120.9384259330682,400,53
98612,46.19899364159203,-123.36307161214606,2704,53
98611,46.285218223767615,-122.90445677156404,9133,53
98610,45.750877859777724,-121.8437308148331,2871,53
98607,45.606144396941176,-122.42437209266585,27899,53
98606,45.733705827257786,-122.47508765661587,9027,53
98605,45.73272345804102,-121.53952797430044,1225,53
98604,45.78892151794446,-122.53226369971891,34232,53
98603,46.004298685596616,-122.43119108845472,1017,53
98602,45.84448088986304,-121.28214184539604,200,53
98601,45.92202087650941,-122.45317735924931,2982,53
98597,46.90767209908625,-122.5744073295792,21557,53
98596,46.498353087663524,-122.93224506774679,6524,53
98595,46.88039884816488,-124.10771061679516,2917,53
98593,46.40107948860484,-122.9634414293725,1113,53
98592,47.338220250236,-123.07969568877441,1764,53
98591,46.44648266522393,-122.81909377813088,3952,53
98590,46.71452584170636,-123.99959486667584,356,53
98589,46.858724447951744,-122.85358602304336,7320,53
98588,47.432369966422,-123.00478331949238,1829,53
98587,47.33224981005721,-124.2773192930496,942,53
98586,46.64705723683497,-123.8187788888527,1944,53
98585,46.54561698882394,-122.54176803999194,655,53
98584,47.22265080510842,-123.0828045552887,36630,53
98583,47.001354921032416,-123.4846866183631,124,53
98582,46.5260306883479,-122.62754391309744,611,53
98581,46.3747122581818,-123.04503322769271,424,53
98580,46.96169340138814,-122.48308965945377,11099,53
98579,46.821760880304744,-123.05032513881876,12870,53
98577,46.664792452606925,-123.70155028064951,6338,53
98576,46.88000495525621,-122.67611674017135,4667,53
98575,47.45044974209963,-123.8265782179236,228,53
98572,46.56991051162301,-123.30198767871792,797,53
98571,47.20670951222639,-124.1964978018465,483,53
98570,46.57988096743146,-122.68959393885387,3889,53
98569,46.981841962689714,-124.15354584726171,5784,53
98568,46.84530415718216,-123.25449355471842,2519,53
98565,46.57898622064202,-122.90638719658816,618,53
98564,46.51672879461978,-122.48815889124157,2459,53
98563,46.99887912839752,-123.60157442721678,8001,53
98562,47.23575868902154,-124.21190562213032,195,53
98560,47.26847539861785,-123.43174945537504,142,53
98559,46.95874065451756,-123.32733397810249,93,53
98558,46.93498669008718,-122.55796790959684,192,53
98557,47.05442060630648,-123.27416980116163,3225,53
98555,47.52328238996274,-123.06678427786129,599,53
98552,47.31601472688074,-123.91912830691344,508,53
98550,47.00600102266842,-123.90281904663289,11382,53
98548,47.4198161743246,-123.19596890390899,2193,53
98547,46.79661648363518,-124.08452474909686,1436,53
98546,47.31343940810789,-122.9183694546284,2909,53
98544,46.74117282395332,-123.02773524145012,73,53
98542,46.527433468211285,-122.72409549427131,656,53
98541,47.02627321692379,-123.40104051424343,10101,53
98538,46.52114156014736,-123.1393221146055,304,53
98537,46.925076752532775,-123.74151228050442,2129,53
98536,47.17474899248044,-124.134680717857,211,53
98535,47.111071356355495,-124.15690269115149,445,53
98533,46.59274983238223,-122.52157649988584,609,53
98532,46.627202160645936,-122.96331973575718,23596,53
98531,46.729773732625894,-122.96952183918819,24121,53
98530,46.79767778383932,-122.86792693116756,565,53
98528,47.43617728853901,-122.86947171275813,9983,53
98527,46.61681705751277,-123.94731838161051,324,53
98526,47.46610188858328,-123.923399052065,398,53
