"ZCTA","minDisOTP","countDrive","timeDrive"
"01001",3.99347508618774,11,8.84
"01002",12.6820349392274,3,18.07
"01003",10.1432630546965,3,20.03
"01005",18.4315937878389,1,29.62
"01007",10.461569085001,3,21.6
"01008",15.380791508151,1,18.59
"01009",11.9288783658329,3,16.94
"01010",13.1327894502097,2,17.61
"01012",9.38326335663809,2,23.19
"01013",1.8848471891509,11,0
"01020",4.17516065537011,11,8.18
"01022",2.19590384341516,9,11.97
"01026",3.11423495751069,1,13.42
"01027",8.33232480583934,8,9.5
"01028",3.33604445888287,11,9.12
"01029",21.6523921220754,1,27.51
"01030",7.11294750119764,10,12.79
"01032",5.80436276269894,2,21.42
"01033",5.41455938166095,8,13.72
"01034",15.7219101518294,1,28.85
"01035",5.56605507147188,3,13.71
"01036",7.18999772020184,7,16.33
"01038",6.9156146594876,6,13.51
"01039",9.95185739611506,1,15.66
"01040",2.27365251917896,11,0
"01050",16.9316303394078,2,23.03
"01053",7.09270419300912,3,8.64
"01054",13.2514302937218,4,26.89
"01056",3.86874164161366,11,0
"01057",14.0022562537482,4,23.54
"01060",0.983715180863428,11,0
"01062",4.761401236413,3,8.22
"01063",1.12607995869471,8,1.19
"01066",9.10891275122669,6,14.86
"01069",14.3455264602786,8,14.87
"01070",4.31225235553405,1,0
"01071",8.63889570882066,1,16.41
"01073",9.03427051353312,8,15.64
"01075",5.05916008524628,9,7.19
"01077",7.88519609338685,6,13.01
"01079",12.6020975364703,7,16.19
"01080",10.3097190662303,7,11.99
"01081",13.8698207340199,1,24.31
"01083",16.5677630311608,1,25.92
"01084",8.69587838669778,1,23.28
"01085",2.73642385716072,9,0
"01086",3.73136569068867,7,6.74
"01088",7.40100663651924,6,11.64
"01089",2.64619755392446,12,7.17
"01092",18.4462398223487,2,26.29
"01093",11.544476715228,4,18.15
"01095",9.04888804252803,10,13.94
"01096",10.9124313942685,1,21.87
"01097",7.41579422323053,6,9.78
"01098",9.22504932847608,1,27.49
"01103",0.978793857303518,12,1.46
"01104",2.33243542321439,12,0
"01105",0.977050409725698,12,0
"01106",3.84546069210037,14,8.14
"01107",0.826425611713423,12,0
"01108",1.59704669378583,12,3.96
"01109",2.62529786868894,12,4.72
"01118",3.83146023970865,11,5.92
"01119",5.28341641576558,11,11.61
"01128",6.38907365241937,10,10.84
"01129",6.84173281592078,10,12.04
"01151",4.69572438410021,11,6.82
"01199",0.735965812242422,12,1.19
"01201",2.06833840652342,2,0
"01220",4.14395745841398,1,11.55
"01222",5.30010871097958,2,12.15
"01224",4.64971708461077,3,14.13
"01225",10.3562763548087,3,20.84
"01226",5.38559442464773,2,10.91
"01229",3.87245555436258,3,16.29
"01230",5.26063077708935,2,0
"01235",9.93679947631933,2,21.6
"01236",2.84484285085462,1,10.07
"01237",8.5252022346935,2,15.63
"01238",10.1620777085655,3,21.71
"01240",8.39276734154201,3,13.34
"01242",11.3848164194501,3,18.36
"01244",11.524716434456,2,23.15
"01245",10.6433910075146,1,17.41
"01247",3.27223591472664,1,0
"01254",10.9552620961144,3,20.24
"01256",9.02762047204879,2,18.3
"01257",9.25745485363217,2,14.11
