G_ZCTA,ZCTA,year,totWrkE,eduP,hghRskP,hltCrP,retailP
G00601,00601,2018,3495,16.11,20.49,13.99,10.73
G00602,00602,2018,11536,9.32,18.46,9.74,14.73
G00603,00603,2018,12400,11.69,17.24,9.23,12.77
G00606,00606,2018,1355,5.31,47.31,11.81,5.17
G00610,00610,2018,8464,10.53,28.75,8.22,14.43
G00612,00612,2018,15455,10.68,17.72,14.4,16.29
G00616,00616,2018,3120,14.71,21.54,17.6,8.91
G00617,00617,2018,5835,7.51,23.82,13.73,16.93
G00622,00622,2018,1286,3.27,10.65,19.36,16.72
G00623,00623,2018,10922,12.11,19.02,10.01,18.63
G00624,00624,2018,5596,15.56,21.18,17.91,11.26
G00627,00627,2018,8543,9.14,22.95,11.19,17.84
G00631,00631,2018,394,21.07,23.6,30.2,4.06
G00637,00637,2018,5698,15.71,17.44,16.09,12.14
G00638,00638,2018,3209,18.07,20.5,14.33,9.94
G00641,00641,2018,6168,13.6,22.76,9.35,15.21
G00646,00646,2018,11617,6.97,18.25,12.68,11.38
G00647,00647,2018,1104,15.58,11.59,15.22,18.84
G00650,00650,2018,3950,8.46,20.78,9.16,19.37
G00652,00652,2018,959,10.74,20.65,6.26,17.52
G00653,00653,2018,2329,17.82,17.43,12.07,15.8
G00656,00656,2018,4663,15.29,20.52,16.08,9.09
G00659,00659,2018,12069,14.16,19.69,12.2,16.65
G00660,00660,2018,4781,14.64,13.28,14.72,16.31
G00662,00662,2018,10134,10.46,15.48,14.19,15.04
G00664,00664,2018,3361,14.82,37.94,6.99,10.89
G00667,00667,2018,4647,9.15,21.95,14.35,14.42
G00669,00669,2018,6282,12.03,23.53,11.54,14.9
G00670,00670,2018,2177,15.8,19.71,15.48,10.15
G00674,00674,2018,11062,7.17,22.23,16.22,15.38
G00676,00676,2018,9017,10.72,20.92,9.35,15.75
G00677,00677,2018,4572,4.94,21.78,14.57,9.25
G00678,00678,2018,7468,11.82,20.96,10.11,15.69
G00680,00680,2018,11511,12.1,16.05,16.68,15.28
G00682,00682,2018,7738,15.74,9.98,12.65,16.67
G00683,00683,2018,7860,15.11,21.82,12.44,11.35
G00685,00685,2018,8598,12.12,23.27,12.43,14.18
G00687,00687,2018,8586,10.05,25.67,16.5,12.67
G00688,00688,2018,3360,8.9,24.79,14.02,15.42
G00690,00690,2018,1451,11.78,26.4,4.96,10.13
G00692,00692,2018,9499,8.11,19.33,12.71,15.91
G00693,00693,2018,14490,10.43,20.97,15.52,9.46
G00694,00694,2018,0,NA,NA,NA,NA
G00698,00698,2018,8918,14.5,20.49,15.09,10.25
G00703,00703,2018,7519,6.6,22.52,16.92,13.5
G00704,00704,2018,2296,8.62,33.84,13.76,13.28
G00705,00705,2018,6466,13.69,23.68,12.93,16.9
G00707,00707,2018,2183,14.93,20.48,10.9,11.96
G00714,00714,2018,3701,10.27,17.64,23.8,10.78
G00715,00715,2018,640,9.06,10.16,7.66,9.22
G00716,00716,2018,7072,14.93,12.03,14.83,13.39
G00717,00717,2018,3803,13.2,15.15,11.28,12.81
G00718,00718,2018,6903,8.71,20.99,10.82,11
G00719,00719,2018,7680,13.01,16.63,10.7,18.24
G00720,00720,2018,4315,13.6,29.59,9.73,13.81
G00723,00723,2018,4071,10.29,26.65,10.22,13.78
G00725,00725,2018,26870,10.06,13.74,14.75,13.27
G00727,00727,2018,21098,9.33,13.18,15.25,13.94
G00728,00728,2018,11308,14.37,16.18,14.02,14.95
G00729,00729,2018,16184,9.45,14.9,11.13,16.04
G00730,00730,2018,7709,12.17,15.53,15.75,14.13
G00731,00731,2018,3657,14.93,20.78,14.38,13.67
G00735,00735,2018,3668,8.94,18.24,11.1,14.59
G00736,00736,2018,14769,11.89,20.72,15.66,13.75
G00738,00738,2018,9424,11.04,14.28,10.61,11.95
G00739,00739,2018,11297,9.52,21.26,11.91,15.8
G00740,00740,2018,403,1.99,16.87,9.68,3.72
G00741,00741,2018,1353,6.28,27.35,7.54,12.86
G00745,00745,2018,16941,8,15.84,10.98,14.5
G00751,00751,2018,5738,10.54,23.84,9.27,13.61
G00754,00754,2018,11335,11.94,24.61,10.74,16.83
G00757,00757,2018,7671,11.17,28.8,14.67,8.96
G00765,00765,2018,2440,7.21,11.31,8.48,5.53
G00766,00766,2018,6722,12.21,25.96,10.76,10.46
