"COUNTYFP","cntT","cntTimeDrive","avTimeDrive","pctTimeDrive"
"01001",12,1,39.64,0.08
"01003",32,4,47.88,0.12
"01005",9,0,81.58,0
"01007",4,0,47.37,0
"01009",9,2,39.97,0.22
"01011",3,0,75.48,0
"01013",9,0,76.97,0
"01015",31,24,20.27,0.77
"01017",9,0,42.4,0
"01019",6,0,46.98,0
"01021",9,6,23.62,0.67
"01023",4,0,74.06,0
"01025",9,0,111,0
"01027",4,0,67.88,0
"01029",4,2,38.44,0.5
"01031",14,3,42.82,0.21
"01033",14,13,14.1,0.93
"01035",5,0,66.09,0
"01037",3,0,78.22,0
"01039",14,0,82.94,0
"01041",6,0,80.1,0
"01043",18,15,20.98,0.83
"01045",14,6,35.06,0.43
"01047",15,0,82.31,0
"01049",14,1,47.13,0.07
"01051",15,4,38.92,0.27
"01053",9,2,33.86,0.22
"01055",30,29,12.91,0.97
"01057",5,0,57.26,0
"01059",9,0,49.12,0
"01061",6,1,43.26,0.17
"01063",3,0,57.87,0
"01065",6,1,51.08,0.17
"01067",6,0,55.05,0
"01069",22,16,24.97,0.73
"01071",11,4,34.31,0.36
"01073",163,151,19.92,0.93
"01075",3,0,58.87,0
"01077",22,17,21.81,0.77
"01079",9,0,43.02,0
"01081",27,6,44.27,0.22
"01083",16,6,33.03,0.38
"01085",4,0,56.42,0
"01087",12,0,46.63,0
"01089",73,68,13.83,0.93
"01091",6,0,85.94,0
"01093",8,5,27.19,0.62
"01095",18,1,46.04,0.06
"01097",115,103,15.8,0.9
"01099",7,0,86,0
"01101",65,62,16.23,0.95
"01103",27,4,35.13,0.15
"01105",3,0,87.82,0
"01107",5,0,59.09,0
"01109",8,0,77.46,0
"01111",6,0,56.75,0
"01113",13,11,18.62,0.85
"01115",13,5,35.15,0.38
"01117",48,28,28.95,0.58
"01119",4,0,49.35,0
"01121",22,4,50.85,0.18
"01123",10,0,78.73,0
"01125",47,42,18.16,0.89
"01127",18,11,24.61,0.61
"01129",5,0,82.95,0
"01131",4,0,136.84,0
"01133",7,0,48.98,0
"02013",1,NA,NA,NA
"02016",2,NA,NA,NA
"02020",55,54,10.37,0.98
"02050",3,NA,NA,NA
"02060",1,NA,NA,NA
"02068",1,0,133.84,0
"02070",2,NA,NA,NA
"02090",19,17,14.75,0.89
"02100",1,NA,NA,NA
"02105",2,NA,NA,NA
"02110",6,NA,NA,NA
"02122",13,NA,NA,NA
"02130",4,NA,NA,NA
"02150",5,NA,NA,NA
"02158",1,NA,NA,NA
"02164",1,NA,NA,NA
"02170",24,19,25.31,0.79
"02180",2,NA,NA,NA
"02185",3,NA,NA,NA
"02188",2,NA,NA,NA
"02195",1,NA,NA,NA
"02198",4,NA,NA,NA
"02220",2,NA,NA,NA
"02230",1,NA,NA,NA
"02240",2,NA,NA,NA
"02261",3,NA,NA,NA
"02275",1,NA,NA,NA
"02282",1,NA,NA,NA
"02290",4,NA,NA,NA
"04001",16,NA,NA,NA
"04003",32,15,40.06,0.47
"04005",28,NA,NA,NA
"04007",16,4,62.39,0.25
"04009",9,7,22.14,0.78
"04011",3,0,65.47,0
"04012",9,0,89.55,0
"04013",916,897,10.55,0.98
"04015",43,36,16.97,0.84
"04017",31,NA,NA,NA
"04019",248,NA,NA,NA
"04021",75,43,27.51,0.57
"04023",10,0,70.05,0
"04025",42,19,43.36,0.45
"04027",55,44,23.57,0.8
"05001",8,0,102.65,0
"05003",7,0,85.86,0
"05005",9,0,86.91,0
"05007",49,25,30.93,0.51
"05009",7,0,99.36,0
"05011",5,NA,NA,NA
"05013",2,0,124.12,0
"05015",5,0,80.65,0
"05017",4,NA,NA,NA
"05019",5,0,71.59,0
"05021",6,0,58.52,0
"05023",7,0,109.63,0
"05025",2,0,106.48,0
"05027",5,0,78.09,0
"05029",6,0,68.38,0
"05031",17,16,12.21,0.94
"05033",11,8,26.81,0.73
"05035",20,15,24.86,0.75
"05037",6,0,71.32,0
"05039",3,0,99.32,0
"05041",5,NA,NA,NA
"05043",5,NA,NA,NA
"05045",25,0,46.98,0
"05047",3,0,65.19,0
"05049",2,0,66.86,0
"05051",20,0,54.73,0
"05053",4,0,50.25,0
"05055",9,1,40.11,0.11
"05057",5,0,52.72,0
"05059",7,0,45.44,0
"05061",3,0,80.37,0
"05063",8,0,93.58,0
"05065",4,0,86.88,0
"05067",5,0,59.04,0
"05069",24,0,55.86,0
"05071",6,0,79.8,0
"05073",2,0,58.32,0
"05075",6,0,47.3,0
"05077",4,0,87.66,0
"05079",4,0,88.95,0
"05081",4,0,45.72,0
"05083",6,0,78.23,0
"05085",16,8,33.2,0.5
"05087",4,0,56.8,0
"05089",4,0,123.86,0
"05091",12,11,11.15,0.92
"05093",12,0,61.2,0
"05095",3,0,87.32,0
"05097",3,0,112.4,0
"05099",3,0,69.62,0
"05101",2,0,136.17,0
"05103",6,NA,NA,NA
"05105",3,0,81.05,0
"05107",6,0,75.03,0
"05109",3,0,114.21,0
"05111",7,2,35.31,0.29
"05113",6,0,139.24,0
"05115",11,0,91.76,0
"05117",3,0,58.63,0
"05119",95,92,13.86,0.97
"05121",4,0,63.87,0
"05123",6,0,61.76,0
"05125",21,19,19.68,0.9
"05127",3,0,84.16,0
"05129",3,0,173.12,0
"05131",26,20,21.99,0.77
"05133",4,0,77.96,0
"05135",4,0,85.98,0
"05137",3,0,139.16,0
"05139",10,NA,NA,NA
"05141",5,0,100.49,0
"05143",32,27,17.6,0.84
"05145",13,0,59,0
"05147",2,0,89.6,0
"05149",6,0,110.84,0
"06001",361,361,8.53,1
"06003",1,0,63.2,0
"06005",9,4,31.38,0.44
"06007",51,28,23.15,0.55
"06009",10,0,58.69,0
"06011",5,0,56.21,0
"06013",208,208,12.82,1
"06015",8,NA,NA,NA
"06017",43,10,47.47,0.23
"06019",199,179,15.65,0.9
"06021",6,2,39.69,0.33
"06023",31,23,28.41,0.74
"06025",31,26,19.07,0.84
"06027",6,NA,NA,NA
"06029",151,NA,NA,NA
"06031",27,8,37.98,0.3
"06033",15,0,89.28,0
"06035",9,NA,NA,NA
"06037",2347,NA,NA,NA
"06039",23,9,40.2,0.39
"06041",56,53,16.64,0.95
