G_COUNTYFP,COUNTYFP,cntT,cntTimeDrive,avTimeDrive,pctTimeDrive
G01001,01001,12,10,16.0616666666667,0.83
G01003,01003,32,19,25.895625,0.59
G01005,01005,9,6,21.45,0.67
G01007,01007,4,0,40.3875,0
G01009,01009,9,5,26.1633333333333,0.56
G01011,01011,3,3,15.9933333333333,1
G01013,01013,9,8,11.5633333333333,0.89
G01015,01015,31,29,12.4916129032258,0.94
G01017,01017,9,1,36.4355555555556,0.11
G01019,01019,6,6,14.1033333333333,1
G01021,01021,9,9,15.5333333333333,1
G01023,01023,4,3,23.11,0.75
G01025,01025,9,4,36.3422222222222,0.44
G01027,01027,4,3,21.4525,0.75
G01029,01029,4,3,18.1125,0.75
G01031,01031,14,11,18.9292857142857,0.79
G01033,01033,14,14,10.48,1
G01035,01035,5,1,43.924,0.2
G01037,01037,3,1,30.8933333333333,0.33
G01039,01039,14,13,12.1171428571429,0.93
G01041,01041,6,3,23.0916666666667,0.5
G01043,01043,18,16,20.1505555555556,0.89
G01045,01045,14,14,15.6535714285714,1
G01047,01047,15,14,14.3973333333333,0.93
G01049,01049,14,10,19.7035714285714,0.71
G01051,01051,15,12,19.684,0.8
G01053,01053,9,2,33.1155555555556,0.22
G01055,01055,30,30,9.39333333333333,1
G01057,01057,5,1,35.034,0.2
G01059,01059,9,6,32.2066666666667,0.67
G01061,01061,6,6,16.0833333333333,1
G01063,01063,3,3,18.6833333333333,1
G01065,01065,6,6,18.6366666666667,1
G01067,01067,6,6,15.6316666666667,1
G01069,01069,22,21,9.47454545454545,0.95
G01071,01071,11,8,22.9036363636364,0.73
G01073,01073,163,156,11.881963190184,0.96
G01075,01075,3,0,43.2633333333333,0
G01077,01077,22,18,16.7318181818182,0.82
G01079,01079,9,9,15.2122222222222,1
G01081,01081,27,25,15.7918518518519,0.93
G01083,01083,16,15,15.3775,0.94
G01085,01085,4,2,24.925,0.5
G01087,01087,12,12,12.26,1
G01089,01089,73,71,11.2576712328767,0.97
G01091,01091,6,3,25.2183333333333,0.5
G01093,01093,8,4,27.06,0.5
G01095,01095,18,16,17.5283333333333,0.89
G01097,01097,115,102,20.502260869565202,0.89
G01099,01099,7,0,54.2785714285714,0
