"","GEOID","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","age0_4","age5_14","age15_19","age20_24","age15_44","age45_49","age50_54","age55_59","age60_64","ageOv65","ageOv18","age18_64","a15_24P","und45P","ovr65P","disbP"
"42","46",2010,799462,86.6,1.11,8.53,0.89,0.03,2.84,2.56,10.74,7.1,13.5,7.4,7.2,39.1,7.4,7.3,6.5,4.8,14.3,75.1,60.8,0,0.01,0,11.5
"43","47",2010,6234968,78.76,16.64,0.24,1.4,0.05,2.91,4.19,17.51,6.5,13.2,7,6.7,40.7,7.4,7.1,6.4,5.5,13.1,76.1,63,0,0,0,15
"44","48",2010,24311891,72,11.78,0.49,3.72,0.08,11.93,36.68,19.98,7.8,15,7.6,7.3,43.4,7.1,6.5,5.5,4.4,10.1,72.6,62.5,0,0,0,11.5
"45","49",2010,2657236,89.41,1.02,1.16,2,0.9,5.51,12.3,9.4,9.6,17,8.2,8.7,44.9,5.8,5.5,4.7,3.7,8.9,68.6,59.7,0,0,0,8.8
"46","50",2010,624258,95.63,0.88,0.29,1.18,0.01,2.01,1.47,9.44,5.2,11.8,7.6,7.1,39,8.2,8.3,7.5,6,14,78.8,64.8,0,0.01,0,13.3
"47","51",2010,7841754,69.88,19.54,0.32,5.31,0.07,4.88,7.33,13.92,6.5,12.9,7.1,7.1,42.2,7.8,7.3,6.3,5.2,11.8,76.5,64.7,0,0,0,10.9
"48","53",2010,6561297,79.24,3.5,1.45,6.98,0.54,8.29,10.54,10.42,6.5,13.1,7,6.9,41.7,7.6,7.4,6.6,5.3,11.9,76.2,64.3,0,0,0,12
"49","54",2010,1840802,94.23,3.2,0.17,0.62,0.03,1.75,1.14,18.09,5.6,11.7,6.6,6.4,38.1,7.4,7.7,7.5,6.1,15.8,78.8,63,0,0,0,19
"50","55",2010,5637947,87.17,6.18,0.87,2.17,0.03,3.58,5.51,10.57,6.3,13.2,7.2,6.9,40.1,7.9,7.5,6.5,5,13.4,76.2,62.8,0,0,0,10.9
"51","56",2010,545579,91.34,0.76,2.34,0.76,0.04,4.76,8.39,8.66,6.8,13.1,7.1,7.4,39.9,7.6,8,7,5.4,12.2,76,63.8,0,0.01,0,11.9
"52","72",2010,3762322,73.4,7.31,0.2,0.33,0,18.76,98.79,NA,6.3,14.3,7.7,7.2,41.4,6.6,6.3,5.8,5.6,13.8,74.8,61,0,0,0,NA
