"","GEOID","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","age0_4","age5_14","age15_19","age20_24","age15_44","age45_49","age50_54","age55_59","age60_64","ageOv65","ageOv18","age18_64","a15_24P","und45P","ovr65P","disbP"
"1","01001",2010,53155,79.07,17.89,0.32,0.65,0,2.07,2.32,14.67,6.6,15.6,8.6,5.5,41.6,7.9,6.7,5.2,5.1,11.4,72.3,60.9,0.03,0.12,0.02,15
"2","01003",2010,175791,86.16,9.45,0.62,0.65,0,3.12,3.9,12.42,6.2,13.1,6.4,5.2,36.2,7.6,7.4,6.6,6.5,16.5,76.7,60.2,0.01,0.03,0.01,14
"3","01005",2010,27699,49.67,46.61,0.31,0.17,0.01,3.23,4.6,28.14,6.3,12.1,6.9,6.5,40.8,7.5,7,6.8,5.7,13.7,77.5,63.8,0.05,0.21,0.05,20.5
"4","01007",2010,22610,84.2,15.26,0.18,0.16,0,0.2,0.59,25.45,6.1,13,7,7.3,42.3,7.6,6.9,5.7,6,12.4,76.6,64.2,0.06,0.27,0.05,16.2
"5","01009",2010,56692,95.14,1.26,0.45,0.43,0.02,2.7,7.49,25.34,6.4,14.1,6.9,5.5,38.8,7.3,6.9,5.9,6.4,14.2,75.2,61,0.02,0.1,0.03,17.3
"6","01011",2010,10923,23.7,74.25,0.22,0.43,0.59,0.81,1.65,25.31,5.9,12.2,8.7,6.3,40.2,7.6,8.4,8,5.6,12.2,77.1,64.9,0.14,0.53,0.11,19.1
"7","01013",2010,20895,55,42.92,0.13,0.84,0,1.11,0.28,25.21,6.4,13.5,6.6,6.3,36.3,7,7.6,7.1,5.6,16.4,75.7,59.3,0.06,0.27,0.08,19
"8","01015",2010,117149,75.5,20.43,0.44,0.7,0.07,2.86,3.03,21.48,6.2,12.9,7.1,7.5,40.2,7.2,7.3,6.9,5.3,14.1,77,62.9,0.01,0.05,0.01,18.9
"9","01017",2010,34579,59.07,39.12,0.05,0.42,0,1.34,1.52,28.15,6,13.1,6.6,5.6,36.8,7.1,7.5,6.6,6.5,16.3,76.5,60.2,0.04,0.16,0.05,21
"10","01019",2010,25700,92.77,4.68,0.77,0.27,0.12,1.39,1.25,26.58,5.2,12,6.1,4.5,34.2,7.7,8.1,9.3,6,17.5,79.2,61.7,0.04,0.2,0.07,20.5
"11","01021",2010,43121,87.51,9.4,0.56,0.2,0,2.33,6.51,24.14,6.9,14,6.8,6.1,40.1,6.9,7,6.8,5.1,13.3,74.7,61.4,0.03,0.14,0.03,17.5
"12","01023",2010,14111,55.44,42.97,0,0.28,0,1.31,0.37,28.91,5.7,13.1,7.1,4.7,34.6,7.7,7.6,6.4,7.5,17.4,76.9,59.5,0.08,0.38,0.12,25
"13","01025",2010,26255,55.04,41.86,1.84,0.41,0,0.85,0.91,23.86,5.9,14.7,9.7,5.6,38.6,6.6,6.7,6.3,5.9,15.3,74.3,59,0.06,0.23,0.06,17.5
"14","01027",2010,14040,82.35,15.38,0.42,0,0,1.85,2.56,28.6,5.5,13.4,5.3,5.8,36.8,7.1,6.6,7.7,5.1,17.9,77.7,59.8,0.08,0.4,0.13,19.7
"15","01029",2010,14823,94.33,4.09,0.22,0.01,0,1.35,1.44,29.69,6.2,13.1,7,5.3,37.5,7.2,7.1,6.3,6.7,15.7,76,60.3,0.08,0.38,0.11,18
"16","01031",2010,48349,77.48,17.33,0.86,1.11,0.09,3.13,5.61,20.72,6.7,13.3,6.6,6.4,39.9,6.9,6.8,6.8,5.1,14.5,75.8,61.3,0.03,0.12,0.03,17.2
"17","01033",2010,54446,81.41,16.06,0.62,0.48,0,1.43,1.99,19.91,5.6,12.6,6.9,5.1,36.7,7.7,7.6,6.9,5.9,17,77.7,60.7,0.02,0.1,0.03,19.2
"18","01035",2010,13382,52.1,46.25,0.91,0,0,0.74,0.31,28.69,6.1,12.9,9,5.4,34.2,7.6,7.7,7.6,6.4,17.3,76.1,58.8,0.11,0.4,0.13,21.5
"19","01037",2010,11470,65.54,33.78,0,0,0,0.68,0.12,26.91,5,11.9,6.8,5.1,35.3,7.9,8.5,7.9,6.9,16.6,78.8,62.2,0.1,0.46,0.14,19.5
"20","01039",2010,37608,84.83,12.86,0.22,0.5,0.14,1.45,1.33,23.54,6.2,12.4,7.1,5.2,35.8,7.1,7.5,6.4,6.5,18.1,77.3,59.2,0.03,0.14,0.05,23
"21","01041",2010,13928,73.21,20.83,0.83,3.81,0,1.32,1.29,26.33,6,13.3,7.2,4.9,36.9,6.8,7.6,6.3,6.8,16.2,76.2,60,0.09,0.4,0.12,20.4
"22","01043",2010,79941,96.09,0.91,0.68,0.44,0.03,1.85,3.97,23.15,6.2,13.2,6.7,6,38.1,7.5,7,7,5.5,15.5,76.5,61,0.02,0.07,0.02,17.6
"23","01045",2010,49730,75,19.88,0.24,1.25,0.11,3.52,5.24,17.77,7.5,13.4,6.8,7,40.8,7,6.7,6.3,5.2,13.3,75,61.7,0.03,0.12,0.03,20
"24","01047",2010,44066,30.01,68.81,0.08,0.38,0,0.72,0.71,23.16,7.3,14.7,7.9,6.4,37.4,7.4,7.6,6.1,5.7,13.7,73,59.3,0.03,0.13,0.03,22.3
"25","01049",2010,70038,92.49,1.6,1.55,0.3,0.01,4.05,12.24,31.9,7.4,14.2,6.6,5.6,38.7,7.2,7,5.9,5.9,13.7,74,60.3,0.02,0.09,0.02,16.1
"26","01051",2010,77650,76.04,20.1,0.38,0.62,0,2.86,2.53,16.19,6.2,13.4,7.5,6.3,42.3,7.9,7.4,6.1,5.4,11.4,75.8,64.4,0.02,0.08,0.01,15
"27","01053",2010,37996,63.34,31.41,3.64,0.39,0.04,1.18,1.9,27.03,6.3,12.8,7.1,5.6,39.5,7.3,7.2,7,5.3,14.6,76.5,61.9,0.03,0.15,0.04,19
"28","01055",2010,104066,82.1,15.05,0.41,0.59,0.04,1.81,3.08,18.82,6,12.9,7,5.9,38.2,7,7.3,6.9,6.1,15.6,76.7,61.1,0.01,0.05,0.01,19.3
