G_ZCTA,ZCTA,minDisSUT,timeDrive,countDrive
G01001,01001,1.93,8.04,52
G01002,01002,9.21,18.07,22
G01003,01003,7.15,20.03,19
G01005,01005,7.76,16.97,6
G01007,01007,8.16,18.88,23
G01008,01008,10.76,18.59,5
G01009,01009,2.8,7.56,19
G01010,01010,6.68,15.87,13
G01012,01012,8.61,18.82,7
G01013,01013,1.17,0,60
G01020,01020,1.48,0,60
G01022,01022,3.31,8.46,59
G01027,01027,4.21,0,53
G01028,01028,1.72,0,58
G01029,01029,10.43,27.51,5
G01030,01030,0.11,0,51
G01031,01031,5.53,13.85,9
G01032,01032,9.65,20.34,6
G01033,01033,6.51,13.72,51
G01034,01034,9.98,28.85,5
G01035,01035,3.8,13.71,19
G01036,01036,4.01,12.26,37
G01037,01037,8.22,22.06,5
G01038,01038,4.42,13.51,25
G01039,01039,4.13,9.84,7
G01040,01040,1.14,0,61
G01050,01050,10.23,23.03,12
G01053,01053,1.38,0,19
G01054,01054,8.62,26.89,11
G01056,01056,2.67,0,56
G01057,01057,4.62,11.2,30
G01060,01060,0.17,0,57
G01062,01062,1.79,7.9,19
G01063,01063,0.44,1.19,51
G01066,01066,4.49,14.86,25
G01068,01068,8.5,23.48,3
G01069,01069,2.25,0,48
G01071,01071,5.88,16.41,12
G01072,01072,10.41,28.2,2
G01073,01073,4.38,8.19,50
G01074,01074,10.09,20.38,7
G01075,01075,3.72,7.19,57
G01077,01077,4.04,11.41,36
G01079,01079,1.83,4.24,42
G01080,01080,1.5,6.52,49
G01081,01081,8.37,16.87,8
G01082,01082,3.27,0,7
G01083,01083,4.12,16.55,11
G01084,01084,10.36,27.03,1
G01085,01085,2.02,0,56
G01086,01086,1.95,6.74,47
G01088,01088,3.56,11.64,25
G01089,01089,1.16,0,58
G01092,01092,3.65,12.76,14
G01093,01093,6.29,13.9,13
G01094,01094,8.88,22.63,6
G01095,01095,3.34,11.22,50
G01096,01096,5.76,16.05,6
G01097,01097,5.48,9.78,42
G01103,01103,0.29,0,61
G01104,01104,1.57,0,61
G01105,01105,0.09,0,61
G01106,01106,2.89,7.36,58
G01107,01107,0.54,0,61
G01108,01108,0.95,0,62
G01109,01109,0.82,0,61
G01118,01118,1.98,3.85,56
G01119,01119,2.38,7.08,55
G01128,01128,0.8,7.58,51
G01129,01129,2.43,7.53,50
G01151,01151,0.57,0,56
G01199,01199,0.5,1.19,61
G01201,01201,1.09,0,11
G01220,01220,3.06,11.55,5
G01222,01222,3.93,12.15,3
G01224,01224,3.44,14.13,16
G01225,01225,7.65,20.84,16
G01226,01226,3.96,10.91,11
G01229,01229,2.88,16.29,13
G01230,01230,3.92,0,3
G01235,01235,7.3,21.6,11
G01236,01236,2.11,10.07,2
G01237,01237,6.27,15.63,11
G01238,01238,7.5,21.71,13
G01240,01240,5.49,13.34,13
G01242,01242,7.98,18.36,13
G01244,01244,1.85,23.15,3
G01245,01245,4.11,17.41,2
G01247,01247,1.37,0,5
G01254,01254,7.54,20.24,13
G01255,01255,5.74,29.5,1
G01256,01256,6.63,30,5
G01257,01257,6.88,14.11,3
G01258,01258,9.73,24.17,2
G01259,01259,3.77,19.06,1
G01260,01260,3.89,16.79,13
G01262,01262,4.17,16.88,13
G01264,01264,7.44,27.17,2
G01266,01266,4.91,19.2,13
G01267,01267,6.68,14.31,6
G01270,01270,9.47,22.83,11
G01301,01301,1.67,0,11
G01330,01330,11.02,26.1,1
G01331,01331,1.8,0,11
G01337,01337,6.58,14.95,13
G01340,01340,8.24,23.68,6
G01341,01341,7.16,27.79,7
G01342,01342,2.69,10.43,12
G01343,01343,6.44,23.77,5
G01344,01344,5.85,15.57,12
G01347,01347,3.37,18.82,8
