G_ZCTA,ZCTA,minDisFQHC,timeDrive,countDrive
G01001,01001,4.15,8.04,30
G01002,01002,3.92,0,6
G01003,01003,1.24,3.27,7
G01005,01005,16.2,29.7,1
G01007,01007,12.3,15.1,5
G01008,01008,6.74,18.59,4
G01009,01009,13.93,24.86,7
G01010,01010,12.37,17.61,7
G01011,01011,7.61,20.8,2
G01012,01012,6.84,13.27,4
G01013,01013,1.3,0,27
G01020,01020,3.45,8.18,29
G01022,01022,4.65,11.97,19
G01026,01026,4.72,16.65,1
G01027,01027,7.97,9.5,20
G01028,01028,4.72,6.58,39
G01029,01029,12.55,27.03,5
G01030,01030,4.24,11.33,27
G01032,01032,9.26,23.86,2
G01033,01033,8.81,13.72,17
G01034,01034,14.33,28.85,2
G01035,01035,4.02,8.62,6
G01036,01036,9.76,16.21,25
G01038,01038,6.03,13.51,9
G01039,01039,9.14,15.66,2
G01040,01040,1.29,0,29
G01050,01050,3.5,0,6
G01053,01053,6.3,8.64,8
G01054,01054,9.15,14.35,7
G01056,01056,6.48,11.91,26
G01057,01057,10.15,20.73,15
G01060,01060,0.27,0,23
G01062,01062,4.15,8.22,8
G01063,01063,0.43,1.19,20
G01066,01066,8.37,14.86,9
G01068,01068,16.01,27.42,1
G01069,01069,15.3,22.43,16
G01070,01070,9.79,27.47,1
G01071,01071,6.03,16.41,4
G01072,01072,10.17,20.48,3
G01073,01073,7.42,15.64,14
G01075,01075,5.04,7.19,19
G01077,01077,6.64,13.01,22
G01079,01079,13.91,24.1,14
G01080,01080,11.2,19.9,16
G01081,01081,6.64,16.87,7
G01082,01082,18.35,29.77,2
G01083,01083,15.92,25.92,2
G01084,01084,4.55,13.37,3
G01085,01085,3.4,0,19
G01086,01086,3.38,6.74,17
G01088,01088,6.67,11.64,9
G01089,01089,2.59,7.14,28
G01092,01092,17.75,29.33,2
G01093,01093,10.54,18.15,7
G01095,01095,6.02,10.36,24
G01096,01096,11.78,21.87,1
G01097,01097,5.28,9.78,12
G01098,01098,1.9,0,3
G01103,01103,0.4,0,31
G01104,01104,2.14,0,31
G01105,01105,0.57,0,31
G01106,01106,2.97,7.42,37
G01107,01107,0.72,0,31
G01108,01108,0.57,0,36
G01109,01109,1.21,0,31
G01118,01118,2.33,3.85,35
G01119,01119,1.25,0,26
G01128,01128,4.42,8.3,32
G01129,01129,2.49,6.29,24
G01151,01151,1.52,6.96,26
G01199,01199,0.76,1.19,31
G01201,01201,1.81,0,5
G01220,01220,0.11,0,2
G01222,01222,11.52,19.89,5
G01223,01223,10.97,24.07,1
G01224,01224,5.59,14.13,6
G01225,01225,6.25,12.66,6
G01226,01226,7.8,10.91,5
G01229,01229,5.5,11.97,10
G01230,01230,1.44,0,6
G01235,01235,9.41,21.6,5
G01236,01236,4.95,10.07,6
G01237,01237,8.42,15.63,5
G01238,01238,2.07,0,10
G01240,01240,3.5,9.81,10
G01242,01242,4.8,6.3,10
G01243,01243,8.35,28.22,2
G01244,01244,9.05,23.82,5
G01245,01245,9.07,17.41,6
G01247,01247,2.29,0,2
G01253,01253,11.5,26.09,1
G01254,01254,7.43,19.68,10
G01255,01255,17.36,29.5,3
G01256,01256,7.33,21.87,2
G01257,01257,7.62,14.11,5
G01258,01258,9.85,24.17,5
G01260,01260,6.52,10.87,10
G01262,01262,4.62,11.08,10
G01264,01264,5.82,14.1,6
G01266,01266,8.73,13.02,10
G01267,01267,9.48,14.31,2
G01270,01270,11.54,20.8,6
G01301,01301,2.77,0,5
G01330,01330,12.65,29.62,1
G01331,01331,10.4,12.24,2
G01337,01337,9.38,14.95,4
G01340,01340,11.78,23.68,3
G01341,01341,10.41,27.79,3
G01342,01342,4.04,10.43,7
G01343,01343,9.95,23.77,1
G01344,01344,7.02,15.52,5
G01347,01347,4.7,11.18,7
G01349,01349,6.5,9.7,7
G01350,01350,8.89,27.07,1
G01351,01351,5.69,9.86,7
G01354,01354,6.23,8.2,4
G01355,01355,13.07,13.26,3
G01360,01360,11.25,19.2,5
G01364,01364,3.22,0,1
G01366,01366,14.35,20.21,2
G01368,01368,12.96,20.61,2
G01370,01370,8.56,18.67,4
G01373,01373,10.78,15.85,10
G01375,01375,8.4,12.78,7
G01376,01376,1.55,0,4
G01378,01378,7.85,13.91,1
G01379,01379,6.26,19.6,2
G01420,01420,1.25,0,4
G01430,01430,9.64,15.24,3
G01431,01431,7.52,15.75,4
G01432,01432,13.45,21.68,10
G01434,01434,10.24,16.22,3
G01436,01436,7.01,11.8,2
G01438,01438,2.61,7.22,5
G01440,01440,1.54,0,4
G01450,01450,11.22,21.02,3
G01451,01451,12.97,20.7,4
G01452,01452,8.4,15.02,1
G01453,01453,0.66,0,10
G01460,01460,13.26,17.68,17
G01462,01462,5.09,12.58,3
G01463,01463,9.91,20.4,13
G01464,01464,8.84,17.48,3
G01467,01467,10.38,22.45,3
G01468,01468,5.34,9.97,5
G01469,01469,10.22,21.17,3
G01473,01473,6.85,11.05,4
G01474,01474,7.66,19.15,3
G01475,01475,9.5,14.99,1
G01501,01501,4.59,6.28,23
G01503,01503,11.8,17.4,21
G01504,01504,3.51,6.67,29
G01505,01505,5.74,9.64,17
G01506,01506,11.76,21.11,5
G01507,01507,7.48,12.32,20
G01510,01510,10.78,19.19,20
G01515,01515,11.84,19.6,9
G01516,01516,8.27,18.47,23
G01518,01518,6.89,11.3,2
G01519,01519,6.62,16.05,18
G01520,01520,4.12,8.49,17
G01521,01521,8.7,18.53,8
G01522,01522,7.25,21.19,17
G01523,01523,7,12.64,13
G01524,01524,3.89,8.34,20
G01525,01525,8.03,20.81,20
G01527,01527,4.91,7.46,24
G01529,01529,5.7,15.77,12
G01532,01532,8.51,13.82,20
G01534,01534,8.62,19.89,18
G01535,01535,14.98,28.68,5
G01536,01536,4.68,10.74,18
G01537,01537,7.97,12.04,23
G01540,01540,6.81,9.31,25
G01541,01541,10.68,21.97,21
G01542,01542,5.13,10.37,20
G01543,01543,13.12,20.51,17
G01545,01545,3.67,11.01,19
G01550,01550,1.58,0,12
G01560,01560,8.42,16.71,18
G01561,01561,9.15,19.77,9
G01562,01562,8.85,15.63,19
G01564,01564,7.95,12.87,20
G01566,01566,3.64,6.12,10
G01568,01568,7.49,13.66,22
G01569,01569,10.18,18.96,13
G01570,01570,1.66,0,26
G01571,01571,4.64,8.06,12
G01581,01581,10.17,19.38,20
G01583,01583,4.08,7.26,18
