"","GEOID","year","TotalPop","TotalVetPop","VetPercent","MalePop","MaleVetPop","Male18To34","MaleVet18To34","Male35To54","MaleVet35To54","Male55To64","MaleVet55To64","Male65To74","MaleVet65To74","Male75Plus","MaleVet75Plus","FemalePop","FemaleVetPop","Female18To34","FemaleVet18To34","Female35To54","FemaleVet35To54","Female55To64","FemaleVet55To64","Female65To74","FemaleVet65To74","Female75Plus","FemaleVet75Plus"
"2757","48467",2010,39592,5085,12.84,19237,4853,4704,180,6971,936,3350,1334,2586,1334,1626,1069,20355,232,4436,41,7274,108,3586,10,2654,62,2405,11
"2758","48469",2010,62597,6237,9.96,29975,6080,9136,361,11301,1067,4688,1870,2732,1335,2118,1447,32622,157,9370,59,11780,42,5113,16,3253,5,3106,35
"2759","48471",2010,55284,5383,9.74,33639,5139,13643,465,12922,1675,3904,1311,2076,849,1094,839,21645,244,9241,55,6058,139,2927,27,1801,23,1618,0
"2760","48473",2010,30751,2558,8.32,15049,2450,5722,148,5293,621,2184,709,1138,509,712,463,15702,108,5860,0,5492,57,2189,21,1206,8,955,22
"2761","48475",2010,7604,683,8.98,3606,652,1098,30,1285,128,542,215,352,103,329,176,3998,31,1101,7,1448,0,581,21,448,0,420,3
"2762","48477",2010,25535,2629,10.3,12356,2498,3541,82,4236,349,2019,732,1269,520,1291,815,13179,131,3368,0,4353,45,2106,70,1504,0,1848,16
"2763","48479",2010,154642,5761,3.73,72752,5634,29737,885,27572,1586,7871,1221,4475,1014,3097,928,81890,127,30899,17,30758,93,9282,0,5803,9,5148,8
"2764","48481",2010,29973,2281,7.61,14533,2175,4291,87,5465,466,2340,623,1414,444,1023,555,15440,106,4266,17,5400,7,2335,51,1549,0,1890,31
"2765","48483",2010,3882,359,9.25,1886,335,533,10,617,59,347,110,219,55,170,101,1996,24,435,3,679,12,327,0,294,0,261,9
"2766","48485",2010,94243,12564,13.33,46442,11049,16246,1078,16816,3366,6446,2543,3912,2053,3022,2009,47801,1515,15090,383,16214,641,6657,177,4832,104,5008,210
"2767","48487",2010,10101,1093,10.82,4988,1045,1547,11,1710,275,836,224,521,295,374,240,5113,48,1428,26,1724,3,753,19,557,0,651,0
"2768","48489",2010,15765,986,6.25,8639,964,3719,109,2844,301,934,189,652,199,490,166,7126,22,2203,0,2481,10,1015,12,718,0,709,0
"2769","48491",2010,277408,32334,11.66,134406,29214,43670,3778,59322,9529,16689,6934,9298,4951,5427,4022,143002,3120,45430,601,60174,1945,18787,246,10545,208,8066,120
"2770","48493",2010,30082,4458,14.82,14738,3989,3652,109,6098,1343,2606,1237,1427,719,955,581,15344,469,3723,77,6369,230,2641,104,1383,36,1228,22
"2771","48495",2010,4861,338,6.95,2332,334,782,15,824,59,376,97,193,79,157,84,2529,4,654,0,983,4,368,0,284,0,240,0
"2772","48497",2010,42554,5096,11.98,21362,4797,6123,415,8633,1102,3437,1474,2051,1044,1118,762,21192,299,5546,73,8629,150,3397,54,2052,3,1568,19
