"","GEOID","year","totalP","totalP_hh","totalP_fhh","nonRel_fhh","nonRel_fhhP","totalP_nfhh","nonRel_nfhh","nonRel_nfhhP","groupQuar","groupQuarP"
"1","01001",2010,53155,53155,46976,803,1.71,6179,808,13.08,0,0
"2","01003",2010,175791,173834,150478,2658,1.77,23356,4075,17.45,1957,1.11
"3","01005",2010,27699,24722,21132,365,1.73,3590,463,12.9,2977,10.75
"4","01007",2010,22610,22463,20223,354,1.75,2240,296,13.21,147,0.65
"5","01009",2010,56692,56263,50381,1161,2.3,5882,655,11.14,429,0.76
"6","01011",2010,10923,10647,9189,20,0.22,1458,160,10.97,276,2.53
"7","01013",2010,20895,20672,17945,443,2.47,2727,158,5.79,223,1.07
"8","01015",2010,117149,114246,95999,1653,1.72,18247,3027,16.59,2903,2.48
"9","01017",2010,34579,34312,29778,365,1.23,4534,234,5.16,267,0.77
"10","01019",2010,25700,25205,21942,225,1.03,3263,230,7.05,495,1.93
"11","01021",2010,43121,42963,38100,1195,3.14,4863,573,11.78,158,0.37
"12","01023",2010,14111,13838,12021,103,0.86,1817,159,8.75,273,1.93
"13","01025",2010,26255,25943,22503,255,1.13,3440,307,8.92,312,1.19
"14","01027",2010,14040,13134,11464,188,1.64,1670,168,10.06,906,6.45
"15","01029",2010,14823,14625,12773,314,2.46,1852,382,20.63,198,1.34
"16","01031",2010,48349,47556,40654,666,1.64,6902,1260,18.26,793,1.64
"17","01033",2010,54446,53491,45913,530,1.15,7578,805,10.62,955,1.75
"18","01035",2010,13382,13326,11647,138,1.18,1679,32,1.91,56,0.42
"19","01037",2010,11470,11067,9283,146,1.57,1784,280,15.7,403,3.51
"20","01039",2010,37608,37288,31943,598,1.87,5345,755,14.13,320,0.85
"21","01041",2010,13928,13873,11756,175,1.49,2117,244,11.53,55,0.39
"22","01043",2010,79941,78500,68287,1445,2.12,10213,1345,13.17,1441,1.8
"23","01045",2010,49730,48579,41484,754,1.82,7095,1092,15.39,1151,2.31
"24","01047",2010,44066,43683,36895,544,1.47,6788,658,9.69,383,0.87
"25","01049",2010,70038,68693,61127,1149,1.88,7566,718,9.49,1345,1.92
"26","01051",2010,77650,70844,62838,828,1.32,8006,1076,13.44,6806,8.76
"27","01053",2010,37996,34599,29586,678,2.29,5013,649,12.95,3397,8.94
"28","01055",2010,104066,102347,88231,1637,1.86,14116,1400,9.92,1719,1.65
"29","01057",2010,17472,17146,14953,97,0.65,2193,130,5.93,326,1.87
"30","01059",2010,31383,30834,26981,536,1.99,3853,411,10.67,549,1.75
"31","01061",2010,26541,26192,22235,722,3.25,3957,610,15.42,349,1.31
"32","01063",2010,9255,9047,7704,182,2.36,1343,31,2.31,208,2.25
"33","01065",2010,16168,16105,13794,216,1.57,2311,257,11.12,63,0.39
"34","01067",2010,17148,17063,15025,162,1.08,2038,183,8.98,85,0.5
"35","01069",2010,99029,97613,83474,1475,1.77,14139,2230,15.77,1416,1.43
"36","01071",2010,53386,53154,46067,755,1.64,7087,816,11.51,232,0.43
"37","01073",2010,656912,642342,532283,9848,1.85,110059,18147,16.49,14570,2.22
"38","01075",2010,14743,14470,12452,116,0.93,2018,223,11.05,273,1.85
"39","01077",2010,91762,89780,75225,994,1.32,14555,2172,14.92,1982,2.16
"40","01079",2010,34235,34005,30362,245,0.81,3643,439,12.05,230,0.67
"41","01081",2010,135010,130423,99256,2079,2.09,31167,9187,29.48,4587,3.4
"42","01083",2010,78614,75550,66099,974,1.47,9451,1194,12.63,3064,3.9
"43","01085",2010,11731,11595,10237,105,1.03,1358,190,13.99,136,1.16
"44","01087",2010,21699,18567,15250,272,1.78,3317,347,10.46,3132,14.43
"45","01089",2010,323080,315483,264072,4596,1.74,51411,8734,16.99,7597,2.35
"46","01091",2010,21296,20853,17666,182,1.03,3187,332,10.42,443,2.08
"47","01093",2010,30792,29816,25803,161,0.62,4013,331,8.25,976,3.17
"48","01095",2010,90867,90144,77911,2185,2.8,12233,2091,17.09,723,0.8
"49","01097",2010,408620,400807,342012,5952,1.74,58795,9817,16.7,7813,1.91
"50","01099",2010,23329,23090,19850,296,1.49,3240,340,10.49,239,1.02
"51","01101",2010,228018,218573,181793,4175,2.3,36780,5432,14.77,9445,4.14
"52","01103",2010,117632,115843,100160,1725,1.72,15683,2075,13.23,1789,1.52
"53","01105",2010,10684,9744,8777,229,2.61,967,8,0.83,940,8.8
"54","01107",2010,19917,19665,16796,168,1,2869,211,7.35,252,1.27
"55","01109",2010,32147,31028,24168,479,1.98,6860,1798,26.21,1119,3.48
"56","01111",2010,22817,22108,18844,460,2.44,3264,644,19.73,709,3.11
