G_STATEFP,STATEFP,cntT,cntTimeDrive,avTimeDrive,pctTimeDrive
G01,01,1181,956,18.56,0.81
G02,02,168,144,73.34,0.86
G04,04,1533,1434,10.14,0.94
G05,05,686,576,15.47,0.84
G06,06,8058,7866,7.06,0.98
G08,08,1249,1178,9.37,0.94
G09,09,833,833,7.3,1
G10,10,218,218,8.63,1
G11,11,179,179,2.7,1
G12,12,4245,4071,10.22,0.96
G13,13,1969,1751,13.89,0.89
G15,15,351,345,10.4,0.98
G16,16,298,243,16.25,0.82
G17,17,3123,3005,7.46,0.96
G18,18,1511,1458,9.59,0.96
G19,19,825,698,14.11,0.85
G20,20,770,648,14.33,0.84
G21,21,1115,1067,10.12,0.96
G22,22,1148,990,14.53,0.86
G23,23,358,303,18.58,0.85
G24,24,1406,1384,7.37,0.98
G25,25,1478,1463,6.5,0.99
G26,26,2813,2546,12.16,0.91
G27,27,1338,1159,12.88,0.87
G28,28,664,462,22.04,0.7
G29,29,1393,1246,12.95,0.89
G30,30,271,197,23.43,0.73
G31,31,532,459,13.91,0.86
G32,32,687,651,11.22,0.95
G33,33,295,276,12.73,0.94
G34,34,2010,2004,6.05,1
G35,35,499,438,13.82,0.88
G36,36,4931,4743,7.27,0.96
G37,37,2195,2068,11.74,0.94
G38,38,205,120,29.71,0.59
G39,39,2952,2901,9.01,0.98
G40,40,1046,909,13.79,0.87
G41,41,834,761,11.41,0.91
G42,42,3218,3128,8.65,0.97
G44,44,244,242,6.26,0.99
G45,45,1103,1002,15.17,0.91
G46,46,225,135,31.8,0.6
G47,47,1497,1372,12.61,0.92
G48,48,5265,4592,14.19,0.87
G49,49,588,560,7.5,0.95
G50,50,184,146,19.26,0.79
G51,51,1908,1743,12.6,0.91
G53,53,1458,1364,9.96,0.94
G54,54,484,404,16.28,0.83
G55,55,1409,1260,11.97,0.89
G56,56,132,107,13.79,0.81
G60,60,18,0,NA,0
G66,66,57,0,NA,0
G69,69,23,0,NA,0
G72,72,908,0,NA,0
G78,78,31,0,NA,0
