"STATEFP","cntT","cntTimeDrive","avTimeDrive","pctTimeDrive"
"01",1181,658,33.28,0.56
"02",167,90,37.31,0.54
"04",1533,1309,17.44,0.85
"05",686,244,50.94,0.36
"06",8058,7448,13.54,0.92
"08",1249,1007,21.32,0.81
"09",833,821,10.27,0.99
"10",218,218,10.2,1
"11",179,179,5.62,1
"12",4245,3420,20.57,0.81
"13",1969,1559,21,0.79
"15",350,226,28.33,0.65
"16",298,88,43.05,0.3
"17",3123,2550,17.71,0.82
"18",1511,973,25.56,0.64
"19",825,265,49.93,0.32
"20",770,393,33.75,0.51
"21",1115,668,28.45,0.6
"22",1147,686,32.94,0.6
"23",358,167,39.97,0.47
"24",1406,1334,11.84,0.95
"25",1478,1443,10.18,0.98
"26",2801,2037,24.42,0.73
"27",1338,807,31.78,0.6
"28",664,192,56.06,0.29
"29",1393,814,33.09,0.58
"30",271,83,51.95,0.31
"31",532,277,25.65,0.52
"32",687,596,15.72,0.87
"33",295,213,25.76,0.72
"34",2010,1968,10.43,0.98
"35",499,308,31.19,0.62
"36",4931,4326,14.36,0.88
"37",2195,1754,19.83,0.8
"38",205,60,48.81,0.29
"39",2952,2465,17.13,0.84
"40",1046,633,29.53,0.61
"41",834,567,29.34,0.68
"42",3218,2742,16.86,0.85
"44",244,241,8.62,0.99
"45",1103,733,26.03,0.66
"46",222,48,45.81,0.22
"47",1497,885,30.28,0.59
"48",5265,4065,21.27,0.77
"49",588,491,19.31,0.84
"50",184,98,30.38,0.53
"51",1908,1414,22.41,0.74
"53",1458,1092,24.18,0.75
"54",484,210,39.98,0.43
"55",1407,880,29.55,0.63
"56",132,0,86.42,0
"60",18,0,NA,0
"66",57,0,NA,0
"69",23,0,NA,0
"72",908,0,NA,0
"78",31,0,NA,0
