G_COUNTYFP,COUNTYFP,countyArea,parkArea,cover
G01001,01001,1566268128.41926,40173257.2445097,0.0256490293811024
G01003,01003,4356828020.87849,138232886.077595,0.0317278729881384
G01005,01005,2344289453.66508,171019467.820371,0.0729515152461217
G01007,01007,1623117095.51914,1378930499.45005,0.849557005626269
G01009,01009,1685593537.34012,1779066.6768537,0.00105545413970979
G01011,01011,1620279793.22756,11011011.9316723,0.00679574723927071
G01013,01013,2015974035.14301,2666519.34551082,0.00132269528229398
G01015,01015,1586261297.92435,188168692.544164,0.118624020387048
G01017,01017,1563055335.31749,996412.53081342,6.37477450925323e-4
G01019,01019,1554225695.38644,49040776.0843504,0.0315531883367537
G01021,01021,1815790665.49956,202265817.341289,0.111392695856624
G01023,01023,2387216523.0353,16899110.1132407,0.00707900182081254
G01025,01025,3246978243.40772,13690573.8220456,0.00421640454469978
G01027,01027,1569656906.1784,594369425.533152,0.378662001354324
G01029,01029,1453961192.28061,547197516.254248,0.376349464593303
G01031,01031,1764397672.86485,9227499.10687661,0.0052298295609821
G01033,01033,1614920552.33398,165916534.135781,0.102739750197611
G01035,01035,2210903016.87472,1288584.64921172,5.82831829065587e-4
G01037,01037,1726909508.40931,94445055.9709676,0.0546902171254838
G01039,01039,2705806931.0728,63139091.7533276,0.0233346625837396
G01041,01041,1583488141.7509,4363755.1376605,0.00275578643287811
G01043,01043,1955628805.05446,1577113.70158619,8.06448390159744e-4
G01045,01045,1457934195.57351,186152378.115173,0.127682290929425
G01047,01047,2575659998.69732,48427008.3162051,0.0188017860822849
G01049,01049,2017207032.70234,36527765.3407907,0.0181080894269224
G01051,01051,1702760648.60403,33203808.1470675,0.0194999856111831
G01053,01053,2469792953.90935,4601869.73145722,0.00186326134106629
G01055,01055,1421553112.95615,2939358.10560208,0.00206770895776776
G01057,01057,1630739024.28017,1144985.16921446,7.02126552542565e-4
G01059,01059,1675390563.40699,18226200.7777353,0.0108787772689082
G01061,01061,1500823984.71634,40445973.7415501,0.0269491786867961
G01063,01063,1710224645.63094,16657846.9472358,0.00974015138291399
G01065,01065,1700558338.85832,338498889.966379,0.199051618654631
G01067,01067,1473248487.54695,1567991.3945955,0.0010643088439251
G01069,01069,1507650369.39752,183654371.967394,0.121814961674957
G01071,01071,2919399731.55073,529327573.712853,0.181313839277393
G01073,01073,2912494694.7486,111059603.313523,0.0381321220992333
G01075,01075,1569465501.42313,67679207.02119,0.0431224559952552
G01077,01077,1864419296.36327,122360619.468013,0.0656293462026966
G01079,01079,1857288394.87061,359056990.522584,0.193323229453333
G01081,01081,1595996084.56475,379044108.996365,0.237496891541394
G01083,01083,1572888344.9098,94216203.0630415,0.0599001215616767
G01085,01085,1879282849.07915,72181307.4287719,0.0384089640705979
G01087,01087,1589018489.77371,46239624.9231088,0.0290994882820362
G01089,01089,2105244399.29306,372665002.036372,0.177017453252227
G01091,01091,2546639980.39972,115468845.904627,0.0453416449884302
G01093,01093,1926094541.94425,29573885.9416603,0.0153543272656843
G01095,01095,1614379528.32524,39056716.9894019,0.0241930204788458
G01097,01097,3289155324.1652,64029794.572115,0.0194669415888306
G01099,01099,2681953985.56254,11366321.1039916,0.00423807461469459
G01101,01101,2072991266.76852,5185531.2273943,0.0025014727801906
G01103,01103,1551871062.63356,52731540.5473452,0.0339793310262893
G01105,01105,1876297782.24267,817322793.305724,0.435603986233362
G01107,01107,2305090230.47258,867782.863217084,3.76463728727519e-4
G01109,01109,1744361279.77786,12230133.6169627,0.00701123887507996
G01111,01111,1513225076.51758,114880.326870271,7.59175410538712e-5
G01113,01113,1677603471.3715,80663982.0127032,0.0480828654620973
G01115,01115,1692815904.30331,2690018.8365473,0.00158907937343274
G01117,01117,2097491329.2979,74559297.264026,0.0355468917666438
G01119,01119,2366132905.55265,18200709.8549202,0.00769217562217583
G01121,01121,1969969133.3172,410634720.447144,0.208447286560111
G01123,01123,1986167900.15657,6091979.16244619,0.00306720250688069
G01125,01125,3501853060.45055,390196959.957337,0.111425851748084
G01127,01127,2085810785.94567,105045871.272621,0.0503621287129336
G01129,01129,2822240608.84896,21669.6984767118,7.67818959473823e-6
G01131,01131,2351544551.3208,6439309.06624617,0.0027383317329154502
G01133,01133,1637649592.25372,174910721.054963,0.106805950358558
G02013,02013,18436018301.9514,5324840799.45219,0.28882813589356
G02016,02016,11698804728.0018,5326838396.09452,0.455331849701226
G02020,02020,4466242488.7461,558072413.652648,0.124953451376378
G02050,02050,109313661477.587,6583312195.94869,0.0602240571485982
G02060,02060,1319961006.94062,201995145.962657,0.153031146299418
G02068,02068,32588288933.8228,8610459870.90161,0.264219452834327
G02070,02070,48899398675.4118,5577208811.66735,0.114054752466143
G02090,02090,19130698482.5991,385058728.0685,0.0201277924284229
G02100,02100,6201985589.02723,3392510063.85725,0.547003861127861
G02105,02105,17693293022.9167,8384659492.97802,0.473889144441232
G02110,02110,7251784504.37195,6971136783.56735,0.961299495229705
G02122,02122,42311530968.5397,21740438502.9866,0.513818290317869
G02130,02130,13318920640.0728,12624546124.2852,0.947865556485228
G02150,02150,18181258976.3566,11030039150.8374,0.606670812245793
G02158,02158,46563364414.8008,5591863987.23195,0.120091493763593
G02164,02164,68358342788.4425,24706427627.5812,0.36142519873607
G02170,02170,64359500279.4899,2031303258.20207,0.0315618245850396
G02180,02180,61025838264.7449,7480720652.43587,0.122582841385688
G02185,02185,231941407188.558,65178712627.0578,0.281013698317654
G02188,02188,94594627780.4859,52599680700.7402,0.556053572331843
G02195,02195,7905978914.12769,7515043683.69327,0.950551951291468
G02198,02198,15212161673.0305,13300670873.3968,0.874344564518892
G02220,02220,8260793556.81066,7478761044.45063,0.905332035356908
G02230,02230,1121758859.74983,533852190.863312,0.475906373480632
G02240,02240,64621649830.8537,13053103463.0369,0.201992729947367
G02261,02261,90539060647.8538,45991504884.456,0.507974177723548
G02275,02275,6908495155.09684,6671900953.0953,0.965753149319793
G02282,02282,20451938742.2547,13508955400.9483,0.660521996041294
G02290,02290,380460282270.312,106913632674.492,0.281011284637937
G04001,04001,29056604650.3718,476667036.335197,0.0164047741321042
G04003,04003,16118477820.936,974315012.150056,0.0604470858212516
G04005,04005,48326967059.9422,17528506875.4933,0.362706537195928
G04007,04007,12425313260.7586,1034042700.2393,0.0832206543641032
G04009,04009,12024539760.2011,856699392.267658,0.071245919540569
G04011,04011,4789035546.52258,795719237.403682,0.166154381121992
G04012,04012,11693749079.2911,1635374111.5165,0.139850282439585
G04013,04013,23899749035.1604,3998118570.02631,0.16728705243492
G04015,04015,34862337814.7049,8374315954.92791,0.240210969196553
G04017,04017,25795138353.362,49333998.2061363,0.00191253086261141
G04019,04019,23814536237.5038,5538168164.29587,0.232554105150879
G04021,04021,13927603742.0851,820349018.740626,0.0589009447663833
G04023,04023,3209682216.96237,427341198.76992,0.133141280003213
G04025,04025,21056130176.245,3355578834.11709,0.159363511054979
G04027,04027,14302453247.0575,4105347985.46478,0.287038028689895
G05001,05001,2677914708.94695,157539804.136847,0.0588292836999269
G05003,05003,2437140676.52216,672923.053486488,2.76111699242065e-4
G05005,05005,1519479791.87864,688263.34225642,4.52959852401506e-4
G05007,05007,2289151304.63254,67103814.9396412,0.0293138399387772
G05009,05009,1558940074.86036,656705.466317037,4.21251257124725e-4
G05011,05011,1691662095.79127,119445.476284046,7.06083541040598e-5
G05013,05013,1638619519.9064,1054675.3201748,6.43636492402484e-4
G05015,05015,1653473188.75453,593610.613113463,3.59008308783401e-4
G05017,05017,1790435292.12812,1577265.2150969,8.80939524612563e-4
G05019,05019,2287286291.85407,6224276.08714083,0.00272124924164847
G05021,05021,1661790236.75434,73154970.1927904,0.0440217836010821
G05023,05023,1532956210.44868,239981.058506329,1.56547888889853e-4
G05025,05025,1551237054.98977,32065.0050054342,2.06706027955512e-5
G05027,05027,1987096051.12346,432166.920243893,2.17486678613022e-4
G05029,05029,1467752418.07624,144438.572648778,9.84079950200939e-5
G05031,05031,1845662809.32862,5984679.1700559,0.00324256366862206
G05033,05033,1561837508.12755,6878212.50328152,0.00440392324264746
G05035,05035,1648220877.63472,4994725.72196297,0.0030303740170617398
G05037,05037,1611672833.41295,27223466.5687213,0.0168914347901936
G05039,05039,1730575116.03202,195647.921009902,1.13053700586252e-4
G05041,05041,2122587293.53759,128250054.475981,0.0604215689345025
G05043,05043,2165362370.39191,169017.890159333,7.80552449190028e-5
G05045,05045,1719729560.51914,35633198.3473705,0.0207202336724467
G05047,05047,1604947416.37085,14204825.9483155,0.00885064881467317
G05049,05049,1606188771.13748,3791631.66877386,0.00236063888436269
G05051,05051,1903184495.8899,132099779.927163,0.0694098655240438
G05053,05053,1639701307.26767,95468.6432818633,5.82231915402618e-5
G05055,05055,1499852619.48067,4058406.26335063,0.00270587003725463
G05057,05057,1920370285.29722,5266871.89356472,0.00274263350869832
G05059,05059,1611484192.1493,44589.1658976725,2.76696266180571e-5
G05061,05061,1542955728.05806,364470.311465132,2.36215663766224e-4
G05063,05063,1998295287.57594,1189328.21816288,5.95171407127527e-4
G05065,05065,1512218362.36505,6277827.69069123,0.00415140289718011
G05067,05067,1660928948.96486,2348817.97002505,0.00141415920981382
G05069,05069,2367515498.3844,3973014.14598888,0.00167813648894805
G05071,05071,1768269330.56991,277601.734164778,1.56990640150563e-4
G05073,05073,1412288293.38108,163611.389964222,1.158484359964e-4
G05075,05075,1533850255.771,537094.700763105,3.50161105194152e-4
G05077,05077,1604361917.20424,1330219.19905871,8.29126635825878e-4
G05079,05079,1482329295.22778,79610.5722146208,5.37064014527134e-5
G05081,05081,1463319056.12565,14697734.5317691,0.0100441079272784
G05083,05083,1894683245.45374,23581246.6458898,0.0124460100137966
G05085,05085,2079571795.64707,21812742.5868909,0.0104890548297245
G05087,05087,2167639051.86431,56705.528417504,2.61600418984579e-5
G05089,05089,1657920530.05007,66093.753298881,3.98654531993067e-5
G05091,05091,1652339224.80308,2715469.14292433,0.00164340899384504
G05093,05093,2381430900.42857,3089013.25876858,0.00129712487488622
G05095,05095,1609421090.71571,155296112.561036,0.0964919084613063
G05097,05097,2073027913.96662,390656561.540172,0.188447323313015
G05099,05099,1608090126.7048,2012567.23924759,0.0012515263950856
G05101,05101,2131787413.31901,0,0
G05103,05103,1916753235.8312,238427.805327912,1.24391497492121e-4
G05105,05105,1452167562.68706,2960664.23302167,0.00203878967489352
G05107,05107,1884688365.62856,23672603.7422514,0.0125604870141788
G05109,05109,1591078037.20781,14039659.8516123,0.00882399198737642
G05111,05111,1977658927.34912,33858899.8964213,0.0171206973195354
G05113,05113,2233712631.22668,96045461.5552228,0.042998127965314
G05115,05115,2151469047.38878,4106328.74213885,0.00190861622997675
G05117,05117,1749983911.41743,236622.715082063,1.35214223135575e-4
G05119,05119,2092124166.62601,110052063.687498,0.052603026838976
G05121,05121,1698717573.56456,43544269.702319,0.0256336134858172
G05123,05123,1664233680.75495,10311508.0510281,0.006195949625506
G05125,05125,1891891963.02004,4755702.70250203,0.00251372847681559
G05127,05127,2326016779.29196,45734720.0155552,0.0196622485369503
G05129,05129,1731381146.40229,915245.220070114,5.28621454595332e-4
G05131,05131,1417345266.0383,33120691.5527332,0.0233681180911626
G05133,05133,1505908010.23424,240643.61825993,1.59799680076406e-4
G05135,05135,1570250680.39245,22522.7758661835,1.43434269110167e-5
G05137,05137,1578419609.06826,308025.970182995,1.95148342312361e-4
G05139,05139,2735173807.97857,511801.377668429,1.87118411332944e-4
G05141,05141,1875621971.05945,30194185.7671828,0.0160982256729097
G05143,05143,2466435558.05806,16611966.1526065,0.00673521191272716
G05145,05145,2699235533.32515,3812149.185999,0.00141230698060012
G05147,05147,1538679277.78591,117396.734638029,7.62970791463166e-5
G05149,05149,2457959484.65486,108610265.30861,0.0441871666260849
G06001,06001,1943270337.51956,308215886.515459,0.158606798325792
G06003,06003,1923025713.29352,1124512913.02923,0.584762286461214
G06005,06005,1568439626.16983,357805786.701976,0.228128504745667
G06007,06007,4339435722.82606,1080072931.25025,0.248897091750641
G06009,06009,2683980620.62993,24089822.933974,0.00897540867054405
