G_STATEFP,STATEFP,year,essnWrkE,wrkPopE,essnWrkP
G01,01,2018,1026959,2076708,49.45
G02,02,2018,167856,351152,47.8
G04,04,2018,1344429,3045978,44.14
G05,05,2018,658909,1292263,50.99
G06,06,2018,7920148,18309012,43.26
G08,08,2018,1151623,2839374,40.56
G09,09,2018,729279,1810445,40.28
G10,10,2018,196456,450946,43.57
G11,11,2018,92135,369194,24.96
G12,12,2018,4120574,9253932,44.53
G13,13,2018,2108005,4721065,44.65
G15,15,2018,313938,677446,46.34
G16,16,2018,368213,768701,47.9
G17,17,2018,2746439,6225964,44.11
G18,18,2018,1598278,3164414,50.51
G19,19,2018,767333,1609481,47.68
G20,20,2018,658949,1428660,46.12
G21,21,2018,991654,1959442,50.61
G22,22,2018,1011686,2031115,49.81
G23,23,2018,312792,665188,47.02
G24,24,2018,1190162,3051333,39
G25,25,2018,1410862,3570257,39.52
G26,26,2018,2204163,4598487,47.93
G27,27,2018,1284453,2931458,43.82
G28,28,2018,650010,1228537,52.91
G29,29,2018,1339991,2888094,46.4
G30,30,2018,240904,507249,47.49
G31,31,2018,452975,993836,45.58
G32,32,2018,646533,1370603,47.17
G33,33,2018,306709,724017,42.36
G34,34,2018,1736504,4390602,39.55
G35,35,2018,412109,882735,46.69
G36,36,2018,3984668,9445023,42.19
G37,37,2018,2167395,4665822,46.45
G38,38,2018,191724,400841,47.83
G39,39,2018,2656660,5549577,47.87
G40,40,2018,854170,1761328,48.5
G41,41,2018,869004,1934643,44.92
G42,42,2018,2861537,6151998,46.51
G44,44,2018,237105,527972,44.91
G45,45,2018,1075650,2227307,48.29
G46,46,2018,211132,442773,47.68
G47,47,2018,1479413,3047809,48.54
G48,48,2018,5896795,12985624,45.41
G49,49,2018,597666,1452040,41.16
G50,50,2018,147102,328742,44.75
G51,51,2018,1647448,4118723,40
G53,53,2018,1509709,3513856,42.96
G54,54,2018,385150,742615,51.86
G55,55,2018,1433334,2964540,48.35
G56,56,2018,148096,290963,50.9
G72,72,2018,483151,1028500,46.98
