G_COUNTYFP,COUNTYFP,year,unempP,povP,pciE
G01001,01001,2018,4.2,15.4,29372
G01003,01003,2018,4.4,10.6,31203
G01005,01005,2018,9.5,28.9,18461
G01007,01007,2018,7.5,14,20199
G01009,01009,2018,4.1,14.4,22656
G01011,01011,2018,11.1,31.4,20346
G01013,01013,2018,6.7,23.5,20430
G01015,01015,2018,8.8,18.6,24706
G01017,01017,2018,5,16.6,22827
G01019,01019,2018,5.6,15,23356
G01021,01021,2018,7.1,18.6,24611
G01023,01023,2018,10.6,22.2,22182
G01025,01025,2018,14.4,25.4,21111
G01027,01027,2018,6.4,18.4,23147
G01029,01029,2018,7.5,18.5,21989
G01031,01031,2018,5.9,15.1,27577
G01033,01033,2018,5.9,16.3,24918
G01035,01035,2018,11.5,22.2,17542
G01037,01037,2018,5.8,14,22963
G01039,01039,2018,8.7,18.3,23071
G01041,01041,2018,5.8,15.7,23353
G01043,01043,2018,5.5,15.8,22980
G01045,01045,2018,8.8,18.4,23837
G01047,01047,2018,11.8,31.1,18910
G01049,01049,2018,4.5,22.1,21004
G01051,01051,2018,6.2,12.3,27475
G01053,01053,2018,13.5,24,18161
G01055,01055,2018,6.5,17.3,24065
G01057,01057,2018,7,20,21862
G01059,01059,2018,6.1,20.2,19776
G01061,01061,2018,8.6,24,20471
G01063,01063,2018,15.8,38.7,14209
G01065,01065,2018,11.9,26,20272
G01067,01067,2018,6.7,13.5,24069
G01069,01069,2018,7,18.3,25990
G01071,01071,2018,5.9,20.2,21608
G01073,01073,2018,7.3,17,30657
G01075,01075,2018,8,21.2,21666
G01077,01077,2018,5.3,15.2,27189
G01079,01079,2018,5.7,16.8,23557
G01081,01081,2018,5.7,21.4,26960
G01083,01083,2018,6.9,13.7,27699
G01085,01085,2018,11.5,27.9,19491
G01087,01087,2018,12.1,25.8,20125
G01089,01089,2018,5.8,13.2,35526
G01091,01091,2018,9.7,21.8,23056
G01093,01093,2018,5.6,17.5,21391
G01095,01095,2018,5.1,21.7,23833
G01097,01097,2018,6.2,19.3,25215
G01099,01099,2018,17.5,30.9,18890
G01101,01101,2018,7.6,20.7,28008
G01103,01103,2018,5.2,15.3,25907
G01105,01105,2018,12.3,41.8,13678
G01107,01107,2018,10.6,23.5,22417
G01109,01109,2018,8,26.6,21137
G01111,01111,2018,5,17.7,23247
G01113,01113,2018,7.8,20.1,22055
G01115,01115,2018,5.3,13.2,24861
G01117,01117,2018,4,8.4,36576
G01119,01119,2018,12.1,31.3,15882
G01121,01121,2018,8.8,19.9,22498
G01123,01123,2018,10.4,20.3,23655
G01125,01125,2018,6.3,17.4,26064
G01127,01127,2018,8.8,19.7,22772
G01129,01129,2018,8.5,21,22776
G01131,01131,2018,15.5,31.1,16584
G01133,01133,2018,7.6,16.2,21799
G02013,02013,2018,3.5,15.4,32510
G02016,02016,2018,2,8.5,37070
G02020,02020,2018,5.6,9.2,39839
G02050,02050,2018,18.3,27.8,19760
G02060,02060,2018,8.1,5.8,45259
G02068,02068,2018,3,16.9,34956
G02070,02070,2018,11.9,17.2,25334
G02090,02090,2018,7,8.1,36374
G02100,02100,2018,3.7,9,33521
G02105,02105,2018,10.9,9.7,35355
G02110,02110,2018,5.8,7.9,43276
G02122,02122,2018,7.8,12,33820
G02130,02130,2018,6.6,10.5,34900
G02150,02150,2018,5.2,9.3,32516
G02158,02158,2018,28.9,40.5,12578
G02164,02164,2018,15.7,15.9,24571
G02170,02170,2018,9.5,10.3,30943
G02180,02180,2018,16.7,23.1,22293
G02185,02185,2018,9,9.3,49903
G02188,02188,2018,18.7,25.1,23230
G02195,02195,2018,4.3,8.2,33227
G02198,02198,2018,12.1,15.2,27236
G02220,02220,2018,4.4,7.5,38423
G02230,02230,2018,6.8,5.3,39842
G02240,02240,2018,10.2,10.8,32409
G02261,02261,2018,6.6,8.1,38507
G02275,02275,2018,5.6,7.8,31489
G02282,02282,2018,6.1,6.7,31878
G02290,02290,2018,18.8,25.1,22386
G04001,04001,2018,12,35.3,14499
G04003,04003,2018,7.2,17.2,25436
G04005,04005,2018,7.5,18.9,26387
G04007,04007,2018,10.2,22.5,22939
G04009,04009,2018,9.4,21.3,18113
G04011,04011,2018,6.9,11.9,25349
G04012,04012,2018,8,22.1,21845
G04013,04013,2018,5.5,14.7,31697
G04015,04015,2018,8.9,17.5,24829
G04017,04017,2018,14.8,28.5,18333
