G_ZCTA,GEOID,IntSub,IntNoSub,noInt,total,IntSubPct,IntNoSubPct,NoIntPct,year,ZCTA
G1846774,1846774,5197,127,1005,6329,82.11,2.01,15.88,2019,46774
G1846788,1846788,853,68,180,1101,77.48,6.18,16.35,2019,46788
G1846791,1846791,303,0,26,329,92.1,0,7.9,2019,46791
G1846798,1846798,487,2,98,587,82.96,0.34,16.7,2019,46798
G1846835,1846835,12971,305,1159,14435,89.86,2.11,8.03,2019,46835
G1846901,1846901,12689,640,3114,16443,77.17,3.89,18.94,2019,46901
G1846902,1846902,12513,682,2428,15623,80.09,4.37,15.54,2019,46902
G1846930,1846930,40,0,3,43,93.02,0,6.98,2019,46930
G1846938,1846938,988,91,163,1242,79.55,7.33,13.12,2019,46938
G1846947,1846947,8100,392,2176,10668,75.93,3.67,20.4,2019,46947
G1846950,1846950,157,0,78,235,66.81,0,33.19,2019,46950
G1846951,1846951,587,32,116,735,79.86,4.35,15.78,2019,46951
G1846970,1846970,6789,341,1774,8904,76.25,3.83,19.92,2019,46970
G1846349,1846349,1138,0,106,1244,91.48,0,8.52,2019,46349
G1846368,1846368,12403,285,2881,15569,79.66,1.83,18.5,2019,46368
G1846374,1846374,264,16,22,302,87.42,5.3,7.28,2019,46374
G1846377,1846377,109,0,45,154,70.78,0,29.22,2019,46377
G1846385,1846385,12926,247,1322,14495,89.18,1.7,9.12,2019,46385
G1846408,1846408,4715,147,1574,6436,73.26,2.28,24.46,2019,46408
G1846502,1846502,29,0,0,29,100,0,0,2019,46502
G1846510,1846510,1062,103,355,1520,69.87,6.78,23.36,2019,46510
G1846530,1846530,10324,198,331,10853,95.13,1.82,3.05,2019,46530
G1846532,1846532,472,17,123,612,77.12,2.78,20.1,2019,46532
G1846940,1846940,860,54,143,1057,81.36,5.11,13.53,2019,46940
G1846989,1846989,1081,121,222,1424,75.91,8.5,15.59,2019,46989
G1846819,1846819,3544,189,520,4253,83.33,4.44,12.23,2019,46819
G1846845,1846845,7751,60,486,8297,93.42,0.72,5.86,2019,46845
G1846110,1846110,159,3,43,205,77.56,1.46,20.98,2019,46110
G1846130,1846130,892,45,122,1059,84.23,4.25,11.52,2019,46130
G1846143,1846143,18779,528,1928,21235,88.43,2.49,9.08,2019,46143
G1846148,1846148,1403,120,542,2065,67.94,5.81,26.25,2019,46148
G1846151,1846151,9399,285,1849,11533,81.5,2.47,16.03,2019,46151
G1846156,1846156,249,14,208,471,52.87,2.97,44.16,2019,46156
G1846158,1846158,7456,164,1178,8798,84.75,1.86,13.39,2019,46158
G1846202,1846202,7866,495,1447,9808,80.2,5.05,14.75,2019,46202
G1846205,1846205,9053,434,2110,11597,78.06,3.74,18.19,2019,46205
G1846975,1846975,4326,196,997,5519,78.38,3.55,18.06,2019,46975
G1846404,1846404,4490,228,2343,7061,63.59,3.23,33.18,2019,46404
G1846217,1846217,11114,467,698,12279,90.51,3.8,5.68,2019,46217
G1846342,1846342,10016,260,1311,11587,86.44,2.24,11.31,2019,46342
G1846035,1846035,338,14,82,434,77.88,3.23,18.89,2019,46035
G1846543,1846543,569,17,347,933,60.99,1.82,37.19,2019,46543
G1846792,1846792,1201,66,254,1521,78.96,4.34,16.7,2019,46792
G1846702,1846702,767,27,150,944,81.25,2.86,15.89,2019,46702
G1846787,1846787,1031,48,333,1412,73.02,3.4,23.58,2019,46787
G1846065,1846065,918,34,228,1180,77.8,2.88,19.32,2019,46065
G1846121,1846121,1673,48,285,2006,83.4,2.39,14.21,2019,46121
G1846180,1846180,331,13,85,429,77.16,3.03,19.81,2019,46180
G1846259,1846259,3508,40,92,3640,96.37,1.1,2.53,2019,46259
G1846037,1846037,14242,95,328,14665,97.12,0.65,2.24,2019,46037
G1846062,1846062,12258,188,764,13210,92.79,1.42,5.78,2019,46062
G1846146,1846146,107,0,10,117,91.45,0,8.55,2019,46146
G1846183,1846183,15,0,0,15,100,0,0,2019,46183
G1846704,1846704,9,0,8,17,52.94,0,47.06,2019,46704
G1846771,1846771,34,0,0,34,100,0,0,2019,46771
G1846786,1846786,26,0,0,26,100,0,0,2019,46786
G1846915,1846915,248,12,64,324,76.54,3.7,19.75,2019,46915
G1846922,1846922,0,10,0,10,0,100,0,2019,46922
G1846967,1846967,33,3,9,45,73.33,6.67,20,2019,46967
G1846984,1846984,91,0,15,106,85.85,0,14.15,2019,46984
G1846126,1846126,1541,69,282,1892,81.45,3.65,14.9,2019,46126
G1846998,1846998,101,0,0,101,100,0,0,2019,46998
G1846001,1846001,3046,157,918,4121,73.91,3.81,22.28,2019,46001
G1846012,1846012,6780,173,1266,8219,82.49,2.1,15.4,2019,46012
G1846030,1846030,931,31,243,1205,77.26,2.57,20.17,2019,46030
G1846290,1846290,95,17,0,112,84.82,15.18,0,2019,46290
G1846312,1846312,6237,668,3460,10365,60.17,6.44,33.38,2019,46312
G1846376,1846376,75,1,4,80,93.75,1.25,5,2019,46376
G1846383,1846383,13705,416,2185,16306,84.05,2.55,13.4,2019,46383
G1846394,1846394,3634,198,1084,4916,73.92,4.03,22.05,2019,46394
G1846402,1846402,1365,44,1281,2690,50.74,1.64,47.62,2019,46402
G1846407,1846407,2519,164,1816,4499,55.99,3.65,40.36,2019,46407
G2648185,2648185,17991,556,3189,21736,82.77,2.56,14.67,2019,48185
G2648197,2648197,22507,1078,1932,25517,88.2,4.22,7.57,2019,48197
G2648206,2648206,3478,640,2525,6643,52.36,9.63,38.01,2019,48206
G2648238,2648238,5397,832,3765,9994,54,8.32,37.67,2019,48238
G2648649,2648649,428,10,74,512,83.59,1.95,14.45,2019,48649
G2648651,2648651,1799,57,474,2330,77.21,2.45,20.34,2019,48651
G2648654,2648654,716,27,265,1008,71.03,2.68,26.29,2019,48654
G2648656,2648656,1353,51,388,1792,75.5,2.85,21.65,2019,48656
G2648725,2648725,808,48,197,1053,76.73,4.56,18.71,2019,48725
G2965254,2965254,577,5,121,703,82.08,0.71,17.21,2019,65254
G2965255,2965255,1340,15,282,1637,81.86,0.92,17.23,2019,65255
G2965260,2965260,131,0,24,155,84.52,0,15.48,2019,65260
G2965263,2965263,402,40,235,677,59.38,5.91,34.71,2019,65263
G2965786,2965786,395,33,338,766,51.57,4.31,44.13,2019,65786
G2965770,2965770,905,31,343,1279,70.76,2.42,26.82,2019,65770
G2965054,2965054,174,51,42,267,65.17,19.1,15.73,2019,65054
G2965624,2965624,508,0,95,603,84.25,0,15.75,2019,65624
G2965729,2965729,110,0,0,110,100,0,0,2019,65729
G2965708,2965708,3609,233,830,4672,77.25,4.99,17.77,2019,65708
G2965715,2965715,29,0,0,29,100,0,0,2019,65715
G2965724,2965724,431,63,150,644,66.93,9.78,23.29,2019,65724
G2965760,2965760,222,0,72,294,75.51,0,24.49,2019,65760
G2965762,2965762,108,12,47,167,64.67,7.19,28.14,2019,65762
G2965784,2965784,3,0,4,7,42.86,0,57.14,2019,65784
G2965807,2965807,19845,2685,3305,25835,76.81,10.39,12.79,2019,65807
G2965231,2965231,910,60,326,1296,70.22,4.63,25.15,2019,65231
G2965262,2965262,187,26,82,295,63.39,8.81,27.8,2019,65262
G2965282,2965282,55,0,11,66,83.33,0,16.67,2019,65282
G2965001,2965001,90,7,18,115,78.26,6.09,15.65,2019,65001
G2965608,2965608,2268,318,853,3439,65.95,9.25,24.8,2019,65608
G2965690,2965690,62,0,13,75,82.67,0,17.33,2019,65690
G2965247,2965247,250,0,25,275,90.91,0,9.09,2019,65247
G2965714,2965714,10616,314,1534,12464,85.17,2.52,12.31,2019,65714
G2066833,2066833,142,11,58,211,67.3,5.21,27.49,2019,66833
G2066840,2066840,210,8,19,237,88.61,3.38,8.02,2019,66840
G2066758,2066758,72,2,42,116,62.07,1.72,36.21,2019,66758
G2066767,2066767,141,2,69,212,66.51,0.94,32.55,2019,66767
G2066782,2066782,32,1,24,57,56.14,1.75,42.11,2019,66782
G2066842,2066842,107,3,77,187,57.22,1.6,41.18,2019,66842
G2066850,2066850,75,1,19,95,78.95,1.05,20,2019,66850
G2066852,2066852,233,6,46,285,81.75,2.11,16.14,2019,66852
G2066853,2066853,142,4,46,192,73.96,2.08,23.96,2019,66853
G2066858,2066858,123,5,40,168,73.21,2.98,23.81,2019,66858
G2066860,2066860,433,18,159,610,70.98,2.95,26.07,2019,66860
G2066930,2066930,86,2,20,108,79.63,1.85,18.52,2019,66930
G2066939,2066939,134,29,72,235,57.02,12.34,30.64,2019,66939
G2066944,2066944,45,2,30,77,58.44,2.6,38.96,2019,66944
G2066946,2066946,26,0,35,61,42.62,0,57.38,2019,66946
G2066955,2066955,29,0,10,39,74.36,0,25.64,2019,66955
G2066757,2066757,882,79,364,1325,66.57,5.96,27.47,2019,66757
G2066779,2066779,189,4,50,243,77.78,1.65,20.58,2019,66779
G2066834,2066834,284,0,74,358,79.33,0,20.67,2019,66834
G2066849,2066849,147,0,28,175,84,0,16,2019,66849
G2066717,2066717,143,25,64,232,61.64,10.78,27.59,2019,66717
G2066735,2066735,174,0,16,190,91.58,0,8.42,2019,66735
G2066772,2066772,74,0,7,81,91.36,0,8.64,2019,66772
G2066778,2066778,0,0,0,0,NA,NA,NA,2019,66778
G2066859,2066859,68,0,36,104,65.38,0,34.62,2019,66859
G2066869,2066869,190,3,111,304,62.5,0.99,36.51,2019,66869
G3944825,3944825,33,1,6,40,82.5,2.5,15,2019,44825
G3944830,3944830,5969,418,1364,7751,77.01,5.39,17.6,2019,44830
G3943148,3943148,637,35,160,832,76.56,4.21,19.23,2019,43148
G3943150,3943150,615,26,172,813,75.65,3.2,21.16,2019,43150
G3943204,3943204,13242,583,2692,16517,80.17,3.53,16.3,2019,43204
G3943212,3943212,10555,400,691,11646,90.63,3.43,5.93,2019,43212
G3943214,3943214,11191,202,1035,12428,90.05,1.63,8.33,2019,43214
G3943215,3943215,8376,272,1018,9666,86.65,2.81,10.53,2019,43215
G3943223,3943223,5993,406,2434,8833,67.85,4.6,27.56,2019,43223
G3943229,3943229,18310,264,2387,20961,87.35,1.26,11.39,2019,43229
G3943231,3943231,7264,156,696,8116,89.5,1.92,8.58,2019,43231
G3943232,3943232,15209,432,3303,18944,80.28,2.28,17.44,2019,43232
G3943235,3943235,17344,343,713,18400,94.26,1.86,3.88,2019,43235
G3943302,3943302,16098,487,3840,20425,78.82,2.38,18.8,2019,43302
G3943138,3943138,5570,378,1343,7291,76.4,5.18,18.42,2019,43138
G3943144,3943144,111,2,44,157,70.7,1.27,28.03,2019,43144
G3943240,3943240,1927,36,85,2048,94.09,1.76,4.15,2019,43240
G3943310,3943310,911,4,176,1091,83.5,0.37,16.13,2019,43310
G3943324,3943324,1071,65,175,1311,81.69,4.96,13.35,2019,43324
G3943342,3943342,934,0,153,1087,85.92,0,14.08,2019,43342
G3943345,3943345,263,5,79,347,75.79,1.44,22.77,2019,43345
G3943347,3943347,458,14,80,552,82.97,2.54,14.49,2019,43347
G3943359,3943359,254,5,33,292,86.99,1.71,11.3,2019,43359
G3943408,3943408,87,5,18,110,79.09,4.55,16.36,2019,43408
G3943450,3943450,1240,25,181,1446,85.75,1.73,12.52,2019,43450
G3943451,3943451,388,1,54,443,87.58,0.23,12.19,2019,43451
G3943460,3943460,2445,75,161,2681,91.2,2.8,6.01,2019,43460
G3943464,3943464,401,0,106,507,79.09,0,20.91,2019,43464
G3943506,3943506,5032,87,1064,6183,81.38,1.41,17.21,2019,43506
G3943511,3943511,417,16,72,505,82.57,3.17,14.26,2019,43511
G3943469,3943469,1046,33,191,1270,82.36,2.6,15.04,2019,43469
G3943512,3943512,9315,309,1903,11527,80.81,2.68,16.51,2019,43512
G3943526,3943526,1832,70,366,2268,80.78,3.09,16.14,2019,43526
G3943528,3943528,5464,201,699,6364,85.86,3.16,10.98,2019,43528
G3943533,3943533,560,19,70,649,86.29,2.93,10.79,2019,43533
G3943535,3943535,236,4,21,261,90.42,1.53,8.05,2019,43535
G3943842,3943842,142,0,50,192,73.96,0,26.04,2019,43842
G3943902,3943902,28,0,0,28,100,0,0,2019,43902
G3943907,3943907,1756,14,512,2282,76.95,0.61,22.44,2019,43907
G3943917,3943917,1136,46,255,1437,79.05,3.2,17.75,2019,43917
G3943925,3943925,54,0,0,54,100,0,0,2019,43925
G3943967,3943967,0,0,0,0,NA,NA,NA,2019,43967
G3943972,3943972,25,0,0,25,100,0,0,2019,43972
G3943974,3943974,21,0,16,37,56.76,0,43.24,2019,43974
G3943032,3943032,10,0,0,10,100,0,0,2019,43032
G3943036,3943036,112,0,26,138,81.16,0,18.84,2019,43036
G3943623,3943623,7645,236,1083,8964,85.29,2.63,12.08,2019,43623
G3943730,3943730,538,23,212,773,69.6,2.98,27.43,2019,43730
G3943734,3943734,459,0,125,584,78.6,0,21.4,2019,43734
G3943767,3943767,263,12,57,332,79.22,3.61,17.17,2019,43767
G3943768,3943768,137,0,17,154,88.96,0,11.04,2019,43768
G3943778,3943778,285,2,192,479,59.5,0.42,40.08,2019,43778
G3943793,3943793,1372,48,661,2081,65.93,2.31,31.76,2019,43793
G3943812,3943812,5822,282,1769,7873,73.95,3.58,22.47,2019,43812
G3943824,3943824,647,4,598,1249,51.8,0.32,47.88,2019,43824
G3943832,3943832,1888,100,1074,3062,61.66,3.27,35.08,2019,43832
G3943844,3943844,1087,21,371,1479,73.5,1.42,25.08,2019,43844
G3943845,3943845,1469,26,375,1870,78.56,1.39,20.05,2019,43845
G3943910,3943910,1075,0,217,1292,83.2,0,16.8,2019,43910
G1846514,1846514,13822,317,2342,16481,83.87,1.92,14.21,2019,46514
G1846582,1846582,4270,236,647,5153,82.86,4.58,12.56,2019,46582
G1846721,1846721,1374,45,334,1753,78.38,2.57,19.05,2019,46721
G1846748,1846748,1541,27,102,1670,92.28,1.62,6.11,2019,46748
G1846760,1846760,403,10,144,557,72.35,1.8,25.85,2019,46760
G1846761,1846761,2498,85,1432,4015,62.22,2.12,35.67,2019,46761
G1846776,1846776,531,36,131,698,76.07,5.16,18.77,2019,46776
G1846793,1846793,1485,76,218,1779,83.47,4.27,12.25,2019,46793
G1846797,1846797,1178,32,187,1397,84.32,2.29,13.39,2019,46797
G1846391,1846391,1767,45,173,1985,89.02,2.27,8.72,2019,46391
G1846045,1846045,20,0,0,20,100,0,0,2019,46045
G1846056,1846056,650,47,141,838,77.57,5.61,16.83,2019,46056
G1846057,1846057,443,20,54,517,85.69,3.87,10.44,2019,46057
G1846531,1846531,404,0,156,560,72.14,0,27.86,2019,46531
G1846542,1846542,1060,85,355,1500,70.67,5.67,23.67,2019,46542
G1846545,1846545,8645,314,2462,11421,75.69,2.75,21.56,2019,46545
G1846550,1846550,2881,181,1132,4194,68.69,4.32,26.99,2019,46550
G1846556,1846556,124,94,5,223,55.61,42.15,2.24,2019,46556
G1846565,1846565,1051,28,1322,2401,43.77,1.17,55.06,2019,46565
G1846570,1846570,239,5,81,325,73.54,1.54,24.92,2019,46570
G1846601,1846601,1206,245,781,2232,54.03,10.98,34.99,2019,46601
G1846356,1846356,5706,164,581,6451,88.45,2.54,9.01,2019,46356
G1846366,1846366,1608,70,453,2131,75.46,3.28,21.26,2019,46366
G1846373,1846373,5341,161,204,5706,93.6,2.82,3.58,2019,46373
G1846393,1846393,49,0,71,120,40.83,0,59.17,2019,46393
G1846409,1846409,2067,49,718,2834,72.94,1.73,25.34,2019,46409
G1846033,1846033,13583,64,261,13908,97.66,0.46,1.88,2019,46033
G1846036,1846036,3600,169,968,4737,76,3.57,20.43,2019,46036
G1846540,1846540,3055,65,680,3800,80.39,1.71,17.89,2019,46540
G1846567,1846567,3044,191,579,3814,79.81,5.01,15.18,2019,46567
G1846613,1846613,2482,198,961,3641,68.17,5.44,26.39,2019,46613
G1846616,1846616,1599,114,401,2114,75.64,5.39,18.97,2019,46616
G1846619,1846619,5255,386,1845,7486,70.2,5.16,24.65,2019,46619
G1846701,1846701,2741,61,419,3221,85.1,1.89,13.01,2019,46701
G1846711,1846711,1870,156,687,2713,68.93,5.75,25.32,2019,46711
G1846740,1846740,626,45,506,1177,53.19,3.82,42.99,2019,46740
G1846747,1846747,824,5,192,1021,80.71,0.49,18.81,2019,46747
G1846240,1846240,8316,207,1273,9796,84.89,2.11,13,2019,46240
G1846310,1846310,4184,131,919,5234,79.94,2.5,17.56,2019,46310
G1846923,1846923,2608,64,539,3211,81.22,1.99,16.79,2019,46923
G1846936,1846936,1827,118,233,2178,83.88,5.42,10.7,2019,46936
G1846952,1846952,6012,734,1534,8280,72.61,8.86,18.53,2019,46952
G1846957,1846957,174,26,57,257,67.7,10.12,22.18,2019,46957
G1846968,1846968,36,0,0,36,100,0,0,2019,46968
G1846982,1846982,859,16,163,1038,82.76,1.54,15.7,2019,46982
G1846986,1846986,565,52,85,702,80.48,7.41,12.11,2019,46986
G3945821,3945821,401,11,65,477,84.07,2.31,13.63,2019,45821
G3945876,3945876,294,2,52,348,84.48,0.57,14.94,2019,45876
G3945860,3945860,706,15,99,820,86.1,1.83,12.07,2019,45860
G3945861,3945861,59,2,35,96,61.46,2.08,36.46,2019,45861
G3945871,3945871,720,13,57,790,91.14,1.65,7.22,2019,45871
G3945888,3945888,119,0,1,120,99.17,0,0.83,2019,45888
G3945213,3945213,4578,158,721,5457,83.89,2.9,13.21,2019,45213
G3945223,3945223,4559,164,832,5555,82.07,2.95,14.98,2019,45223
G3945224,3945224,7565,267,1569,9401,80.47,2.84,16.69,2019,45224
G3945243,3945243,5071,97,216,5384,94.19,1.8,4.01,2019,45243
G3945244,3945244,9284,195,926,10405,89.23,1.87,8.9,2019,45244
G3945251,3945251,7770,221,944,8935,86.96,2.47,10.57,2019,45251
G3945252,3945252,1757,52,113,1922,91.42,2.71,5.88,2019,45252
G1846511,1846511,1244,76,415,1735,71.7,4.38,23.92,2019,46511
G1846526,1846526,9502,274,2061,11837,80.27,2.31,17.41,2019,46526
G1846528,1846528,6502,155,1507,8164,79.64,1.9,18.46,2019,46528
G1846544,1846544,10357,400,2093,12850,80.6,3.11,16.29,2019,46544
G1846553,1846553,900,26,137,1063,84.67,2.45,12.89,2019,46553
G1846571,1846571,568,9,824,1401,40.54,0.64,58.82,2019,46571
G1846595,1846595,29,10,6,45,64.44,22.22,13.33,2019,46595
G1846703,1846703,6141,331,1028,7500,81.88,4.41,13.71,2019,46703
G1846705,1846705,477,64,163,704,67.76,9.09,23.15,2019,46705
G1846714,1846714,4667,295,913,5875,79.44,5.02,15.54,2019,46714
G1846731,1846731,219,0,40,259,84.56,0,15.44,2019,46731
G1846766,1846766,246,7,40,293,83.96,2.39,13.65,2019,46766
G1846767,1846767,2189,45,521,2755,79.46,1.63,18.91,2019,46767
G1846011,1846011,5743,236,818,6797,84.49,3.47,12.03,2019,46011
G1846013,1846013,6263,158,1506,7927,79.01,1.99,19,2019,46013
G1846041,1846041,6282,330,1759,8371,75.04,3.94,21.01,2019,46041
G1846044,1846044,1001,28,154,1183,84.62,2.37,13.02,2019,46044
G1846075,1846075,2366,33,0,2399,98.62,1.38,0,2019,46075
G1846111,1846111,67,3,16,86,77.91,3.49,18.6,2019,46111
G1846115,1846115,579,67,132,778,74.42,8.61,16.97,2019,46115
G1846125,1846125,25,0,0,25,100,0,0,2019,46125
G1846127,1846127,89,0,29,118,75.42,0,24.58,2019,46127
G1846149,1846149,633,26,60,719,88.04,3.62,8.34,2019,46149
G1846157,1846157,1203,26,158,1387,86.73,1.87,11.39,2019,46157
G1846171,1846171,515,25,99,639,80.59,3.91,15.49,2019,46171
G1846806,1846806,6346,206,2011,8563,74.11,2.41,23.48,2019,46806
G1846807,1846807,5948,226,467,6641,89.56,3.4,7.03,2019,46807
G1846910,1846910,899,44,220,1163,77.3,3.78,18.92,2019,46910
G1846919,1846919,727,38,221,986,73.73,3.85,22.41,2019,46919
G1846931,1846931,43,7,39,89,48.31,7.87,43.82,2019,46931
G1846953,1846953,5555,844,2107,8506,65.31,9.92,24.77,2019,46953
G1846040,1846040,3821,151,596,4568,83.65,3.31,13.05,2019,46040
G1846048,1846048,660,24,67,751,87.88,3.2,8.92,2019,46048
G1846055,1846055,4218,16,173,4407,95.71,0.36,3.93,2019,46055
G1846070,1846070,626,75,121,822,76.16,9.12,14.72,2019,46070
G1846071,1846071,1098,58,183,1339,82,4.33,13.67,2019,46071
G1846077,1846077,9879,168,349,10396,95.03,1.62,3.36,2019,46077
G1846106,1846106,2011,0,378,2389,84.18,0,15.82,2019,46106
G1846117,1846117,193,0,51,244,79.1,0,20.9,2019,46117
G1846128,1846128,714,20,86,820,87.07,2.44,10.49,2019,46128
G1846131,1846131,9935,361,1682,11978,82.94,3.01,14.04,2019,46131
G1846133,1846133,255,29,53,337,75.67,8.61,15.73,2019,46133
G1846160,1846160,1929,131,481,2541,75.91,5.16,18.93,2019,46160
G1846163,1846163,4039,36,427,4502,89.72,0.8,9.48,2019,46163
G1846165,1846165,416,36,152,604,68.87,5.96,25.17,2019,46165
G1846181,1846181,1617,67,234,1918,84.31,3.49,12.2,2019,46181
G1846182,1846182,526,0,131,657,80.06,0,19.94,2019,46182
G1846186,1846186,540,54,102,696,77.59,7.76,14.66,2019,46186
G1846208,1846208,6347,250,1775,8372,75.81,2.99,21.2,2019,46208
G1846219,1846219,11011,477,4397,15885,69.32,3,27.68,2019,46219
G1846239,1846239,8930,305,793,10028,89.05,3.04,7.91,2019,46239
G1846241,1846241,8100,388,2150,10638,76.14,3.65,20.21,2019,46241
G1846280,1846280,3096,23,155,3274,94.56,0.7,4.73,2019,46280
G1846815,1846815,9403,156,1270,10829,86.83,1.44,11.73,2019,46815
G1846803,1846803,2565,80,876,3521,72.85,2.27,24.88,2019,46803
G1846804,1846804,10854,251,884,11989,90.53,2.09,7.37,2019,46804
G1846808,1846808,6753,295,1331,8379,80.59,3.52,15.88,2019,46808
G1846917,1846917,529,6,201,736,71.88,0.82,27.31,2019,46917
G1846920,1846920,344,7,37,388,88.66,1.8,9.54,2019,46920
G2066936,2066936,141,0,22,163,86.5,0,13.5,2019,66936
G2066937,2066937,215,2,107,324,66.36,0.62,33.02,2019,66937
G2066940,2066940,89,5,50,144,61.81,3.47,34.72,2019,66940
G2066942,2066942,103,8,13,124,83.06,6.45,10.48,2019,66942
G2066943,2066943,159,6,66,231,68.83,2.6,28.57,2019,66943
G2066959,2066959,72,0,22,94,76.6,0,23.4,2019,66959
G2066970,2066970,38,0,14,52,73.08,0,26.92,2019,66970
G2066510,2066510,221,11,56,288,76.74,3.82,19.44,2019,66510
G2066612,2066612,747,117,584,1448,51.59,8.08,40.33,2019,66612
G3168960,3168960,67,0,18,85,78.82,0,21.18,2019,68960
G3168360,3168360,119,11,62,192,61.98,5.73,32.29,2019,68360
G3168361,3168361,824,25,181,1030,80,2.43,17.57,2019,68361
G3168366,3168366,304,16,49,369,82.38,4.34,13.28,2019,68366
G3168368,3168368,157,0,32,189,83.07,0,16.93,2019,68368
G3168377,3168377,147,2,40,189,77.78,1.06,21.16,2019,68377
G3168380,3168380,27,5,16,48,56.25,10.42,33.33,2019,68380
G3168640,3168640,473,16,90,579,81.69,2.76,15.54,2019,68640
G3168655,3168655,40,0,6,46,86.96,0,13.04,2019,68655
G3168659,3168659,63,0,20,83,75.9,0,24.1,2019,68659
G3168662,3168662,455,10,29,494,92.11,2.02,5.87,2019,68662
G3168718,3168718,645,10,114,769,83.88,1.3,14.82,2019,68718
G3168720,3168720,99,2,34,135,73.33,1.48,25.19,2019,68720
G3168731,3168731,804,12,153,969,82.97,1.24,15.79,2019,68731
G3168734,3168734,26,0,5,31,83.87,0,16.13,2019,68734
G3168755,3168755,106,0,33,139,76.26,0,23.74,2019,68755
G3168765,3168765,432,12,103,547,78.98,2.19,18.83,2019,68765
G3168790,3168790,373,16,30,419,89.02,3.82,7.16,2019,68790
G3168823,3168823,635,89,270,994,63.88,8.95,27.16,2019,68823
G3168845,3168845,7063,237,875,8175,86.4,2.9,10.7,2019,68845
G3168852,3168852,200,2,41,243,82.3,0.82,16.87,2019,68852
G3168854,3168854,334,3,36,373,89.54,0.8,9.65,2019,68854
G3168859,3168859,188,14,54,256,73.44,5.47,21.09,2019,68859
G3168860,3168860,100,10,59,169,59.17,5.92,34.91,2019,68860
G3168871,3168871,79,0,27,106,74.53,0,25.47,2019,68871
G3168872,3168872,244,10,63,317,76.97,3.15,19.87,2019,68872
G3168882,3168882,125,17,39,181,69.06,9.39,21.55,2019,68882
G3168768,3168768,203,16,50,269,75.46,5.95,18.59,2019,68768
G3168773,3168773,52,0,14,66,78.79,0,21.21,2019,68773
G3168774,3168774,67,3,18,88,76.14,3.41,20.45,2019,68774
G3168783,3168783,270,27,120,417,64.75,6.47,28.78,2019,68783
G3168786,3168786,319,15,34,368,86.68,4.08,9.24,2019,68786
G3168789,3168789,40,0,20,60,66.67,0,33.33,2019,68789
G3168801,3168801,8820,275,1758,10853,81.27,2.53,16.2,2019,68801
G3168803,3168803,8198,415,1300,9913,82.7,4.19,13.11,2019,68803
G3168810,3168810,317,40,59,416,76.2,9.62,14.18,2019,68810
G3168815,3168815,183,0,85,268,68.28,0,31.72,2019,68815
G3168827,3168827,190,6,61,257,73.93,2.33,23.74,2019,68827
G3168853,3168853,515,8,166,689,74.75,1.16,24.09,2019,68853
G3168861,3168861,37,0,0,37,100,0,0,2019,68861
G3168862,3168862,1006,47,277,1330,75.64,3.53,20.83,2019,68862
G3168863,3168863,365,3,64,432,84.49,0.69,14.81,2019,68863
G3168935,3168935,238,7,51,296,80.41,2.36,17.23,2019,68935
G3168004,3168004,251,49,85,385,65.19,12.73,22.08,2019,68004
G3168029,3168029,268,1,87,356,75.28,0.28,24.44,2019,68029
G3168036,3168036,94,8,10,112,83.93,7.14,8.93,2019,68036
G3168040,3168040,136,1,34,171,79.53,0.58,19.88,2019,68040
G3168057,3168057,504,21,131,656,76.83,3.2,19.97,2019,68057
G3168104,3168104,11550,259,2464,14273,80.92,1.81,17.26,2019,68104
G3168116,3168116,10776,134,537,11447,94.14,1.17,4.69,2019,68116
G3943933,3943933,531,11,211,753,70.52,1.46,28.02,2019,43933
G3943951,3943951,19,0,0,19,100,0,0,2019,43951
G3943906,3943906,2323,147,888,3358,69.18,4.38,26.44,2019,43906
G3943928,3943928,18,0,29,47,38.3,0,61.7,2019,43928
G3943934,3943934,85,0,96,181,46.96,0,53.04,2019,43934
G3943935,3943935,2643,131,798,3572,73.99,3.67,22.34,2019,43935
G3943945,3943945,789,28,440,1257,62.77,2.23,35,2019,43945
G3943946,3943946,746,7,183,936,79.7,0.75,19.55,2019,43946
G3943968,3943968,1958,150,651,2759,70.97,5.44,23.6,2019,43968
G3943977,3943977,563,62,235,860,65.47,7.21,27.33,2019,43977
G3943541,3943541,36,6,9,51,70.59,11.76,17.65,2019,43541
G3943547,3943547,122,0,10,132,92.42,0,7.58,2019,43547
G3943554,3943554,807,31,171,1009,79.98,3.07,16.95,2019,43554
G3943609,3943609,6639,258,1839,8736,76,2.95,21.05,2019,43609
G3943620,3943620,1813,132,531,2476,73.22,5.33,21.45,2019,43620
G3943701,3943701,18054,635,4155,22844,79.03,2.78,18.19,2019,43701
G3943739,3943739,593,32,99,724,81.91,4.42,13.67,2019,43739
G3943713,3943713,1955,109,553,2617,74.7,4.17,21.13,2019,43713
G3943718,3943718,933,48,217,1198,77.88,4.01,18.11,2019,43718
G3943722,3943722,103,0,17,120,85.83,0,14.17,2019,43722
G3943748,3943748,699,46,303,1048,66.7,4.39,28.91,2019,43748
G3943758,3943758,937,39,261,1237,75.75,3.15,21.1,2019,43758
G3943764,3943764,2402,155,625,3182,75.49,4.87,19.64,2019,43764
G3943773,3943773,931,44,291,1266,73.54,3.48,22.99,2019,43773
G3943811,3943811,232,10,85,327,70.95,3.06,25.99,2019,43811
G3943843,3943843,270,10,142,422,63.98,2.37,33.65,2019,43843
