G_ZCTA,GEOID,IntSub,IntNoSub,noInt,total,IntSubPct,IntNoSubPct,NoIntPct,year,ZCTA
G5426159,5426159,971,31,221,1223,79.39,2.53,18.07,2019,26159
G5426180,5426180,678,0,279,957,70.85,0,29.15,2019,26180
G5426184,5426184,790,0,139,929,85.04,0,14.96,2019,26184
G5426217,5426217,65,0,71,136,47.79,0,52.21,2019,26217
G5426224,5426224,81,26,14,121,66.94,21.49,11.57,2019,26224
G5426259,5426259,0,0,13,13,0,0,100,2019,26259
G5426269,5426269,299,0,89,388,77.06,0,22.94,2019,26269
G5426278,5426278,147,10,105,262,56.11,3.82,40.08,2019,26278
G5426294,5426294,233,53,154,440,52.95,12.05,35,2019,26294
G5426327,5426327,17,0,0,17,100,0,0,2019,26327
G3728119,3728119,740,20,334,1094,67.64,1.83,30.53,2019,28119
G5426034,5426034,1633,38,447,2118,77.1,1.79,21.1,2019,26034
G5426037,5426037,2168,165,500,2833,76.53,5.82,17.65,2019,26037
G5426062,5426062,7055,207,1586,8848,79.74,2.34,17.92,2019,26062
G5426143,5426143,1288,70,514,1872,68.8,3.74,27.46,2019,26143
G5426149,5426149,560,30,175,765,73.2,3.92,22.88,2019,26149
G5426201,5426201,5881,283,1610,7774,75.65,3.64,20.71,2019,26201
G5426266,5426266,22,0,21,43,51.16,0,48.84,2019,26266
G5426267,5426267,80,0,11,91,87.91,0,12.09,2019,26267
G5426292,5426292,174,18,79,271,64.21,6.64,29.15,2019,26292
G5426320,5426320,135,0,146,281,48.04,0,51.96,2019,26320
G5426347,5426347,678,3,139,820,82.68,0.37,16.95,2019,26347
G5426385,5426385,1143,95,271,1509,75.75,6.3,17.96,2019,26385
G5426411,5426411,168,38,70,276,60.87,13.77,25.36,2019,26411
G5426419,5426419,300,0,118,418,71.77,0,28.23,2019,26419
G5426430,5426430,80,2,55,137,58.39,1.46,40.15,2019,26430
G5426440,5426440,419,0,105,524,79.96,0,20.04,2019,26440
G5426447,5426447,311,6,219,536,58.02,1.12,40.86,2019,26447
G5426519,5426519,550,19,204,773,71.15,2.46,26.39,2019,26519
G5426554,5426554,14135,359,2534,17028,83.01,2.11,14.88,2019,26554
G5426570,5426570,929,71,297,1297,71.63,5.47,22.9,2019,26570
G5426587,5426587,132,0,26,158,83.54,0,16.46,2019,26587
G5426611,5426611,59,0,43,102,57.84,0,42.16,2019,26611
G5426623,5426623,284,10,176,470,60.43,2.13,37.45,2019,26623
G5426624,5426624,943,52,242,1237,76.23,4.2,19.56,2019,26624
G5426443,5426443,56,0,54,110,50.91,0,49.09,2019,26443
G5426562,5426562,160,8,10,178,89.89,4.49,5.62,2019,26562
G5426621,5426621,228,0,95,323,70.59,0,29.41,2019,26621
G5426833,5426833,535,0,211,746,71.72,0,28.28,2019,26833
G5426169,5426169,184,8,52,244,75.41,3.28,21.31,2019,26169
G5426291,5426291,55,0,0,55,100,0,0,2019,26291
G5426408,5426408,993,0,142,1135,87.49,0,12.51,2019,26408
G5426705,5426705,178,0,45,223,79.82,0,20.18,2019,26705
G5426707,5426707,88,0,19,107,82.24,0,17.76,2019,26707
G5426719,5426719,1020,0,245,1265,80.63,0,19.37,2019,26719
G5426801,5426801,230,0,136,366,62.84,0,37.16,2019,26801
G5426808,5426808,229,0,150,379,60.42,0,39.58,2019,26808
G5426814,5426814,120,0,47,167,71.86,0,28.14,2019,26814
G5426836,5426836,2367,93,541,3001,78.87,3.1,18.03,2019,26836
G5426852,5426852,205,16,89,310,66.13,5.16,28.71,2019,26852
G5426374,5426374,391,19,99,509,76.82,3.73,19.45,2019,26374
G5426537,5426537,1645,22,521,2188,75.18,1.01,23.81,2019,26537
G5426710,5426710,685,0,127,812,84.36,0,15.64,2019,26710
G5426716,5426716,217,0,64,281,77.22,0,22.78,2019,26716
G5426717,5426717,226,5,88,319,70.85,1.57,27.59,2019,26717
G5426743,5426743,459,0,143,602,76.25,0,23.75,2019,26743
G5426750,5426750,243,8,79,330,73.64,2.42,23.94,2019,26750
G5426560,5426560,49,0,17,66,74.24,0,25.76,2019,26560
G5426335,5426335,502,6,142,650,77.23,0.92,21.85,2019,26335
G5426254,5426254,43,34,28,105,40.95,32.38,26.67,2019,26254
G5426563,5426563,193,0,9,202,95.54,0,4.46,2019,26563
G5426591,5426591,486,0,66,552,88.04,0,11.96,2019,26591
G5426178,5426178,77,0,28,105,73.33,0,26.67,2019,26178
G5426425,5426425,253,0,199,452,55.97,0,44.03,2019,26425
G5426559,5426559,444,6,52,502,88.45,1.2,10.36,2019,26559
G5426631,5426631,23,0,85,108,21.3,0,78.7,2019,26631
G5426030,5426030,161,26,38,225,71.56,11.56,16.89,2019,26030
G5426170,5426170,1755,83,461,2299,76.34,3.61,20.05,2019,26170
G5426268,5426268,7,0,10,17,41.18,0,58.82,2019,26268
G4217953,4217953,128,5,61,194,65.98,2.58,31.44,2019,17953
G5426321,5426321,103,9,48,160,64.38,5.62,30,2019,26321
G5426412,5426412,86,0,84,170,50.59,0,49.41,2019,26412
G3727890,3727890,548,61,433,1042,52.59,5.85,41.55,2019,27890
G3727958,3727958,3700,140,395,4235,87.37,3.31,9.33,2019,27958
G3727101,3727101,5901,458,2272,8631,68.37,5.31,26.32,2019,27101
G3727283,3727283,956,69,180,1205,79.34,5.73,14.94,2019,27283
G3727834,3727834,18022,1257,3993,23272,77.44,5.4,17.16,2019,27834
G3727873,3727873,122,1,38,161,75.78,0.62,23.6,2019,27873
G3727925,3727925,983,37,498,1518,64.76,2.44,32.81,2019,27925
G3727973,3727973,461,35,121,617,74.72,5.67,19.61,2019,27973
G3727110,3727110,0,0,0,0,NA,NA,NA,2019,27110
G3727201,3727201,11,0,19,30,36.67,0,63.33,2019,27201
G3727205,3727205,9977,415,2734,13126,76.01,3.16,20.83,2019,27205
G3727332,3727332,8630,598,1435,10663,80.93,5.61,13.46,2019,27332
G3727340,3727340,37,0,0,37,100,0,0,2019,27340
G3727517,3727517,10627,663,366,11656,91.17,5.69,3.14,2019,27517
G3727518,3727518,7958,133,176,8267,96.26,1.61,2.13,2019,27518
G3727519,3727519,18878,391,438,19707,95.79,1.98,2.22,2019,27519
G3727523,3727523,4132,113,181,4426,93.36,2.55,4.09,2019,27523
G3727527,3727527,7768,65,454,8287,93.74,0.78,5.48,2019,27527
G3727531,3727531,0,0,0,0,NA,NA,NA,2019,27531
G3727537,3727537,6595,168,1980,8743,75.43,1.92,22.65,2019,27537
G3727539,3727539,7578,68,504,8150,92.98,0.83,6.18,2019,27539
G3727556,3727556,43,1,70,114,37.72,0.88,61.4,2019,27556
G3727574,3727574,4419,99,1259,5777,76.49,1.71,21.79,2019,27574
G3727617,3727617,8625,376,311,9312,92.62,4.04,3.34,2019,27617
G3727709,3727709,403,0,19,422,95.5,0,4.5,2019,27709
G3727825,3727825,12,3,13,28,42.86,10.71,46.43,2019,27825
G3727861,3727861,9,0,8,17,52.94,0,47.06,2019,27861
G3727879,3727879,88,2,38,128,68.75,1.56,29.69,2019,27879
G3727881,3727881,26,0,8,34,76.47,0,23.53,2019,27881
G3727978,3727978,42,0,39,81,51.85,0,48.15,2019,27978
G3727577,3727577,6952,255,2388,9595,72.45,2.66,24.89,2019,27577
G3727016,3727016,416,12,131,559,74.42,2.15,23.43,2019,27016
G3727326,3727326,942,32,375,1349,69.83,2.37,27.8,2019,27326
G3727356,3727356,834,27,182,1043,79.96,2.59,17.45,2019,27356
G3727408,3727408,6840,484,790,8114,84.3,5.96,9.74,2019,27408
G3727504,3727504,3870,310,1252,5432,71.24,5.71,23.05,2019,27504
G3727513,3727513,17356,170,585,18111,95.83,0.94,3.23,2019,27513
G3727520,3727520,12416,653,1968,15037,82.57,4.34,13.09,2019,27520
G3727525,3727525,4414,128,1328,5870,75.2,2.18,22.62,2019,27525
G3727530,3727530,12443,326,2953,15722,79.14,2.07,18.78,2019,27530
G3727534,3727534,11305,292,1690,13287,85.08,2.2,12.72,2019,27534
G3727536,3727536,4115,208,1985,6308,65.23,3.3,31.47,2019,27536
G3727540,3727540,12122,161,563,12846,94.36,1.25,4.38,2019,27540
G3727560,3727560,13094,215,470,13779,95.03,1.56,3.41,2019,27560
G3727587,3727587,22641,401,1180,24222,93.47,1.66,4.87,2019,27587
G3727866,3727866,203,19,108,330,61.52,5.76,32.73,2019,27866
G3727892,3727892,3955,390,1429,5774,68.5,6.75,24.75,2019,27892
G3727924,3727924,798,42,688,1528,52.23,2.75,45.03,2019,27924
G3727928,3727928,478,19,302,799,59.82,2.38,37.8,2019,27928
G3727935,3727935,580,0,132,712,81.46,0,18.54,2019,27935
G3727937,3727937,1270,89,316,1675,75.82,5.31,18.87,2019,27937
G3727962,3727962,2123,79,919,3121,68.02,2.53,29.45,2019,27962
G5426234,5426234,455,0,254,709,64.17,0,35.83,2019,26234
G3727850,3727850,2099,235,968,3302,63.57,7.12,29.32,2019,27850
G3727871,3727871,1136,105,523,1764,64.4,5.95,29.65,2019,27871
G3727874,3727874,796,134,814,1744,45.64,7.68,46.67,2019,27874
G4217025,4217025,6255,70,966,7291,85.79,0.96,13.25,2019,17025
G3728144,3728144,6924,359,1993,9276,74.64,3.87,21.49,2019,28144
G3728150,3728150,6659,788,3117,10564,63.03,7.46,29.51,2019,28150
G3728168,3728168,3026,120,808,3954,76.53,3.03,20.44,2019,28168
G3728173,3728173,17413,243,583,18239,95.47,1.33,3.2,2019,28173
G3728205,3728205,16639,448,3007,20094,82.81,2.23,14.96,2019,28205
G3728214,3728214,12553,232,1474,14259,88.04,1.63,10.34,2019,28214
G3728307,3728307,4509,74,116,4699,95.96,1.57,2.47,2019,28307
G3728315,3728315,4029,49,880,4958,81.26,0.99,17.75,2019,28315
G3728318,3728318,1341,22,337,1700,78.88,1.29,19.82,2019,28318
G3728320,3728320,2709,144,1007,3860,70.18,3.73,26.09,2019,28320
G3728333,3728333,3016,61,929,4006,75.29,1.52,23.19,2019,28333
G3728730,3728730,3043,50,480,3573,85.17,1.4,13.43,2019,28730
G3728480,3728480,1070,39,67,1176,90.99,3.32,5.7,2019,28480
G3728715,3728715,8226,480,1632,10338,79.57,4.64,15.79,2019,28715
G3728716,3728716,5112,440,1779,7331,69.73,6,24.27,2019,28716
G3728729,3728729,1209,62,182,1453,83.21,4.27,12.53,2019,28729
G3728732,3728732,6349,142,975,7466,85.04,1.9,13.06,2019,28732
G3728733,3728733,15,0,0,15,100,0,0,2019,28733
G3728001,3728001,8382,230,1781,10393,80.65,2.21,17.14,2019,28001
G3728007,3728007,205,3,53,261,78.54,1.15,20.31,2019,28007
G3728018,3728018,1272,124,726,2122,59.94,5.84,34.21,2019,28018
G3728020,3728020,541,45,206,792,68.31,5.68,26.01,2019,28020
G3728025,3728025,17355,349,2242,19946,87.01,1.75,11.24,2019,28025
