"","NAME","FIPS","year","totUnits","occP","vacantP"
"1","Autauga County, Alabama","01001",1990,12732,92.88,7.12
"2","Baldwin County, Alabama","01003",1990,50933,72.73,27.27
"3","Barbour County, Alabama","01005",1990,10705,86.11,13.89
"4","Bibb County, Alabama","01007",1990,6404,89.71,10.29
"5","Blount County, Alabama","01009",1990,15790,92.74,7.26
"6","Bullock County, Alabama","01011",1990,4458,84.95,15.05
"7","Butler County, Alabama","01013",1990,8745,90.74,9.26
"8","Calhoun County, Alabama","01015",1990,46753,91.94,8.06
"9","Chambers County, Alabama","01017",1990,14910,92.46,7.54
"10","Cherokee County, Alabama","01019",1990,9379,79.6,20.4
"11","Chilton County, Alabama","01021",1990,13883,87.26,12.74
"12","Choctaw County, Alabama","01023",1990,6789,84.65,15.35
"13","Clarke County, Alabama","01025",1990,10853,87.59,12.41
"14","Clay County, Alabama","01027",1990,5608,89.21,10.79
"15","Cleburne County, Alabama","01029",1990,5232,91.28,8.72
"16","Coffee County, Alabama","01031",1990,16951,90.02,9.98
"17","Colbert County, Alabama","01033",1990,21812,92.13,7.87
"18","Conecuh County, Alabama","01035",1990,6207,84.73,15.27
"19","Coosa County, Alabama","01037",1990,5113,78.56,21.44
"20","Covington County, Alabama","01039",1990,16178,89.28,10.72
"21","Crenshaw County, Alabama","01041",1990,5938,88.62,11.38
"22","Cullman County, Alabama","01043",1990,28369,90.26,9.74
"23","Dale County, Alabama","01045",1990,19432,90.44,9.56
"24","Dallas County, Alabama","01047",1990,19045,89.44,10.56
"25","DeKalb County, Alabama","01049",1990,22939,91.41,8.59
"26","Elmore County, Alabama","01051",1990,19497,84.79,15.21
"27","Escambia County, Alabama","01053",1990,14356,89.85,10.15
"28","Etowah County, Alabama","01055",1990,41787,92.55,7.45
"29","Fayette County, Alabama","01057",1990,7555,90.79,9.21
"30","Franklin County, Alabama","01059",1990,11772,92.17,7.83
"31","Geneva County, Alabama","01061",1990,10416,88.62,11.38
"32","Greene County, Alabama","01063",1990,4162,84.38,15.62
"33","Hale County, Alabama","01065",1990,6370,84.73,15.27
"34","Henry County, Alabama","01067",1990,7056,81.76,18.24
"35","Houston County, Alabama","01069",1990,33196,92.91,7.09
"36","Jackson County, Alabama","01071",1990,19768,91.16,8.84
"37","Jefferson County, Alabama","01073",1990,273097,92.08,7.92
"38","Lamar County, Alabama","01075",1990,6617,90.75,9.25
"39","Lauderdale County, Alabama","01077",1990,33522,92.19,7.81
"40","Lawrence County, Alabama","01079",1990,12212,93.43,6.57
"41","Lee County, Alabama","01081",1990,36636,90.34,9.66
"42","Limestone County, Alabama","01083",1990,21455,91.75,8.25
"43","Lowndes County, Alabama","01085",1990,4792,84.64,15.36
"44","Macon County, Alabama","01087",1990,9818,86.4,13.6
"45","Madison County, Alabama","01089",1990,97855,93.21,6.79
"46","Marengo County, Alabama","01091",1990,9144,89.2,10.8
"47","Marion County, Alabama","01093",1990,12597,91.46,8.54
"48","Marshall County, Alabama","01095",1990,30225,91.85,8.15
"49","Mobile County, Alabama","01097",1990,151220,90.53,9.47
"50","Monroe County, Alabama","01099",1990,9633,87.32,12.68
"51","Montgomery County, Alabama","01101",1990,84525,91.3,8.7
"52","Morgan County, Alabama","01103",1990,40419,93.52,6.48
"53","Perry County, Alabama","01105",1990,4807,87.39,12.61
"54","Pickens County, Alabama","01107",1990,8379,90.32,9.68
"55","Pike County, Alabama","01109",1990,11506,89.64,10.36
"56","Randolph County, Alabama","01111",1990,8728,86.54,13.46
