G_COUNTYFP,COUNTYFP,cntT,cntTimeDrive,avTimeDrive,pctTimeDrive
G05051,05051,20,18,14.924,0.9
G05053,05053,4,1,34.7025,0.25
G05055,05055,9,9,11.6877777777778,1
G05057,05057,5,4,14.302,0.8
G05059,05059,7,6,14.2071428571429,0.86
G05061,05061,3,0,44.5433333333333,0
G05063,05063,8,8,8.99125,1
G05065,05065,4,3,14.085,0.75
G05067,05067,5,4,11.126,0.8
G05069,05069,24,24,9.20166666666667,1
G05071,05071,6,6,12.02,1
G05073,05073,2,1,20.96,0.5
G05075,05075,6,4,16.825,0.67
G05077,05077,4,4,16.36,1
G05079,05079,4,3,14.57,0.75
G05081,05081,4,2,38.875,0.5
G05083,05083,6,2,24.78,0.33
G05085,05085,16,16,11.516875,1
G05087,05087,4,3,22.1075,0.75
G05089,05089,4,3,26.985,0.75
G05091,05091,12,11,8.93083333333333,0.92
G05093,05093,12,6,23.8641666666667,0.5
G05095,05095,3,3,7.61666666666667,1
G05097,05097,3,2,22.29,0.67
G05099,05099,3,1,30.4566666666667,0.33
G05101,05101,2,2,0,1
G05103,05103,6,5,21.375,0.83
G05105,05105,3,0,57.98,0
G05107,05107,6,6,4.725,1
G05109,05109,3,0,65.77,0
G05111,05111,7,5,15.4157142857143,0.71
G05113,05113,6,5,18.9183333333333,0.83
G05115,05115,11,2,31.9736363636364,0.18
G05117,05117,3,3,6.74666666666667,1
G05119,05119,95,94,9.03957894736842,0.99
G05121,05121,4,4,12.7375,1
G05123,05123,6,6,10.5783333333333,1
G05125,05125,21,18,19.2138095238095,0.86
G05127,05127,3,3,9.59,1
G05129,05129,3,2,17.7733333333333,0.67
G05131,05131,26,24,9.35615384615385,0.92
G05133,05133,4,3,15.56,0.75
G05135,05135,4,3,24.945,0.75
G05137,05137,3,2,18.46,0.67
G05139,05139,10,4,29.801,0.4
G05141,05141,5,3,22.194,0.6
G05143,05143,32,30,11.6990625,0.94
G05145,05145,13,12,8.10538461538462,0.92
G05147,05147,2,2,0,1
G05149,05149,6,0,55.41,0
G06001,06001,361,361,3.7781163434903,1
G06003,06003,1,0,61.34,0
G06005,06005,9,4,36.5655555555556,0.44
G06007,06007,51,50,10.3354901960784,0.98
G06009,06009,10,0,73.416,0
G06011,06011,5,4,15.248,0.8
G06013,06013,208,208,7.72033653846154,1
G06015,06015,8,6,13.24,0.75
G06017,06017,43,26,28.2041860465116,0.6
G06019,06019,199,196,4.99381909547739,0.98
G06021,06021,6,4,15.67,0.67
G06023,06023,31,31,6.56451612903226,1
G06025,06025,31,30,9.9458064516129,0.97
G06027,06027,6,0,221.266666666667,0
G06029,06029,151,144,5.86649006622517,0.95
G06031,06031,27,27,5.34814814814815,1
G06033,06033,15,6,29.5466666666667,0.4
G06035,06035,9,8,12.8488888888889,0.89
G06037,06037,2347,NA,NA,NA
G06039,06039,23,21,10.1852173913043,0.91
G06041,06041,56,55,6.87339285714286,0.98
G06043,06043,6,0,51.0616666666667,0
G06045,06045,21,19,12.21,0.9
G06047,06047,49,49,5.7330612244898,1
G06049,06049,4,0,116.415,0
G06051,06051,3,0,201.466666666667,0
G06053,06053,94,91,7.25851063829787,0.97
G06055,06055,40,39,7.33325,0.98
G06057,06057,20,19,14.753,0.95
G06059,06059,583,583,6.02485420240137,1
G06061,06061,85,81,13.3129411764706,0.95
G06063,06063,7,0,67.2885714285714,0
G06065,06065,453,448,7.1183885209713,0.99
G06067,06067,317,316,6.40744479495268,1
G06069,06069,11,10,9.45727272727273,0.91
G06071,06071,369,345,10.4475880758808,0.93
G06073,06073,628,628,5.85272292993631,1
G06075,06075,197,196,2.75817258883249,0.99
G06077,06077,139,139,6.01395683453237,1
G06079,06079,54,53,8.4512962962963,0.98
G06081,06081,158,157,6.44974683544304,0.99
G06083,06083,90,88,4.67933333333333,0.98
G06085,06085,372,372,5.55516129032258,1
G06087,06087,53,51,7.49981132075472,0.96
G06089,06089,48,47,7.9075,0.98
G06091,06091,1,1,0,1
G06093,06093,14,10,13.4535714285714,0.71
G06095,06095,96,96,6.2278125,1
G06097,06097,100,97,6.6796,0.97
G06099,06099,94,93,5.06925531914894,0.99
G06101,06101,21,20,7.77904761904762,0.95
G06103,06103,11,9,16.4872727272727,0.82
G06105,06105,5,1,62.588,0.2
G06107,06107,78,78,3.21576923076923,1
G06109,06109,11,0,71.4445454545455,0
G06111,06111,174,172,6.00729885057471,0.99
G06113,06113,41,41,3.98951219512195,1
G06115,06115,14,12,10.005,0.86
G08001,08001,97,96,8.16979381443299,0.99
G08003,08003,4,4,10.235,1
G08005,08005,147,147,8.03897959183674,1
G08007,08007,4,0,86.36,0
G08009,08009,2,0,68.295,0
G08011,08011,1,1,0,1
G08013,08013,68,66,9.62514705882353,0.97
G08014,08014,18,18,11.1394444444444,1
G08015,08015,5,2,27.43,0.4
G08017,08017,1,0,86.96,0
G08019,08019,3,0,39.0633333333333,0
G08021,08021,2,2,0,1
G08023,08023,2,1,18.91,0.5
G08025,08025,1,1,0,1
G08027,08027,1,0,63.71,0
G08029,08029,7,5,19.7228571428571,0.71
G08031,08031,144,144,3.258125,1
G08033,08033,1,1,0,1
G08035,08035,61,54,19.5034426229508,0.89
G08037,08037,14,12,17.7592857142857,0.86
G08039,08039,7,3,29.8028571428571,0.43
G08041,08041,130,128,9.67946153846154,0.98
G08043,08043,14,13,13.0371428571429,0.93
G08045,08045,11,11,8.84454545454545,1
G08047,08047,1,0,51.55,0
G08049,08049,3,0,87.6066666666667,0
G08051,08051,4,0,130.9725,0
G08053,08053,1,0,143.22,0
G08055,08055,2,1,18.855,0.5
G08057,08057,1,0,78.48,0
G08059,08059,138,128,10.3754347826087,0.93
G08061,08061,1,0,35.58,0
G08063,08063,3,1,39.94,0.33
G08065,08065,2,2,3.155,1
G08067,08067,10,7,18.07,0.7
G08069,08069,73,70,10.1338356164384,0.96
G08071,08071,6,4,18.9283333333333,0.67
G08073,08073,2,1,24.36,0.5
G08075,08075,6,5,17.2416666666667,0.83
G08077,08077,29,27,10.7172413793103,0.93
G08079,08079,1,0,82.55,0
G08081,08081,4,3,16.395,0.75
G08083,08083,7,7,13.2542857142857,1
G08085,08085,10,9,15.1,0.9
G08087,08087,8,8,9.245,1
G08089,08089,7,7,8.67428571428571,1
G08091,08091,1,0,44.08,0
G08093,08093,5,1,46.102,0.2
G08095,08095,2,0,64.44,0
G08097,08097,4,1,26.085,0.25
G08099,08099,5,5,0.662,1
G08101,08101,55,53,8.29054545454545,0.96
G08103,08103,2,0,75.04,0
G08105,08105,3,3,12.4833333333333,1
G08107,08107,8,6,19.8975,0.75
G08109,08109,2,2,0,1
G08111,08111,1,0,62.74,0
G08113,08113,4,1,73.3025,0.25
G08115,08115,1,0,70.06,0
G08117,08117,5,5,0,1
G08119,08119,6,4,27.2233333333333,0.67
G08121,08121,2,0,77.165,0
G08123,08123,77,76,11.0716883116883,0.99
G08125,08125,2,0,107.935,0
G09001,09001,211,211,5.87322274881517,1
