G_COUNTYFP,COUNTYFP,SVIth1,SVIth2,SVIth3,SVIth4,SVIS
G35039,35039,NA,0.88,0.93,0.54,NA
G01001,01001,0.36,0.58,0.59,0.37,0.44
G01009,01009,0.61,0.32,0.59,0.17,0.42
G01013,01013,0.85,0.91,0.64,0.63,0.87
G01015,01015,0.79,0.83,0.65,0.65,0.83
G01017,01017,0.69,0.66,0.46,0.79,0.74
G01031,01031,0.54,0.81,0.73,0.19,0.54
G01033,01033,0.65,0.69,0.4,0.1,0.43
G01039,01039,0.82,0.91,0.39,0.47,0.77
G01043,01043,0.69,0.44,0.33,0.39,0.52
G01045,01045,0.78,0.75,0.68,0.46,0.76
G01051,01051,0.49,0.54,0.58,0.52,0.54
G01055,01055,0.72,0.76,0.64,0.29,0.66
G01067,01067,0.7,0.64,0.47,0.27,0.55
G01069,01069,0.69,0.85,0.59,0.35,0.68
G01071,01071,0.79,0.56,0.31,0.32,0.57
G01077,01077,0.49,0.25,0.45,0.56,0.45
G01079,01079,0.74,0.52,0.37,0.2,0.5
G01083,01083,0.58,0.3,0.62,0.45,0.53
G01089,01089,0.29,0.12,0.72,0.38,0.31
G01095,01095,0.74,0.77,0.77,0.31,0.73
G01097,01097,0.68,0.59,0.68,0.72,0.75
G01103,01103,0.58,0.67,0.75,0.58,0.69
G01111,01111,0.73,0.48,0.43,0.82,0.72
G01113,01113,0.84,0.88,0.79,0.78,0.91
G01115,01115,0.55,0.31,0.4,0.25,0.37
G01117,01117,0.08,0.07,0.69,0.18,0.12
G01121,01121,0.87,0.78,0.59,0.8,0.87
G02261,02261,0.15,0.06,0.47,0.85,0.27
G04021,04021,0.7,0.7,0.9,0.83,0.86
G05009,05009,0.52,0.81,0.06,0.46,0.44
G05011,05011,0.88,0.97,0.89,0.89,0.98
G05033,05033,0.61,0.87,0.58,0.3,0.61
G05037,05037,0.68,0.97,0.35,0.44,0.7
G05045,05045,0.43,0.19,0.52,0.76,0.48
G05047,05047,0.7,0.66,0.27,0.55,0.59
G05051,05051,0.64,0.92,0.6,0.83,0.83
G05053,05053,0.51,0.74,0.13,0.26,0.35
G05063,05063,0.63,0.91,0.56,0.63,0.75
G05083,05083,0.85,0.94,0.41,0.48,0.8
G05085,05085,0.36,0.56,0.46,0.23,0.33
G05087,05087,0.76,0.64,0.53,0.38,0.65
G05115,05115,0.75,0.59,0.67,0.74,0.79
G05117,05117,0.71,0.76,0.22,0.7,0.65
G05121,05121,0.69,0.98,0.27,0.49,0.72
G05125,05125,0.18,0.74,0.55,0.33,0.33
G05131,05131,0.67,0.85,0.84,0.7,0.83
G05145,05145,0.67,0.59,0.5,0.85,0.74
G06007,06007,0.66,0.31,0.8,0.95,0.81
G06017,06017,0.17,0.1,0.69,0.22,0.18
G06023,06023,0.64,0.32,0.75,0.9,0.76
G06027,06027,0.28,0.26,0.85,0.89,0.57
G06061,06061,0.07,0.12,0.74,0.2,0.15
G06079,06079,0.23,0.05,0.84,0.78,0.37
G06089,06089,0.49,0.75,0.62,0.82,0.7
G06093,06093,0.6,0.72,0.69,0.67,0.72
G08019,08019,0,0.03,0.48,0.14,0.02
G08039,08039,0,0.02,0.2,0,0
G08047,08047,0,0,0.28,0.15,0
G08051,08051,0.26,0.01,0.34,0.53,0.14
G08057,08057,0.41,0.04,0.68,0.01,0.11
G08065,08065,0.55,0.01,0.87,0.64,0.45
G08067,08067,0.05,0.01,0.48,0.68,0.11
G08071,08071,0.7,0.62,0.85,0.84,0.84
G08075,08075,0.42,0.13,0.78,0.96,0.63
G08077,08077,0.53,0.48,0.6,0.6,0.58
G08083,08083,0.5,0.7,0.55,0.28,0.49
G08085,08085,0.62,0.53,0.8,0.64,0.72
G08093,08093,0.08,0.03,0.2,0,0
G08099,08099,0.84,0.94,0.9,0.74,0.94
G08101,08101,0.71,0.9,0.76,0.79,0.87
G08103,08103,0.29,0.09,0.6,0.65,0.34
G08119,08119,0.15,0.13,0.35,0.08,0.07
G08121,08121,0.19,0.42,0.51,0.37,0.28
G09005,09005,0.11,0.05,0.54,0.16,0.08
G09007,09007,0.05,0.05,0.58,0.35,0.12
G09011,09011,0.23,0.2,0.76,0.54,0.36
G09015,09015,0.35,0.21,0.7,0.54,0.42
G10001,10001,0.48,0.66,0.78,0.84,0.73
G12019,12019,0.37,0.43,0.74,0.22,0.38
G12033,12033,0.47,0.09,0.73,0.69,0.49
G12089,12089,0.16,0.54,0.41,0.3,0.25
G12101,12101,0.48,0.6,0.74,0.66,0.63
G12109,12109,0.08,0.11,0.47,0.11,0.08
G12113,12113,0.24,0.36,0.51,0.42,0.31
G13015,13015,0.57,0.55,0.72,0.42,0.59
G13039,13039,0.42,0.44,0.54,0.68,0.52
G13045,13045,0.79,0.53,0.73,0.63,0.78
G13047,13047,0.32,0.21,0.31,0.07,0.13
G13057,13057,0.11,0.09,0.75,0.1,0.12
G13073,13073,0.16,0.22,0.75,0.04,0.13
G13077,13077,0.27,0.25,0.76,0.12,0.24
G13085,13085,0.24,0.15,0.34,0.09,0.1
G13113,13113,0.06,0.1,0.76,0.02,0.06
G13115,13115,0.75,0.64,0.81,0.94,0.89
G13123,13123,0.64,0.5,0.7,0.27,0.56
G13127,13127,0.48,0.81,0.79,0.69,0.72
G13143,13143,0.63,0.9,0.29,0.29,0.54
G13145,13145,0.26,0.39,0.32,0.05,0.13
G13147,13147,0.72,0.84,0.62,0.39,0.72
G13153,13153,0.49,0.59,0.79,0.4,0.57
G13157,13157,0.44,0.33,0.68,0.17,0.35
G13169,13169,0.62,0.59,0.32,0.13,0.38
G13187,13187,0.61,0.12,0.49,0.44,0.43
G13207,13207,0.52,0.08,0.56,0.68,0.46
G13211,13211,0.37,0.31,0.68,0.05,0.24
G13227,13227,0.4,0.25,0.3,0.32,0.28
G13231,13231,0.53,0.07,0.23,0.07,0.15
G13233,13233,0.77,0.81,0.82,0.45,0.8
G13295,13295,0.76,0.72,0.29,0.5,0.64
G13297,13297,0.5,0.53,0.57,0.03,0.29
G13299,13299,0.72,0.89,0.46,0.9,0.84
G13311,13311,0.48,0.27,0.38,0.09,0.24
G16001,16001,0.09,0.1,0.59,0.24,0.14
G16017,16017,0.32,0.38,0.16,0.35,0.24
G16021,16021,0.4,0.4,0.39,0.26,0.31
G16023,16023,0.42,0.46,0.01,0.34,0.25
G16025,16025,0.3,0.65,0.28,0.01,0.13
G16039,16039,0.59,0.44,0.8,0.37,0.59
G16045,16045,0.64,0.97,0.53,0.25,0.66
G16055,16055,0.27,0.53,0.26,0.26,0.23
G16069,16069,0.33,0.81,0.35,0.71,0.51
G16085,16085,0.12,0.37,0.01,0.24,0.09
G17001,17001,0.24,0.56,0.19,0.38,0.25
G17007,17007,0.44,0.54,0.82,0.22,0.47
G17011,17011,0.3,0.64,0.55,0.13,0.29
G17013,17013,0.35,0.5,0.01,0.24,0.19
G17015,17015,0.37,0.21,0.24,0.13,0.17
G17021,17021,0.34,0.31,0.1,0.41,0.24
G17023,17023,0.36,0.83,0.06,0.09,0.21
G17027,17027,0.16,0.13,0.24,0.54,0.18
G17029,17029,0.55,0.22,0.32,0.76,0.5
G17035,17035,0.36,0.53,0.03,0.11,0.16
G17039,17039,0.29,0.19,0.23,0.13,0.13
G17045,17045,0.42,0.82,0.17,0.26,0.34
G17047,17047,0.35,0.7,0.14,0.19,0.24
G17049,17049,0.18,0.29,0.28,0.39,0.2
G17053,17053,0.44,0.8,0.19,0.16,0.31
G17055,17055,0.76,0.94,0.04,0.41,0.61
G17057,17057,0.62,0.63,0.41,0.51,0.58
G17061,17061,0.47,0.5,0.01,0.12,0.2
G17063,17063,0.14,0.14,0.5,0.06,0.08
G17065,17065,0.25,0.71,0.07,0.11,0.15
G17067,17067,0.35,0.29,0.07,0.09,0.12
G17073,17073,0.32,0.3,0.41,0.13,0.2
G17075,17075,0.45,0.53,0.5,0.16,0.34
G17079,17079,0.39,0.57,0.2,0.16,0.24
G17081,17081,0.71,0.87,0.33,0.93,0.81
G17083,17083,0.18,0.1,0.23,0.26,0.1
G17091,17091,0.52,0.52,0.7,0.76,0.67
G17099,17099,0.47,0.37,0.55,0.37,0.43
G17105,17105,0.41,0.7,0.28,0.67,0.48
G17111,17111,0.07,0.08,0.72,0.04,0.07
G17115,17115,0.53,0.75,0.42,0.64,0.6
G17117,17117,0.44,0.4,0.07,0.15,0.2
G17119,17119,0.36,0.25,0.37,0.37,0.3
G17123,17123,0.28,0.19,0.11,0.03,0.05
G17125,17125,0.58,0.82,0.01,0.1,0.29
G17127,17127,0.66,0.93,0.25,0.81,0.75
G17129,17129,0.13,0.47,0.02,0.05,0.05
G17131,17131,0.3,0.32,0.05,0.12,0.11
G17133,17133,0.01,0.05,0.18,0.01,0
G17141,17141,0.3,0.36,0.64,0.19,0.29
G17147,17147,0.06,0.16,0.04,0,0
G17149,17149,0.52,0.78,0.08,0.26,0.35
G17155,17155,0.08,0.24,0.44,0,0.03
G17159,17159,0.54,0.64,0.21,0.35,0.41
G17161,17161,0.49,0.65,0.8,0.78,0.71
G17163,17163,0.48,0.47,0.65,0.45,0.52
G17167,17167,0.33,0.51,0.42,0.64,0.44
G17171,17171,0.4,0.32,0.06,0.08,0.14
G17173,17173,0.31,0.19,0.02,0.11,0.08
G17175,17175,0.29,0.39,0.04,0.01,0.06
G17179,17179,0.11,0.24,0.18,0.26,0.11
G17181,17181,0.66,0.77,0.32,0.76,0.68
G17185,17185,0.4,0.49,0.28,0.32,0.32
G17187,17187,0.53,0.46,0.64,0.68,0.61
G17189,17189,0.12,0.15,0.15,0.17,0.07
G17191,17191,0.38,0.76,0.27,0.53,0.43
G17193,17193,0.5,0.92,0.14,0.58,0.54
G17195,17195,0.3,0.59,0.55,0.24,0.33
G17197,17197,0.16,0.14,0.86,0.15,0.2
G17199,17199,0.45,0.69,0.4,0.47,0.48
G17203,17203,0.05,0.15,0.05,0.09,0.02
G18003,18003,0.43,0.58,0.76,0.39,0.52
G18005,18005,0.28,0.33,0.66,0.41,0.36
G18007,18007,0.5,0.93,0.26,0.05,0.33
G18009,18009,0.52,0.85,0.04,0.28,0.37
G18013,18013,0.16,0.14,0.16,0.1,0.06
G18015,18015,0.27,0.31,0.28,0.05,0.12
G18019,18019,0.32,0.2,0.52,0.25,0.25
G18021,18021,0.42,0.8,0.18,0.25,0.33
G18023,18023,0.49,0.55,0.75,0.45,0.57
G18025,18025,0.64,0.65,0.07,0.27,0.39
G18029,18029,0.25,0.23,0.04,0.12,0.08
G18031,18031,0.33,0.59,0.15,0.17,0.21
G18033,18033,0.31,0.72,0.14,0.2,0.23
G18035,18035,0.69,0.25,0.35,0.7,0.57
G18037,18037,0.19,0.21,0.5,0.3,0.21
G18041,18041,0.69,0.86,0.12,0.59,0.61
G18043,18043,0.2,0.28,0.33,0.2,0.17
G18045,18045,0.43,0.45,0.21,0.08,0.2
G18047,18047,0.27,0.57,0.12,0.1,0.15
G18049,18049,0.48,0.52,0.41,0.19,0.35
G18051,18051,0.22,0.62,0.13,0.67,0.32
G18055,18055,0.54,0.62,0.21,0.44,0.44
G18059,18059,0.03,0.19,0.25,0.03,0.02
G18061,18061,0.41,0.4,0.09,0.14,0.19
G18063,18063,0.04,0.21,0.54,0.08,0.08
G18065,18065,0.57,0.57,0.11,0.35,0.38
G18067,18067,0.51,0.86,0.4,0.25,0.48
G18069,18069,0.26,0.12,0.15,0.25,0.12
G18071,18071,0.55,0.65,0.55,0.37,0.54
G18073,18073,0.32,0.5,0.37,0.22,0.27
G18079,18079,0.54,0.57,0.14,0.37,0.38
G18081,18081,0.12,0.29,0.38,0.19,0.14
G18083,18083,0.57,0.8,0.17,0.76,0.59
G18085,18085,0.33,0.42,0.6,0.62,0.46
G18089,18089,0.62,0.67,0.87,0.5,0.73
G18091,18091,0.65,0.39,0.53,0.91,0.72
G18093,18093,0.42,0.76,0.08,0.19,0.28
G18095,18095,0.63,0.82,0.47,0.59,0.67
G18099,18099,0.52,0.34,0.64,0.69,0.58
G18101,18101,0.4,0.73,0.01,0.22,0.24
G18103,18103,0.71,0.59,0.28,0.54,0.59
G18107,18107,0.31,0.52,0.48,0.42,0.37
G18109,18109,0.41,0.37,0.11,0.21,0.22
G18111,18111,0.6,0.57,0.47,0.04,0.34
G18113,18113,0.4,0.52,0.63,0.44,0.47
G18115,18115,0.17,0.07,0.01,0.12,0.03
G18117,18117,0.62,0.95,0.09,0.7,0.65
G18119,18119,0.64,0.45,0.11,0.24,0.35
G18125,18125,0.37,0.45,0.03,0.16,0.17
G18127,18127,0.15,0.16,0.47,0.23,0.15
G18129,18129,0.14,0.08,0.02,0.04,0.01
G18131,18131,0.53,0.62,0.05,0.09,0.23
G18135,18135,0.59,0.86,0.35,0.11,0.43
G18137,18137,0.38,0.38,0.2,0.69,0.38
G18139,18139,0.62,0.37,0.16,0.08,0.26
G18141,18141,0.48,0.47,0.71,0.72,0.62
G18143,18143,0.67,0.51,0.05,0.39,0.42
G18145,18145,0.31,0.3,0.38,0.19,0.22
G18147,18147,0.2,0.22,0.19,0.11,0.09
G18149,18149,0.7,0.35,0.3,0.1,0.34
G18151,18151,0.25,0.26,0.37,0.47,0.27
G18155,18155,0.75,0.87,0.16,0.45,0.63
G18159,18159,0.19,0.29,0.22,0.05,0.07
G18161,18161,0.3,0.3,0.2,0.19,0.17
G18165,18165,0.47,0.9,0.06,0.48,0.45
G18169,18169,0.41,0.4,0.16,0.35,0.29
G18171,18171,0.19,0.75,0.07,0.02,0.08
G18173,18173,0.04,0.23,0.26,0.16,0.07
G18175,18175,0.61,0.78,0.03,0.25,0.38
G18177,18177,0.59,0.89,0.45,0.69,0.71
G18179,18179,0.18,0.45,0.2,0.18,0.14
G18181,18181,0.28,0.63,0.57,0.07,0.24
