origin,count within 60,count within 30,minutes
1901,210,61,0.0
1902,194,61,0.0
1904,194,60,0.0
1905,221,60,0.0
1906,247,65,15.88
1907,156,118,0.0
1908,119,49,0.0
1913,9,7,0.0
1915,160,75,0.0
1921,18,1,0.0
1922,9,2,0.0
1923,121,40,0.0
1929,27,4,27.89
1930,4,4,0.0
1937,97,7,13.27
1938,7,1,0.0
1940,161,5,0.0
1944,26,0,43.84
1945,156,61,0.0
1949,62,7,0.0
1950,9,7,0.0
1951,9,5,22.52
1952,12,0,30.4
1960,163,72,0.0
1966,4,0,33.4
1969,10,2,0.0
1970,162,94,0.0
1982,80,4,0.0
1983,60,0,30.5
1984,95,4,14.3
1985,21,0,39.05
2019,55,0,31.21
2021,103,9,0.0
2025,16,1,0.0
2026,484,11,0.0
2030,74,0,31.58
2032,51,23,16.94
2035,44,7,0.0
2038,14,3,0.0
2043,98,4,0.0
2045,5,0,37.97
2047,13,1,18.41
2048,31,23,0.0
2050,7,1,0.0
2052,40,9,23.9
2053,26,4,24.3
2054,23,7,0.0
2056,38,8,0.0
2061,75,13,0.0
2062,58,23,0.0
2066,13,0,30.07
2067,47,4,0.0
2071,45,15,0.0
2072,96,9,0.0
2081,48,24,0.0
2090,56,19,15.55
2093,23,0,37.12
2108,862,576,6.85
2109,855,522,0.0
2110,855,553,0.0
2111,852,580,0.0
2113,857,557,0.0
2114,856,592,0.0
2115,860,647,0.0
2116,859,607,0.0
2118,889,633,0.0
2119,836,582,0.0
2120,856,640,0.0
2121,787,459,0.0
2122,768,267,0.0
2124,751,270,0.0
2125,794,456,0.0
2126,740,109,0.0
2127,829,512,0.0
2128,531,51,0.0
2129,836,444,0.0
2130,824,441,0.0
2131,783,97,0.0
2132,616,64,0.0
2134,902,658,0.0
2135,843,354,0.0
2136,602,65,16.67
2138,877,463,0.0
2139,872,582,0.0
2140,855,182,0.0
2141,857,581,0.0
2142,850,568,6.15
2143,887,339,0.0
2144,849,142,0.0
2145,850,266,9.79
2148,657,61,0.0
2149,833,103,0.0
2150,606,64,0.0
2151,354,64,0.0
2152,104,21,20.14
2155,775,95,0.0
2163,877,457,10.0
2169,356,52,0.0
2170,551,74,9.43
2171,643,80,0.0
2176,412,36,0.0
2180,180,32,0.0
2184,138,38,0.0
2186,526,55,0.0
2188,122,83,0.0
2189,118,58,0.0
2190,111,55,0.0
2191,133,36,17.82
2199,865,640,0.0
2203,861,553,0.0
2210,834,480,0.0
2215,890,629,0.0
2301,84,64,0.0
2302,121,64,0.0
2322,130,69,25.99
2324,72,3,0.0
2330,2,0,57.67
2332,7,1,0.0
2333,77,2,0.0
2338,10,0,44.25
2339,87,13,0.0
2341,10,5,26.6
2343,153,47,25.21
2346,4,2,0.0
2347,4,2,0.0
2351,139,46,0.0
2356,87,3,0.0
2357,80,55,21.43
2359,22,5,0.0
2360,28,26,0.0
2364,6,0,36.91
2366,28,2,0.0
2367,7,0,54.67
2368,167,2,0.0
2370,145,3,18.7
2375,82,3,0.0
2379,74,5,29.07
2382,128,14,20.8
2420,164,34,0.0
2421,214,14,0.0
2445,855,450,0.0
2446,888,654,0.0
2451,297,22,0.0
2452,316,62,0.0
2453,401,82,0.0
2457,124,31,16.36
2458,805,120,0.0
2459,778,79,0.0
2460,760,116,0.0
2461,607,82,0.0
2462,195,48,0.0
2464,438,48,9.01
2465,439,64,0.0
2466,440,71,0.0
2467,828,111,0.0
2468,455,61,0.0
2472,804,141,0.0
2474,784,100,0.0
2476,594,72,0.0
2478,806,109,0.0
2481,98,29,0.0
2482,113,33,0.0
2492,191,25,0.0
2493,119,26,0.0
2494,264,39,0.0
2532,16,3,0.0
2534,14,1,14.77
2535,1,0,49.59
2536,20,10,0.0
2537,3,1,22.73
2538,17,12,29.44
2539,11,1,0.0
2540,18,10,0.0
2542,1,0,44.91
2543,13,0,36.48
2553,5,0,31.47
2554,3,3,0.0
2556,20,1,0.0
2557,11,9,0.0
2558,18,15,22.45
2559,4,0,32.14
2561,5,1,15.15
2562,5,1,0.0
2563,11,1,0.0
2564,3,0,40.05
2568,11,10,0.0
2571,17,12,0.0
2575,11,3,0.0
2576,17,12,21.36
2584,3,0,32.43
2601,30,27,0.0
2630,30,26,27.91
2631,4,0,31.49
2632,39,27,0.0
2633,4,0,32.94
2635,43,9,21.14
2637,31,1,18.86
2638,7,1,20.95
2639,7,4,0.0
2641,7,0,34.14
2642,5,0,47.84
2644,10,1,23.69
2645,6,3,0.0
2646,6,4,0.0
2647,30,27,13.02
2648,37,0,32.48
2649,19,9,0.0
2650,3,0,34.62
2651,5,0,35.57
2652,7,0,42.34
2653,2,0,51.16
2655,36,2,19.31
2657,2,2,0.0
2659,4,3,21.32
2660,7,4,26.4
2663,5,5,16.4
2664,34,4,0.0
